href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3qZ2n5keOAat1SoF6bHwmb,3qZ2n5keOAat1SoF6bHwmb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebba8ad8a2315ed9148c7b1cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ba8ad8a2315ed9148c7b1cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ba8ad8a2315ed9148c7b1cc7', 'height': 160, 'width': 160}]",Zeca Pagodinho,artist,spotify:artist:3qZ2n5keOAat1SoF6bHwmb,https://open.spotify.com/artist/3qZ2n5keOAat1SoF6bHwmb
https://api.spotify.com/v1/artists/7ibRdkDvgDrO5El2ynDoEd,7ibRdkDvgDrO5El2ynDoEd,[],Zeca Pagodinho,artist,spotify:artist:7ibRdkDvgDrO5El2ynDoEd,https://open.spotify.com/artist/7ibRdkDvgDrO5El2ynDoEd
https://api.spotify.com/v1/artists/2cAooeeHKk2UvzUgIxpS0y,2cAooeeHKk2UvzUgIxpS0y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4c15f4a9ea08585ab7019129', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744c15f4a9ea08585ab7019129', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784c15f4a9ea08585ab7019129', 'height': 160, 'width': 160}]",Jorge Aragão,artist,spotify:artist:2cAooeeHKk2UvzUgIxpS0y,https://open.spotify.com/artist/2cAooeeHKk2UvzUgIxpS0y
https://api.spotify.com/v1/artists/096an3uS6ZaK2XySae6SqP,096an3uS6ZaK2XySae6SqP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb181873f93056642d7b340839', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174181873f93056642d7b340839', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178181873f93056642d7b340839', 'height': 160, 'width': 160}]",Arlindo Cruz,artist,spotify:artist:096an3uS6ZaK2XySae6SqP,https://open.spotify.com/artist/096an3uS6ZaK2XySae6SqP
https://api.spotify.com/v1/artists/7yQrcdkLdBAkV7yY9fF2Hw,7yQrcdkLdBAkV7yY9fF2Hw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc2523529fb46fb0697fa6b9c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c2523529fb46fb0697fa6b9c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c2523529fb46fb0697fa6b9c', 'height': 160, 'width': 160}]",Grupo Revelação,artist,spotify:artist:7yQrcdkLdBAkV7yY9fF2Hw,https://open.spotify.com/artist/7yQrcdkLdBAkV7yY9fF2Hw
https://api.spotify.com/v1/artists/7LunbFWIm3RPQpywjOSSd8,7LunbFWIm3RPQpywjOSSd8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8fe11088a1ab3826cec724da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748fe11088a1ab3826cec724da', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788fe11088a1ab3826cec724da', 'height': 160, 'width': 160}]",Zeca Baleiro,artist,spotify:artist:7LunbFWIm3RPQpywjOSSd8,https://open.spotify.com/artist/7LunbFWIm3RPQpywjOSSd8
https://api.spotify.com/v1/artists/1XbyHCQd7gkI0vYEGJL5Cj,1XbyHCQd7gkI0vYEGJL5Cj,[],Zeca Pagodinho,artist,spotify:artist:1XbyHCQd7gkI0vYEGJL5Cj,https://open.spotify.com/artist/1XbyHCQd7gkI0vYEGJL5Cj
https://api.spotify.com/v1/artists/5ZfBThYiIIhL7jHMG8gDB2,5ZfBThYiIIhL7jHMG8gDB2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebef13995944eea605a0a7a9e1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ef13995944eea605a0a7a9e1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ef13995944eea605a0a7a9e1', 'height': 160, 'width': 160}]",Ferrugem,artist,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2,https://open.spotify.com/artist/5ZfBThYiIIhL7jHMG8gDB2
https://api.spotify.com/v1/artists/0v9hXRHwsPhoiB9uTB9HGB,0v9hXRHwsPhoiB9uTB9HGB,[],"Arlindo Cruz, Zeca Pagodinho",artist,spotify:artist:0v9hXRHwsPhoiB9uTB9HGB,https://open.spotify.com/artist/0v9hXRHwsPhoiB9uTB9HGB
https://api.spotify.com/v1/artists/6roRgif6tEi3KR05yX0SGk,6roRgif6tEi3KR05yX0SGk,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273353136618112c21be76658fb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02353136618112c21be76658fb', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851353136618112c21be76658fb', 'height': 64, 'width': 64}]",Pagodinho Silva Zeca,artist,spotify:artist:6roRgif6tEi3KR05yX0SGk,https://open.spotify.com/artist/6roRgif6tEi3KR05yX0SGk
https://api.spotify.com/v1/artists/6gEzJZrbm0F4ihvE9iXR9z,6gEzJZrbm0F4ihvE9iXR9z,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebde96502f05a55d57f6772c50', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174de96502f05a55d57f6772c50', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178de96502f05a55d57f6772c50', 'height': 160, 'width': 160}]",Péricles,artist,spotify:artist:6gEzJZrbm0F4ihvE9iXR9z,https://open.spotify.com/artist/6gEzJZrbm0F4ihvE9iXR9z
https://api.spotify.com/v1/artists/4IQKOXNGjuRRe0WgOm5YfB,4IQKOXNGjuRRe0WgOm5YfB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb70fdcf939380809a05faf39e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517470fdcf939380809a05faf39e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17870fdcf939380809a05faf39e', 'height': 160, 'width': 160}]",Xande de Pilares,artist,spotify:artist:4IQKOXNGjuRRe0WgOm5YfB,https://open.spotify.com/artist/4IQKOXNGjuRRe0WgOm5YfB
https://api.spotify.com/v1/artists/6VPRGmbZ0dupZrbwwEDRRw,6VPRGmbZ0dupZrbwwEDRRw,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27302e4a8d93ee164e5bd371052', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0202e4a8d93ee164e5bd371052', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485102e4a8d93ee164e5bd371052', 'height': 64, 'width': 64}]",Exaltasamba,artist,spotify:artist:6VPRGmbZ0dupZrbwwEDRRw,https://open.spotify.com/artist/6VPRGmbZ0dupZrbwwEDRRw
https://api.spotify.com/v1/artists/6rM2yY0GnVcOHMU5GD3y9E,6rM2yY0GnVcOHMU5GD3y9E,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8abfddc3911204be23a80de0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748abfddc3911204be23a80de0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788abfddc3911204be23a80de0', 'height': 160, 'width': 160}]",Martinho Da Vila,artist,spotify:artist:6rM2yY0GnVcOHMU5GD3y9E,https://open.spotify.com/artist/6rM2yY0GnVcOHMU5GD3y9E
