href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/77ZUbcdoU5KCPHNUl8bgQy,77ZUbcdoU5KCPHNUl8bgQy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc18449a640fefd04cfe62359', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c18449a640fefd04cfe62359', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c18449a640fefd04cfe62359', 'height': 160, 'width': 160}]",João Gilberto,artist,spotify:artist:77ZUbcdoU5KCPHNUl8bgQy,https://open.spotify.com/artist/77ZUbcdoU5KCPHNUl8bgQy
https://api.spotify.com/v1/artists/1na4eTTKIAcP6HqmOTsRu7,1na4eTTKIAcP6HqmOTsRu7,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273522653f1b0f58b2c054f2d87', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e027fee7fbe1fab8f9be54a6889', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851522653f1b0f58b2c054f2d87', 'height': 64, 'width': 64}]",João Gilberto,artist,spotify:artist:1na4eTTKIAcP6HqmOTsRu7,https://open.spotify.com/artist/1na4eTTKIAcP6HqmOTsRu7
https://api.spotify.com/v1/artists/3pO5VjZ4wOHCMBXOvbMISG,3pO5VjZ4wOHCMBXOvbMISG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb18561c395151b4ab0e3c17ee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517418561c395151b4ab0e3c17ee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17818561c395151b4ab0e3c17ee', 'height': 160, 'width': 160}]",Antônio Carlos Jobim,artist,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
https://api.spotify.com/v1/artists/6tDIFEoQum7Qxz8BpQSfvw,6tDIFEoQum7Qxz8BpQSfvw,[],João Gilberto,artist,spotify:artist:6tDIFEoQum7Qxz8BpQSfvw,https://open.spotify.com/artist/6tDIFEoQum7Qxz8BpQSfvw
https://api.spotify.com/v1/artists/5HlnN6xF2MD87KhGRmCRTd,5HlnN6xF2MD87KhGRmCRTd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeaaeeb67f1f03b317e40306c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eaaeeb67f1f03b317e40306c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eaaeeb67f1f03b317e40306c', 'height': 160, 'width': 160}]",Vinícius de Moraes,artist,spotify:artist:5HlnN6xF2MD87KhGRmCRTd,https://open.spotify.com/artist/5HlnN6xF2MD87KhGRmCRTd
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/7oEkUINVIj1Nr3Wnj8tzqr,7oEkUINVIj1Nr3Wnj8tzqr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf423bfb01afb1cf3d60d61a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df423bfb01afb1cf3d60d61a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df423bfb01afb1cf3d60d61a', 'height': 160, 'width': 160}]",Gilberto Gil,artist,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,https://open.spotify.com/artist/7oEkUINVIj1Nr3Wnj8tzqr
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/7qYVxXaiBjEWzCXbwLThiX,7qYVxXaiBjEWzCXbwLThiX,[],João Gilberto,artist,spotify:artist:7qYVxXaiBjEWzCXbwLThiX,https://open.spotify.com/artist/7qYVxXaiBjEWzCXbwLThiX
https://api.spotify.com/v1/artists/3UmzVSTun6O0Qtn0wacusX,3UmzVSTun6O0Qtn0wacusX,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273af6dfb7016c4904c0794c3ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02af6dfb7016c4904c0794c3ae', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851af6dfb7016c4904c0794c3ae', 'height': 64, 'width': 64}]",João Gilberto Quintet,artist,spotify:artist:3UmzVSTun6O0Qtn0wacusX,https://open.spotify.com/artist/3UmzVSTun6O0Qtn0wacusX
