href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/2ZofT7n9AlTKf7KDCoHGgD,2ZofT7n9AlTKf7KDCoHGgD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb57e86ef3901f7188329d71d3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517457e86ef3901f7188329d71d3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17857e86ef3901f7188329d71d3', 'height': 160, 'width': 160}]",Luiz Gonzaga,artist,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,https://open.spotify.com/artist/2ZofT7n9AlTKf7KDCoHGgD
https://api.spotify.com/v1/artists/4PzYKhC14sTJNEr0dzoo0d,4PzYKhC14sTJNEr0dzoo0d,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3d765e372734cc9938527e98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743d765e372734cc9938527e98', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783d765e372734cc9938527e98', 'height': 160, 'width': 160}]",Luísa Sonza,artist,spotify:artist:4PzYKhC14sTJNEr0dzoo0d,https://open.spotify.com/artist/4PzYKhC14sTJNEr0dzoo0d
https://api.spotify.com/v1/artists/1LOFaxDBvn3YuvarTldGAe,1LOFaxDBvn3YuvarTldGAe,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ef28a6dd5c5cdc8e06ebe360', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ef28a6dd5c5cdc8e06ebe360', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ef28a6dd5c5cdc8e06ebe360', 'height': 64, 'width': 64}]",Gonzaguinha,artist,spotify:artist:1LOFaxDBvn3YuvarTldGAe,https://open.spotify.com/artist/1LOFaxDBvn3YuvarTldGAe
https://api.spotify.com/v1/artists/1mCHLu4gizrN9PwHxKrJv4,1mCHLu4gizrN9PwHxKrJv4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1081f4badc8afb579b99d7c2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741081f4badc8afb579b99d7c2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781081f4badc8afb579b99d7c2', 'height': 160, 'width': 160}]",Dominguinhos,artist,spotify:artist:1mCHLu4gizrN9PwHxKrJv4,https://open.spotify.com/artist/1mCHLu4gizrN9PwHxKrJv4
https://api.spotify.com/v1/artists/0ygcyzesgpuH4onEqXoz2j,0ygcyzesgpuH4onEqXoz2j,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27339f6587eabb5e4f6a70a9459', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0239f6587eabb5e4f6a70a9459', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485139f6587eabb5e4f6a70a9459', 'height': 64, 'width': 64}]",Luiz Gonzaga,artist,spotify:artist:0ygcyzesgpuH4onEqXoz2j,https://open.spotify.com/artist/0ygcyzesgpuH4onEqXoz2j
https://api.spotify.com/v1/artists/5j3htXVskZF0u8qWY5zcF8,5j3htXVskZF0u8qWY5zcF8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0f1b77edadcf52574b6f47d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0f1b77edadcf52574b6f47d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0f1b77edadcf52574b6f47d', 'height': 160, 'width': 160}]",Fagner,artist,spotify:artist:5j3htXVskZF0u8qWY5zcF8,https://open.spotify.com/artist/5j3htXVskZF0u8qWY5zcF8
https://api.spotify.com/v1/artists/2kqpEBCxpaXPqLrkZM0Ih6,2kqpEBCxpaXPqLrkZM0Ih6,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b8fecc3bf0089d801df3298f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b8fecc3bf0089d801df3298f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b8fecc3bf0089d801df3298f', 'height': 64, 'width': 64}]",Luiz Gonzaga,artist,spotify:artist:2kqpEBCxpaXPqLrkZM0Ih6,https://open.spotify.com/artist/2kqpEBCxpaXPqLrkZM0Ih6
https://api.spotify.com/v1/artists/4JNo6Q5KdcRf1vtSX9mB0S,4JNo6Q5KdcRf1vtSX9mB0S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe099848b88cd1d3fca223616', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e099848b88cd1d3fca223616', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e099848b88cd1d3fca223616', 'height': 160, 'width': 160}]",João Gomes,artist,spotify:artist:4JNo6Q5KdcRf1vtSX9mB0S,https://open.spotify.com/artist/4JNo6Q5KdcRf1vtSX9mB0S
https://api.spotify.com/v1/artists/316ZgNGDrMueffDsx6QG1F,316ZgNGDrMueffDsx6QG1F,[],Luiz Gonzaga,artist,spotify:artist:316ZgNGDrMueffDsx6QG1F,https://open.spotify.com/artist/316ZgNGDrMueffDsx6QG1F
https://api.spotify.com/v1/artists/4vczmJS7NtP5fv90KiHpJJ,4vczmJS7NtP5fv90KiHpJJ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27344fa728aa09325cb15abcf7b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0244fa728aa09325cb15abcf7b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485144fa728aa09325cb15abcf7b', 'height': 64, 'width': 64}]",Luiz Gonzaga,artist,spotify:artist:4vczmJS7NtP5fv90KiHpJJ,https://open.spotify.com/artist/4vczmJS7NtP5fv90KiHpJJ
