href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/65TbyndeGrDlFd4IkZNfbN,65TbyndeGrDlFd4IkZNfbN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb24073a9a87c25967ad2fc2ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517424073a9a87c25967ad2fc2ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17824073a9a87c25967ad2fc2ae', 'height': 160, 'width': 160}]",Geraldo Azevedo,artist,spotify:artist:65TbyndeGrDlFd4IkZNfbN,https://open.spotify.com/artist/65TbyndeGrDlFd4IkZNfbN
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/5j3htXVskZF0u8qWY5zcF8,5j3htXVskZF0u8qWY5zcF8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0f1b77edadcf52574b6f47d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0f1b77edadcf52574b6f47d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0f1b77edadcf52574b6f47d', 'height': 160, 'width': 160}]",Fagner,artist,spotify:artist:5j3htXVskZF0u8qWY5zcF8,https://open.spotify.com/artist/5j3htXVskZF0u8qWY5zcF8
https://api.spotify.com/v1/artists/559vxOLTzlAv0zB77JMcdG,559vxOLTzlAv0zB77JMcdG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebddf1217b512aecab728c41ab', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ddf1217b512aecab728c41ab', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ddf1217b512aecab728c41ab', 'height': 160, 'width': 160}]",Alceu Valença,artist,spotify:artist:559vxOLTzlAv0zB77JMcdG,https://open.spotify.com/artist/559vxOLTzlAv0zB77JMcdG
https://api.spotify.com/v1/artists/4UY8oXAmhqJajLSW7uWe8m,4UY8oXAmhqJajLSW7uWe8m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1b9a6dc6563a804e2d56cb41', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741b9a6dc6563a804e2d56cb41', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781b9a6dc6563a804e2d56cb41', 'height': 160, 'width': 160}]",Zé Geraldo,artist,spotify:artist:4UY8oXAmhqJajLSW7uWe8m,https://open.spotify.com/artist/4UY8oXAmhqJajLSW7uWe8m
https://api.spotify.com/v1/artists/47ucOGPLBaYYcUcTNI1Szg,47ucOGPLBaYYcUcTNI1Szg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27306a0f49eca98f102cab5e98c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0206a0f49eca98f102cab5e98c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485106a0f49eca98f102cab5e98c', 'height': 64, 'width': 64}]",Geraldo Vandre,artist,spotify:artist:47ucOGPLBaYYcUcTNI1Szg,https://open.spotify.com/artist/47ucOGPLBaYYcUcTNI1Szg
https://api.spotify.com/v1/artists/75Qz4khssbuJcwXGUza7q3,75Qz4khssbuJcwXGUza7q3,[],Geraldo L. Azevedo,artist,spotify:artist:75Qz4khssbuJcwXGUza7q3,https://open.spotify.com/artist/75Qz4khssbuJcwXGUza7q3
https://api.spotify.com/v1/artists/4ph6Bt1mkDlmf32PSvRa8A,4ph6Bt1mkDlmf32PSvRa8A,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebad92044cb11a374ba52323d7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ad92044cb11a374ba52323d7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ad92044cb11a374ba52323d7', 'height': 160, 'width': 160}]",Elba Ramalho,artist,spotify:artist:4ph6Bt1mkDlmf32PSvRa8A,https://open.spotify.com/artist/4ph6Bt1mkDlmf32PSvRa8A
https://api.spotify.com/v1/artists/3vGQnPC0TBIVJYT5Cw0dlw,3vGQnPC0TBIVJYT5Cw0dlw,[],Geraldo Azevedo,artist,spotify:artist:3vGQnPC0TBIVJYT5Cw0dlw,https://open.spotify.com/artist/3vGQnPC0TBIVJYT5Cw0dlw
https://api.spotify.com/v1/artists/1no2QN1vm7W6ZMo8yA2kNu,1no2QN1vm7W6ZMo8yA2kNu,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273bcfd8598510f0dc3a6c678a1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02bcfd8598510f0dc3a6c678a1', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851bcfd8598510f0dc3a6c678a1', 'height': 64, 'width': 64}]",Amelinha & Geraldo Azevedo,artist,spotify:artist:1no2QN1vm7W6ZMo8yA2kNu,https://open.spotify.com/artist/1no2QN1vm7W6ZMo8yA2kNu
