href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4ph6Bt1mkDlmf32PSvRa8A,4ph6Bt1mkDlmf32PSvRa8A,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebad92044cb11a374ba52323d7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ad92044cb11a374ba52323d7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ad92044cb11a374ba52323d7', 'height': 160, 'width': 160}]",Elba Ramalho,artist,spotify:artist:4ph6Bt1mkDlmf32PSvRa8A,https://open.spotify.com/artist/4ph6Bt1mkDlmf32PSvRa8A
https://api.spotify.com/v1/artists/1mCHLu4gizrN9PwHxKrJv4,1mCHLu4gizrN9PwHxKrJv4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1081f4badc8afb579b99d7c2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741081f4badc8afb579b99d7c2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781081f4badc8afb579b99d7c2', 'height': 160, 'width': 160}]",Dominguinhos,artist,spotify:artist:1mCHLu4gizrN9PwHxKrJv4,https://open.spotify.com/artist/1mCHLu4gizrN9PwHxKrJv4
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/559vxOLTzlAv0zB77JMcdG,559vxOLTzlAv0zB77JMcdG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebddf1217b512aecab728c41ab', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ddf1217b512aecab728c41ab', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ddf1217b512aecab728c41ab', 'height': 160, 'width': 160}]",Alceu Valença,artist,spotify:artist:559vxOLTzlAv0zB77JMcdG,https://open.spotify.com/artist/559vxOLTzlAv0zB77JMcdG
https://api.spotify.com/v1/artists/2NV8wsJhhvuEcimZaOuCcT,2NV8wsJhhvuEcimZaOuCcT,[],Elba Ramalho,artist,spotify:artist:2NV8wsJhhvuEcimZaOuCcT,https://open.spotify.com/artist/2NV8wsJhhvuEcimZaOuCcT
https://api.spotify.com/v1/artists/3vbkPtKWuELuX6guRVHoL6,3vbkPtKWuELuX6guRVHoL6,[],Elba Ramalho,artist,spotify:artist:3vbkPtKWuELuX6guRVHoL6,https://open.spotify.com/artist/3vbkPtKWuELuX6guRVHoL6
https://api.spotify.com/v1/artists/5j3htXVskZF0u8qWY5zcF8,5j3htXVskZF0u8qWY5zcF8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0f1b77edadcf52574b6f47d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0f1b77edadcf52574b6f47d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0f1b77edadcf52574b6f47d', 'height': 160, 'width': 160}]",Fagner,artist,spotify:artist:5j3htXVskZF0u8qWY5zcF8,https://open.spotify.com/artist/5j3htXVskZF0u8qWY5zcF8
https://api.spotify.com/v1/artists/65TbyndeGrDlFd4IkZNfbN,65TbyndeGrDlFd4IkZNfbN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb24073a9a87c25967ad2fc2ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517424073a9a87c25967ad2fc2ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17824073a9a87c25967ad2fc2ae', 'height': 160, 'width': 160}]",Geraldo Azevedo,artist,spotify:artist:65TbyndeGrDlFd4IkZNfbN,https://open.spotify.com/artist/65TbyndeGrDlFd4IkZNfbN
https://api.spotify.com/v1/artists/3DDgQve4mVoZdxXra22L1i,3DDgQve4mVoZdxXra22L1i,[],Dominguinhos e Elba Ramalho,artist,spotify:artist:3DDgQve4mVoZdxXra22L1i,https://open.spotify.com/artist/3DDgQve4mVoZdxXra22L1i
https://api.spotify.com/v1/artists/76fnX3EACd0wBS4N6syD9C,76fnX3EACd0wBS4N6syD9C,[],ELBA RAMALHO,artist,spotify:artist:76fnX3EACd0wBS4N6syD9C,https://open.spotify.com/artist/76fnX3EACd0wBS4N6syD9C
