href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b5b52f7e13f720c7a4856306', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b5b52f7e13f720c7a4856306', 'height': 160, 'width': 160}]",Ozzy Osbourne,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517469ca98dd3083f1082d740e44', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17869ca98dd3083f1082d740e44', 'height': 160, 'width': 160}]",Metallica,artist,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB
https://api.spotify.com/v1/artists/5M52tdBnJaKSvOpJGz8mfZ,5M52tdBnJaKSvOpJGz8mfZ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4870cd833ebe1092601820c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744870cd833ebe1092601820c3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784870cd833ebe1092601820c3', 'height': 160, 'width': 160}]",Black Sabbath,artist,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ
https://api.spotify.com/v1/artists/6mdiAmATAx73kdxrNrnlao,6mdiAmATAx73kdxrNrnlao,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf9978ad4808f6f2723124d19', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f9978ad4808f6f2723124d19', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f9978ad4808f6f2723124d19', 'height': 160, 'width': 160}]",Iron Maiden,artist,spotify:artist:6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao
https://api.spotify.com/v1/artists/2y6FbMslkRPPzWS1ec4lVh,2y6FbMslkRPPzWS1ec4lVh,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2733006dfdff140e884496dd2e1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e023006dfdff140e884496dd2e1', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048513006dfdff140e884496dd2e1', 'height': 64, 'width': 64}]",Ozzy Osbourne,artist,spotify:artist:2y6FbMslkRPPzWS1ec4lVh,https://open.spotify.com/artist/2y6FbMslkRPPzWS1ec4lVh
https://api.spotify.com/v1/artists/5wcO77oMCAe4iggAu0GZez,5wcO77oMCAe4iggAu0GZez,[],Jake E. Lee of Ozzy Osbourne,artist,spotify:artist:5wcO77oMCAe4iggAu0GZez,https://open.spotify.com/artist/5wcO77oMCAe4iggAu0GZez
https://api.spotify.com/v1/artists/4TQfX9Rg8lhdJgjc6IrdGt,4TQfX9Rg8lhdJgjc6IrdGt,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273793e6ba2abce3828537fd84f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02793e6ba2abce3828537fd84f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851793e6ba2abce3828537fd84f', 'height': 64, 'width': 64}]",ozzy,artist,spotify:artist:4TQfX9Rg8lhdJgjc6IrdGt,https://open.spotify.com/artist/4TQfX9Rg8lhdJgjc6IrdGt
https://api.spotify.com/v1/artists/55MFTbbaajhB5kGkvZOnBi,55MFTbbaajhB5kGkvZOnBi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5f3780b9eb266794096d0aa5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745f3780b9eb266794096d0aa5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785f3780b9eb266794096d0aa5', 'height': 160, 'width': 160}]",OZZY,artist,spotify:artist:55MFTbbaajhB5kGkvZOnBi,https://open.spotify.com/artist/55MFTbbaajhB5kGkvZOnBi
