href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1I3wpGfguTwQmBLtqw2H7A,1I3wpGfguTwQmBLtqw2H7A,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb577564e5c5acd17d0034ed9f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174577564e5c5acd17d0034ed9f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178577564e5c5acd17d0034ed9f', 'height': 160, 'width': 160}]",Herbert Vianna,artist,spotify:artist:1I3wpGfguTwQmBLtqw2H7A,https://open.spotify.com/artist/1I3wpGfguTwQmBLtqw2H7A
https://api.spotify.com/v1/artists/7EM9m7HOXxVgP9oEpDDv70,7EM9m7HOXxVgP9oEpDDv70,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc379b4361bcfb87f5bd72808', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c379b4361bcfb87f5bd72808', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c379b4361bcfb87f5bd72808', 'height': 160, 'width': 160}]",Os Paralamas Do Sucesso,artist,spotify:artist:7EM9m7HOXxVgP9oEpDDv70,https://open.spotify.com/artist/7EM9m7HOXxVgP9oEpDDv70
https://api.spotify.com/v1/artists/6YIRlY9UacXVDAT4W1z59s,6YIRlY9UacXVDAT4W1z59s,[],Herbert Vianna,artist,spotify:artist:6YIRlY9UacXVDAT4W1z59s,https://open.spotify.com/artist/6YIRlY9UacXVDAT4W1z59s
https://api.spotify.com/v1/artists/3Xzuoddg3G2f1uMQgRU8uh,3Xzuoddg3G2f1uMQgRU8uh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0e7922f04c8c975eacfcbda6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740e7922f04c8c975eacfcbda6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780e7922f04c8c975eacfcbda6', 'height': 160, 'width': 160}]",Junior Vianna,artist,spotify:artist:3Xzuoddg3G2f1uMQgRU8uh,https://open.spotify.com/artist/3Xzuoddg3G2f1uMQgRU8uh
https://api.spotify.com/v1/artists/1zEo6Fk1iaaOYFlFPBHCFn,1zEo6Fk1iaaOYFlFPBHCFn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb47e5f6aee2e70fe0c308825c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517447e5f6aee2e70fe0c308825c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17847e5f6aee2e70fe0c308825c', 'height': 160, 'width': 160}]",Humberto & Ronaldo,artist,spotify:artist:1zEo6Fk1iaaOYFlFPBHCFn,https://open.spotify.com/artist/1zEo6Fk1iaaOYFlFPBHCFn
https://api.spotify.com/v1/artists/76EaodpEDYqWc8hLVohIg4,76EaodpEDYqWc8hLVohIg4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd95250762513bc35f2475d08', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d95250762513bc35f2475d08', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d95250762513bc35f2475d08', 'height': 160, 'width': 160}]",Zé Vianna e Gabriel,artist,spotify:artist:76EaodpEDYqWc8hLVohIg4,https://open.spotify.com/artist/76EaodpEDYqWc8hLVohIg4
https://api.spotify.com/v1/artists/46NHIGaIM5YNY9Wu1kIqvP,46NHIGaIM5YNY9Wu1kIqvP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf0634498239389d14131016a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f0634498239389d14131016a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f0634498239389d14131016a', 'height': 160, 'width': 160}]",Guilherme Silva,artist,spotify:artist:46NHIGaIM5YNY9Wu1kIqvP,https://open.spotify.com/artist/46NHIGaIM5YNY9Wu1kIqvP
https://api.spotify.com/v1/artists/2OUgs5INWK2UEvZ6amWiJr,2OUgs5INWK2UEvZ6amWiJr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb724c358805e181037758f986', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174724c358805e181037758f986', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178724c358805e181037758f986', 'height': 160, 'width': 160}]",Eduardo Costa,artist,spotify:artist:2OUgs5INWK2UEvZ6amWiJr,https://open.spotify.com/artist/2OUgs5INWK2UEvZ6amWiJr
https://api.spotify.com/v1/artists/65TbyndeGrDlFd4IkZNfbN,65TbyndeGrDlFd4IkZNfbN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb24073a9a87c25967ad2fc2ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517424073a9a87c25967ad2fc2ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17824073a9a87c25967ad2fc2ae', 'height': 160, 'width': 160}]",Geraldo Azevedo,artist,spotify:artist:65TbyndeGrDlFd4IkZNfbN,https://open.spotify.com/artist/65TbyndeGrDlFd4IkZNfbN
https://api.spotify.com/v1/artists/5R18GNmvBWGTfBAG0Xy8WT,5R18GNmvBWGTfBAG0Xy8WT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf08cceafd01cbd441fe5391f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f08cceafd01cbd441fe5391f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f08cceafd01cbd441fe5391f', 'height': 160, 'width': 160}]",Zezo,artist,spotify:artist:5R18GNmvBWGTfBAG0Xy8WT,https://open.spotify.com/artist/5R18GNmvBWGTfBAG0Xy8WT
