href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0kbYTNQb4Pb1rPbbaF0pT4,0kbYTNQb4Pb1rPbbaF0pT4,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c12f90798134ecfe8dcb99db6', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2212f90798134ecfe8dcb99db6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac312f90798134ecfe8dcb99db6', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7412f90798134ecfe8dcb99db6', 'height': 64, 'width': 64}]",Miles Davis,artist,spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
https://api.spotify.com/v1/artists/2hGh5VOeeqimQFxqXvfCUf,2hGh5VOeeqimQFxqXvfCUf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4e85f2df0ebc051fcb317def', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744e85f2df0ebc051fcb317def', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784e85f2df0ebc051fcb317def', 'height': 160, 'width': 160}]",John Coltrane,artist,spotify:artist:2hGh5VOeeqimQFxqXvfCUf,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
https://api.spotify.com/v1/artists/3rxeQlsv0Sc2nyYaZ5W71T,3rxeQlsv0Sc2nyYaZ5W71T,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebabde819fe640d69f899e7844', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174abde819fe640d69f899e7844', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178abde819fe640d69f899e7844', 'height': 160, 'width': 160}]",Chet Baker,artist,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T
https://api.spotify.com/v1/artists/71Ur25Abq58vksqJINpGdx,71Ur25Abq58vksqJINpGdx,"[{'url': 'https://i.scdn.co/image/7e2b6815b5973d47cccbad1d834089231d9b737e', 'height': 723, 'width': 999}, {'url': 'https://i.scdn.co/image/399ee45e619648be6ce992228b79354f31b69999', 'height': 463, 'width': 640}, {'url': 'https://i.scdn.co/image/9c69550b77ce6f3d040f32122bff0325e0dddd3c', 'height': 145, 'width': 200}, {'url': 'https://i.scdn.co/image/5b89bd24901e2d12347296e753027b70e0bfeacd', 'height': 46, 'width': 64}]",Miles Davis Quintet,artist,spotify:artist:71Ur25Abq58vksqJINpGdx,https://open.spotify.com/artist/71Ur25Abq58vksqJINpGdx
https://api.spotify.com/v1/artists/4Ww5mwS7BWYjoZTUIrMHfC,4Ww5mwS7BWYjoZTUIrMHfC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5642427a0fb3988948c9bec4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745642427a0fb3988948c9bec4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785642427a0fb3988948c9bec4', 'height': 160, 'width': 160}]",Charlie Parker,artist,spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC,https://open.spotify.com/artist/4Ww5mwS7BWYjoZTUIrMHfC
https://api.spotify.com/v1/artists/2TVOscfpfIwOuHU17wcuB1,2TVOscfpfIwOuHU17wcuB1,[],Miles Davis (With Easy Mo Bee),artist,spotify:artist:2TVOscfpfIwOuHU17wcuB1,https://open.spotify.com/artist/2TVOscfpfIwOuHU17wcuB1
https://api.spotify.com/v1/artists/51gulqh1DpAHn0ZUNMRBRu,51gulqh1DpAHn0ZUNMRBRu,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273e2318a139e0f022870baac23', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02e2318a139e0f022870baac23', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e2318a139e0f022870baac23', 'height': 64, 'width': 64}]",Miles Davis And Milt Jackson Quintet,artist,spotify:artist:51gulqh1DpAHn0ZUNMRBRu,https://open.spotify.com/artist/51gulqh1DpAHn0ZUNMRBRu
https://api.spotify.com/v1/artists/4sQVPSDmfqIxG9W8o2EROX,4sQVPSDmfqIxG9W8o2EROX,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27364351626df25d938db9b9f2f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0264351626df25d938db9b9f2f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485164351626df25d938db9b9f2f', 'height': 64, 'width': 64}]",Miles Davis Quartet,artist,spotify:artist:4sQVPSDmfqIxG9W8o2EROX,https://open.spotify.com/artist/4sQVPSDmfqIxG9W8o2EROX
https://api.spotify.com/v1/artists/5HlnN6xF2MD87KhGRmCRTd,5HlnN6xF2MD87KhGRmCRTd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeaaeeb67f1f03b317e40306c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eaaeeb67f1f03b317e40306c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eaaeeb67f1f03b317e40306c', 'height': 160, 'width': 160}]",Vinícius de Moraes,artist,spotify:artist:5HlnN6xF2MD87KhGRmCRTd,https://open.spotify.com/artist/5HlnN6xF2MD87KhGRmCRTd
https://api.spotify.com/v1/artists/3Bnq7jiU506HcPjRgQ43TM,3Bnq7jiU506HcPjRgQ43TM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8ed529f569634a2c98232412', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748ed529f569634a2c98232412', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788ed529f569634a2c98232412', 'height': 160, 'width': 160}]",Milton Nascimento,artist,spotify:artist:3Bnq7jiU506HcPjRgQ43TM,https://open.spotify.com/artist/3Bnq7jiU506HcPjRgQ43TM
