href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/2hGh5VOeeqimQFxqXvfCUf,2hGh5VOeeqimQFxqXvfCUf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4e85f2df0ebc051fcb317def', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744e85f2df0ebc051fcb317def', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784e85f2df0ebc051fcb317def', 'height': 160, 'width': 160}]",John Coltrane,artist,spotify:artist:2hGh5VOeeqimQFxqXvfCUf,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
https://api.spotify.com/v1/artists/5k3CkxpaPwsFdjlW6A4LOS,5k3CkxpaPwsFdjlW6A4LOS,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a5e6f64974b92597bb25e4b2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a5e6f64974b92597bb25e4b2', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a5e6f64974b92597bb25e4b2', 'height': 64, 'width': 64}]",John Coltrane & Johnny Hartman,artist,spotify:artist:5k3CkxpaPwsFdjlW6A4LOS,https://open.spotify.com/artist/5k3CkxpaPwsFdjlW6A4LOS
https://api.spotify.com/v1/artists/0kbYTNQb4Pb1rPbbaF0pT4,0kbYTNQb4Pb1rPbbaF0pT4,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c12f90798134ecfe8dcb99db6', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2212f90798134ecfe8dcb99db6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac312f90798134ecfe8dcb99db6', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7412f90798134ecfe8dcb99db6', 'height': 64, 'width': 64}]",Miles Davis,artist,spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
https://api.spotify.com/v1/artists/67PZTxaHKMZBFRUh8wIzCy,67PZTxaHKMZBFRUh8wIzCy,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a3d4884d3433efed2c4a0563', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a3d4884d3433efed2c4a0563', 'height': 64, 'width': 64}]",John Coltrane Quartet,artist,spotify:artist:67PZTxaHKMZBFRUh8wIzCy,https://open.spotify.com/artist/67PZTxaHKMZBFRUh8wIzCy
https://api.spotify.com/v1/artists/4Ww5mwS7BWYjoZTUIrMHfC,4Ww5mwS7BWYjoZTUIrMHfC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5642427a0fb3988948c9bec4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745642427a0fb3988948c9bec4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785642427a0fb3988948c9bec4', 'height': 160, 'width': 160}]",Charlie Parker,artist,spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC,https://open.spotify.com/artist/4Ww5mwS7BWYjoZTUIrMHfC
https://api.spotify.com/v1/artists/4F7Q5NV6h5TSwCainz8S5A,4F7Q5NV6h5TSwCainz8S5A,"[{'url': 'https://i.scdn.co/image/1e24691a352233bbe989a311d921f17e7892a87e', 'height': 1154, 'width': 1000}, {'url': 'https://i.scdn.co/image/c169af91bf56ac7d3962000f6ab237e1586d9732', 'height': 739, 'width': 640}, {'url': 'https://i.scdn.co/image/b6a297e56436a75ffcab7f594dafc46c9872f793', 'height': 231, 'width': 200}, {'url': 'https://i.scdn.co/image/2ac71fb8c2ff235d2484d40d274473767eaf07b5', 'height': 74, 'width': 64}]",Duke Ellington,artist,spotify:artist:4F7Q5NV6h5TSwCainz8S5A,https://open.spotify.com/artist/4F7Q5NV6h5TSwCainz8S5A
https://api.spotify.com/v1/artists/0LdbEiN9QIvCHEfW3VP94A,0LdbEiN9QIvCHEfW3VP94A,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c29edffe01a508720bf2a342', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c29edffe01a508720bf2a342', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c29edffe01a508720bf2a342', 'height': 64, 'width': 64}]","John Coltrane, Kenny Burrell, Idrees Sulieman, Tommy Flanagan",artist,spotify:artist:0LdbEiN9QIvCHEfW3VP94A,https://open.spotify.com/artist/0LdbEiN9QIvCHEfW3VP94A
https://api.spotify.com/v1/artists/05TV25sw3rO4b7QUjcQcF2,05TV25sw3rO4b7QUjcQcF2,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27380be62ac1b9199b0e560c415', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0280be62ac1b9199b0e560c415', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485180be62ac1b9199b0e560c415', 'height': 64, 'width': 64}]",John Coltrane Sextet,artist,spotify:artist:05TV25sw3rO4b7QUjcQcF2,https://open.spotify.com/artist/05TV25sw3rO4b7QUjcQcF2
https://api.spotify.com/v1/artists/3pO5VjZ4wOHCMBXOvbMISG,3pO5VjZ4wOHCMBXOvbMISG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb18561c395151b4ab0e3c17ee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517418561c395151b4ab0e3c17ee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17818561c395151b4ab0e3c17ee', 'height': 160, 'width': 160}]",Antônio Carlos Jobim,artist,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
https://api.spotify.com/v1/artists/17wDxPR2GcU3r1dpCoCiUi,17wDxPR2GcU3r1dpCoCiUi,"[{'url': 'https://i.scdn.co/image/67fdbcc62d4f85f39fc1957b546721ac55694286', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/78160a54b7c99374195981e9872f13dc2f1281bd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/d2d46bdd259b705973953bf86ae4abb58e864586', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/fc730d20c60f64a51ee84d01b4c9f9aa0079a437', 'height': 64, 'width': 64}]",João Donato,artist,spotify:artist:17wDxPR2GcU3r1dpCoCiUi,https://open.spotify.com/artist/17wDxPR2GcU3r1dpCoCiUi
