href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/5V0MlUE1Bft0mbLlND7FJz,5V0MlUE1Bft0mbLlND7FJz,"[{'url': 'https://i.scdn.co/image/3c1d23141059785c8a863137d176319329dc17ef', 'height': 1048, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab7d0c038d876a9ed5a21afb83d6ba760430cf90', 'height': 671, 'width': 640}, {'url': 'https://i.scdn.co/image/b4bdb342ca1878e96acf33c5b972491d93cd909c', 'height': 210, 'width': 200}, {'url': 'https://i.scdn.co/image/5091b7625a1bd565e9c1d37922a5b5119b380645', 'height': 67, 'width': 64}]",Ella Fitzgerald,artist,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,https://open.spotify.com/artist/5V0MlUE1Bft0mbLlND7FJz
https://api.spotify.com/v1/artists/19eLuQmk9aCobbVDHc6eek,19eLuQmk9aCobbVDHc6eek,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c53b6519baafe8f4d6135453e', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2253b6519baafe8f4d6135453e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac353b6519baafe8f4d6135453e', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7453b6519baafe8f4d6135453e', 'height': 64, 'width': 64}]",Louis Armstrong,artist,spotify:artist:19eLuQmk9aCobbVDHc6eek,https://open.spotify.com/artist/19eLuQmk9aCobbVDHc6eek
https://api.spotify.com/v1/artists/1YzCsTRb22dQkh9lghPIrp,1YzCsTRb22dQkh9lghPIrp,"[{'url': 'https://i.scdn.co/image/4efa6b6871a0f672b78b3d16fd5a03c6cd212d58', 'height': 828, 'width': 1000}, {'url': 'https://i.scdn.co/image/11f685f3011fd163c386ce1afe7ce543ad814817', 'height': 530, 'width': 640}, {'url': 'https://i.scdn.co/image/0f472c69891d82d5049f7de35426b2fdeb6051c0', 'height': 166, 'width': 200}, {'url': 'https://i.scdn.co/image/73b9538798c13c7be7558d69b02019cf19e1d5db', 'height': 53, 'width': 64}]",Billie Holiday,artist,spotify:artist:1YzCsTRb22dQkh9lghPIrp,https://open.spotify.com/artist/1YzCsTRb22dQkh9lghPIrp
https://api.spotify.com/v1/artists/0iOVhN3tnSvgDbcg25JoJb,0iOVhN3tnSvgDbcg25JoJb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb058531dfd9746a96ad85265f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174058531dfd9746a96ad85265f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178058531dfd9746a96ad85265f', 'height': 160, 'width': 160}]",Etta James,artist,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb
https://api.spotify.com/v1/artists/7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb136c51c848c26a6cce7f9e56', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174136c51c848c26a6cce7f9e56', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178136c51c848c26a6cce7f9e56', 'height': 160, 'width': 160}]",Nina Simone,artist,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,https://open.spotify.com/artist/7G1GBhoKtEPnP86X2PvEYO
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/55yxkaQNmvxkj2WA2myFsz,55yxkaQNmvxkj2WA2myFsz,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a9759aca82de84cf17dd04c9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a9759aca82de84cf17dd04c9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a9759aca82de84cf17dd04c9', 'height': 64, 'width': 64}]",Ella Fitzgerald and Her Savoy Eight,artist,spotify:artist:55yxkaQNmvxkj2WA2myFsz,https://open.spotify.com/artist/55yxkaQNmvxkj2WA2myFsz
https://api.spotify.com/v1/artists/02UotVhmqPg91twSGAwSgR,02UotVhmqPg91twSGAwSgR,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27364106627cfec25816fbbb518', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0264106627cfec25816fbbb518', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485164106627cfec25816fbbb518', 'height': 64, 'width': 64}]",Ella Fitzgerald and Her Famous Orchestra,artist,spotify:artist:02UotVhmqPg91twSGAwSgR,https://open.spotify.com/artist/02UotVhmqPg91twSGAwSgR
https://api.spotify.com/v1/artists/0ZXEk4WDiPwEkjG6pQ408i,0ZXEk4WDiPwEkjG6pQ408i,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d8f498883e0b07424d30318e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d8f498883e0b07424d30318e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d8f498883e0b07424d30318e', 'height': 64, 'width': 64}]",Ella Fitzgerald & Louis Armstrong,artist,spotify:artist:0ZXEk4WDiPwEkjG6pQ408i,https://open.spotify.com/artist/0ZXEk4WDiPwEkjG6pQ408i
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/1Mxqyy3pSjf8kZZL4QVxS0,1Mxqyy3pSjf8kZZL4QVxS0,"[{'url': 'https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411', 'height': 650, 'width': 999}, {'url': 'https://i.scdn.co/image/883de3e492364891543bc0313ffe516626778a16', 'height': 416, 'width': 640}, {'url': 'https://i.scdn.co/image/810f29651e05c9eae5a31f8151c2e05dc46390f9', 'height': 130, 'width': 200}, {'url': 'https://i.scdn.co/image/a283ecdc6252ae305c53d283846cae2e8b22e94c', 'height': 42, 'width': 64}]",Frank Sinatra,artist,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/2hGh5VOeeqimQFxqXvfCUf,2hGh5VOeeqimQFxqXvfCUf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4e85f2df0ebc051fcb317def', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744e85f2df0ebc051fcb317def', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784e85f2df0ebc051fcb317def', 'height': 160, 'width': 160}]",John Coltrane,artist,spotify:artist:2hGh5VOeeqimQFxqXvfCUf,https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf
