href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1YzCsTRb22dQkh9lghPIrp,1YzCsTRb22dQkh9lghPIrp,"[{'url': 'https://i.scdn.co/image/4efa6b6871a0f672b78b3d16fd5a03c6cd212d58', 'height': 828, 'width': 1000}, {'url': 'https://i.scdn.co/image/11f685f3011fd163c386ce1afe7ce543ad814817', 'height': 530, 'width': 640}, {'url': 'https://i.scdn.co/image/0f472c69891d82d5049f7de35426b2fdeb6051c0', 'height': 166, 'width': 200}, {'url': 'https://i.scdn.co/image/73b9538798c13c7be7558d69b02019cf19e1d5db', 'height': 53, 'width': 64}]",Billie Holiday,artist,spotify:artist:1YzCsTRb22dQkh9lghPIrp,https://open.spotify.com/artist/1YzCsTRb22dQkh9lghPIrp
https://api.spotify.com/v1/artists/5V0MlUE1Bft0mbLlND7FJz,5V0MlUE1Bft0mbLlND7FJz,"[{'url': 'https://i.scdn.co/image/3c1d23141059785c8a863137d176319329dc17ef', 'height': 1048, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab7d0c038d876a9ed5a21afb83d6ba760430cf90', 'height': 671, 'width': 640}, {'url': 'https://i.scdn.co/image/b4bdb342ca1878e96acf33c5b972491d93cd909c', 'height': 210, 'width': 200}, {'url': 'https://i.scdn.co/image/5091b7625a1bd565e9c1d37922a5b5119b380645', 'height': 67, 'width': 64}]",Ella Fitzgerald,artist,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,https://open.spotify.com/artist/5V0MlUE1Bft0mbLlND7FJz
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb136c51c848c26a6cce7f9e56', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174136c51c848c26a6cce7f9e56', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178136c51c848c26a6cce7f9e56', 'height': 160, 'width': 160}]",Nina Simone,artist,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,https://open.spotify.com/artist/7G1GBhoKtEPnP86X2PvEYO
https://api.spotify.com/v1/artists/0iOVhN3tnSvgDbcg25JoJb,0iOVhN3tnSvgDbcg25JoJb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb058531dfd9746a96ad85265f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174058531dfd9746a96ad85265f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178058531dfd9746a96ad85265f', 'height': 160, 'width': 160}]",Etta James,artist,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb
https://api.spotify.com/v1/artists/1NyjXECy9ercRlCT6mGEH5,1NyjXECy9ercRlCT6mGEH5,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273dcd4d6cdd9fe35467f807bd5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02dcd4d6cdd9fe35467f807bd5', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851dcd4d6cdd9fe35467f807bd5', 'height': 64, 'width': 64}]",Billie Holiday & Lester Young,artist,spotify:artist:1NyjXECy9ercRlCT6mGEH5,https://open.spotify.com/artist/1NyjXECy9ercRlCT6mGEH5
https://api.spotify.com/v1/artists/0QPRELmxKGcJF6ICz0VWOo,0QPRELmxKGcJF6ICz0VWOo,[],Billie Holiday Orchestra,artist,spotify:artist:0QPRELmxKGcJF6ICz0VWOo,https://open.spotify.com/artist/0QPRELmxKGcJF6ICz0VWOo
https://api.spotify.com/v1/artists/5YSywRoKb8JZKSYkKq9ogm,5YSywRoKb8JZKSYkKq9ogm,[],Billie Holiday & Her Orchestra,artist,spotify:artist:5YSywRoKb8JZKSYkKq9ogm,https://open.spotify.com/artist/5YSywRoKb8JZKSYkKq9ogm
https://api.spotify.com/v1/artists/1CaKScHpi1s3qMP9uQgs1B,1CaKScHpi1s3qMP9uQgs1B,[],"Billie Holiday, Lester Young, Teddy Wilson Orchestra",artist,spotify:artist:1CaKScHpi1s3qMP9uQgs1B,https://open.spotify.com/artist/1CaKScHpi1s3qMP9uQgs1B
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
