href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0mXTJETA4XUa12MmmXxZJh,0mXTJETA4XUa12MmmXxZJh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb98a58862098f8be6496ba9d6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517498a58862098f8be6496ba9d6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17898a58862098f8be6496ba9d6', 'height': 160, 'width': 160}]",Eddie Vedder,artist,spotify:artist:0mXTJETA4XUa12MmmXxZJh,https://open.spotify.com/artist/0mXTJETA4XUa12MmmXxZJh
https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,1w5Kfo2jwwIPruYS2UWh56,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe431fb8ba17cdee73e4ce08a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e431fb8ba17cdee73e4ce08a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e431fb8ba17cdee73e4ce08a', 'height': 160, 'width': 160}]",Pearl Jam,artist,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56
https://api.spotify.com/v1/artists/0XHiH53dHrvbwfjYM7en7I,0XHiH53dHrvbwfjYM7en7I,"[{'url': 'https://i.scdn.co/image/f7db2b2d592dd542e7470e2307a5848060837565', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/1a5ae6805602577953a1213782ee51ba3583738c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/f74e645827ff0bd0dfaae16f9a77eea34158ec9f', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/deaf1957024c5fbc09d40068b89197d637e11e69', 'height': 64, 'width': 64}]",Chris Cornell,artist,spotify:artist:0XHiH53dHrvbwfjYM7en7I,https://open.spotify.com/artist/0XHiH53dHrvbwfjYM7en7I
https://api.spotify.com/v1/artists/2erFrAamkmB7DTmelZNrJr,2erFrAamkmB7DTmelZNrJr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6f6013a23e467c32b9086dce', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746f6013a23e467c32b9086dce', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786f6013a23e467c32b9086dce', 'height': 160, 'width': 160}]",Eddie Dalton,artist,spotify:artist:2erFrAamkmB7DTmelZNrJr,https://open.spotify.com/artist/2erFrAamkmB7DTmelZNrJr
https://api.spotify.com/v1/artists/4LLQGDYMff9o3Y5zR6bgiI,4LLQGDYMff9o3Y5zR6bgiI,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273878619787cd75a1f8d4a1cca', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02878619787cd75a1f8d4a1cca', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851878619787cd75a1f8d4a1cca', 'height': 64, 'width': 64}]",Eddie Vedder and Natalie Maines,artist,spotify:artist:4LLQGDYMff9o3Y5zR6bgiI,https://open.spotify.com/artist/4LLQGDYMff9o3Y5zR6bgiI
https://api.spotify.com/v1/artists/0iHb0mCbqZTYeb4y9Pirrd,0iHb0mCbqZTYeb4y9Pirrd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf47df3543858204550cc19d3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f47df3543858204550cc19d3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f47df3543858204550cc19d3', 'height': 160, 'width': 160}]",Temple Of The Dog,artist,spotify:artist:0iHb0mCbqZTYeb4y9Pirrd,https://open.spotify.com/artist/0iHb0mCbqZTYeb4y9Pirrd
https://api.spotify.com/v1/artists/0E117i9QKu6lOoan7NZPsS,0E117i9QKu6lOoan7NZPsS,[],"Eddie Vedder, Cambell 2000 and Sadie 7",artist,spotify:artist:0E117i9QKu6lOoan7NZPsS,https://open.spotify.com/artist/0E117i9QKu6lOoan7NZPsS
https://api.spotify.com/v1/artists/4LMsUGCTzMsLYcL90zb8sF,4LMsUGCTzMsLYcL90zb8sF,"[{'url': 'https://i.scdn.co/image/c161abc7d6e6fae5d4bcb8382ab994ef138ded66', 'height': 1072, 'width': 1000}, {'url': 'https://i.scdn.co/image/df0aaa3584d001ab25a6aa4c56736476ca0e60ff', 'height': 686, 'width': 640}, {'url': 'https://i.scdn.co/image/d0253fc3cb610230b35bbc1734786d167e7eb301', 'height': 214, 'width': 200}, {'url': 'https://i.scdn.co/image/68da45c1f624c934ca7183c3d0e512b986f8e8d9', 'height': 69, 'width': 64}]",Eddie Henderson,artist,spotify:artist:4LMsUGCTzMsLYcL90zb8sF,https://open.spotify.com/artist/4LMsUGCTzMsLYcL90zb8sF
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/64tNsm6TnZe2zpcMVMOoHL,64tNsm6TnZe2zpcMVMOoHL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6114a63659d0d5c0a801f733', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746114a63659d0d5c0a801f733', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786114a63659d0d5c0a801f733', 'height': 160, 'width': 160}]",Alice In Chains,artist,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL
https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,0L8ExT028jH3ddEcZwqJJ5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c33cc15260b767ddec982ce8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c33cc15260b767ddec982ce8', 'height': 160, 'width': 160}]",Red Hot Chili Peppers,artist,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
https://api.spotify.com/v1/artists/3GBPw9NK25X1Wt2OUvOwY3,3GBPw9NK25X1Wt2OUvOwY3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0bf3ff1eaa4c0d6d664ccc3f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740bf3ff1eaa4c0d6d664ccc3f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780bf3ff1eaa4c0d6d664ccc3f', 'height': 160, 'width': 160}]",Jack Johnson,artist,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3
https://api.spotify.com/v1/artists/1p5GdbJtj10y2M687uTooL,1p5GdbJtj10y2M687uTooL,[],Supersuckers with Eddie Vedder,artist,spotify:artist:1p5GdbJtj10y2M687uTooL,https://open.spotify.com/artist/1p5GdbJtj10y2M687uTooL
https://api.spotify.com/v1/artists/09vHz266dR5oAQkp99hhEt,09vHz266dR5oAQkp99hhEt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7c47b56e50ae8192492ab053', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747c47b56e50ae8192492ab053', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787c47b56e50ae8192492ab053', 'height': 160, 'width': 160}]",Eddie Sender,artist,spotify:artist:09vHz266dR5oAQkp99hhEt,https://open.spotify.com/artist/09vHz266dR5oAQkp99hhEt
https://api.spotify.com/v1/artists/4bOZtegYNmYOe3gMgPtt0H,4bOZtegYNmYOe3gMgPtt0H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebceb9c742e59d3f716fe5c617', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ceb9c742e59d3f716fe5c617', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ceb9c742e59d3f716fe5c617', 'height': 160, 'width': 160}]",Kid Abelha,artist,spotify:artist:4bOZtegYNmYOe3gMgPtt0H,https://open.spotify.com/artist/4bOZtegYNmYOe3gMgPtt0H
https://api.spotify.com/v1/artists/1WWYjMIiN4vk9NBgdZXAdx,1WWYjMIiN4vk9NBgdZXAdx,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3b4017b7ac4ed01021b0b0ad', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743b4017b7ac4ed01021b0b0ad', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783b4017b7ac4ed01021b0b0ad', 'height': 160, 'width': 160}]",Dino Fonseca,artist,spotify:artist:1WWYjMIiN4vk9NBgdZXAdx,https://open.spotify.com/artist/1WWYjMIiN4vk9NBgdZXAdx
