href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0XHiH53dHrvbwfjYM7en7I,0XHiH53dHrvbwfjYM7en7I,"[{'url': 'https://i.scdn.co/image/f7db2b2d592dd542e7470e2307a5848060837565', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/1a5ae6805602577953a1213782ee51ba3583738c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/f74e645827ff0bd0dfaae16f9a77eea34158ec9f', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/deaf1957024c5fbc09d40068b89197d637e11e69', 'height': 64, 'width': 64}]",Chris Cornell,artist,spotify:artist:0XHiH53dHrvbwfjYM7en7I,https://open.spotify.com/artist/0XHiH53dHrvbwfjYM7en7I
https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,2ziB7fzrXBoh1HUPS6sVFn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5a865295befda9e060a72cb0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745a865295befda9e060a72cb0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785a865295befda9e060a72cb0', 'height': 160, 'width': 160}]",Audioslave,artist,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/5xUf6j4upBrXZPg6AI4MRK,5xUf6j4upBrXZPg6AI4MRK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebafa254b2a224584485286526', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174afa254b2a224584485286526', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178afa254b2a224584485286526', 'height': 160, 'width': 160}]",Soundgarden,artist,spotify:artist:5xUf6j4upBrXZPg6AI4MRK,https://open.spotify.com/artist/5xUf6j4upBrXZPg6AI4MRK
https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,1w5Kfo2jwwIPruYS2UWh56,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe431fb8ba17cdee73e4ce08a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e431fb8ba17cdee73e4ce08a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e431fb8ba17cdee73e4ce08a', 'height': 160, 'width': 160}]",Pearl Jam,artist,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56
https://api.spotify.com/v1/artists/0iHb0mCbqZTYeb4y9Pirrd,0iHb0mCbqZTYeb4y9Pirrd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf47df3543858204550cc19d3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f47df3543858204550cc19d3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f47df3543858204550cc19d3', 'height': 160, 'width': 160}]",Temple Of The Dog,artist,spotify:artist:0iHb0mCbqZTYeb4y9Pirrd,https://open.spotify.com/artist/0iHb0mCbqZTYeb4y9Pirrd
https://api.spotify.com/v1/artists/6kqtuAMKwo799YDTpwY8QK,6kqtuAMKwo799YDTpwY8QK,[],Chris Parnell,artist,spotify:artist:6kqtuAMKwo799YDTpwY8QK,https://open.spotify.com/artist/6kqtuAMKwo799YDTpwY8QK
https://api.spotify.com/v1/artists/4KOYOYrc7k6sbzbR7PxVC3,4KOYOYrc7k6sbzbR7PxVC3,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730cdec5d4578cf7a6a1558a85', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020cdec5d4578cf7a6a1558a85', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510cdec5d4578cf7a6a1558a85', 'height': 64, 'width': 64}]",Christine Cornell,artist,spotify:artist:4KOYOYrc7k6sbzbR7PxVC3,https://open.spotify.com/artist/4KOYOYrc7k6sbzbR7PxVC3
https://api.spotify.com/v1/artists/618OBA9zgdl5eXCiy1grvI,618OBA9zgdl5eXCiy1grvI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb97d3c97fe2aa9df29d633458', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517497d3c97fe2aa9df29d633458', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17897d3c97fe2aa9df29d633458', 'height': 160, 'width': 160}]",Chris Van Cornell,artist,spotify:artist:618OBA9zgdl5eXCiy1grvI,https://open.spotify.com/artist/618OBA9zgdl5eXCiy1grvI
https://api.spotify.com/v1/artists/2Oe27JVtJqG8OLkgYDGzvS,2Oe27JVtJqG8OLkgYDGzvS,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27389a11dc99b2371199a54985f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0289a11dc99b2371199a54985f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485189a11dc99b2371199a54985f', 'height': 64, 'width': 64}]",Don Cornell,artist,spotify:artist:2Oe27JVtJqG8OLkgYDGzvS,https://open.spotify.com/artist/2Oe27JVtJqG8OLkgYDGzvS
