href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4vI0xGbQl2cMnMiagUEBOj,4vI0xGbQl2cMnMiagUEBOj,"[{'url': 'https://i.scdn.co/image/9ba9cc9b7e02d25d6b6c808a2bd082309b25a166', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/89388cd5b7627cc867930d45f22cb6bd04e53bff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/9386a870308cc73041e2f223027c229e2d1e4798', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/eb80d0f5b867e7b7fbbf1371bf505a9e785b751d', 'height': 64, 'width': 64}]",Courtney Love,artist,spotify:artist:4vI0xGbQl2cMnMiagUEBOj,https://open.spotify.com/artist/4vI0xGbQl2cMnMiagUEBOj
https://api.spotify.com/v1/artists/5SHQUMAmEK5KmuSb0aDvsn,5SHQUMAmEK5KmuSb0aDvsn,"[{'url': 'https://i.scdn.co/image/3f070ac89152fcd23f90c1351295d8cc64d54cb2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/4d1dc978370d560ada4f7d9ef85e08ee6ec21212', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/2a03ef85bb104a23cc7f782fbbc8e418665c518a', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/2f646d59d4d4a907f47a6374557053358df12aae', 'height': 64, 'width': 64}]",Hole,artist,spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,https://open.spotify.com/artist/5SHQUMAmEK5KmuSb0aDvsn
https://api.spotify.com/v1/artists/4OOlG5eBXSkSAAEeKjJb5Y,4OOlG5eBXSkSAAEeKjJb5Y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3ed0d3cdb91f128a8d7636d0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743ed0d3cdb91f128a8d7636d0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783ed0d3cdb91f128a8d7636d0', 'height': 160, 'width': 160}]",Courtney Barnett,artist,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y,https://open.spotify.com/artist/4OOlG5eBXSkSAAEeKjJb5Y
https://api.spotify.com/v1/artists/2zMQOJ4Cyl4BYbw6WqaO3h,2zMQOJ4Cyl4BYbw6WqaO3h,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb96fc3c5354f590ffb0cf1b55', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517496fc3c5354f590ffb0cf1b55', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17896fc3c5354f590ffb0cf1b55', 'height': 160, 'width': 160}]",L7,artist,spotify:artist:2zMQOJ4Cyl4BYbw6WqaO3h,https://open.spotify.com/artist/2zMQOJ4Cyl4BYbw6WqaO3h
https://api.spotify.com/v1/artists/4dQjDnUItuJe5hV2bTIgrZ,4dQjDnUItuJe5hV2bTIgrZ,[],Courtney Lofty,artist,spotify:artist:4dQjDnUItuJe5hV2bTIgrZ,https://open.spotify.com/artist/4dQjDnUItuJe5hV2bTIgrZ
https://api.spotify.com/v1/artists/53uGQ1amGHHb0Tzn2A6Oc0,53uGQ1amGHHb0Tzn2A6Oc0,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5d610affcc773d43218d0f3a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745d610affcc773d43218d0f3a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785d610affcc773d43218d0f3a', 'height': 160, 'width': 160}]",Courtney John,artist,spotify:artist:53uGQ1amGHHb0Tzn2A6Oc0,https://open.spotify.com/artist/53uGQ1amGHHb0Tzn2A6Oc0
https://api.spotify.com/v1/artists/2blo9rfxtArgRU5bGeJBiO,2blo9rfxtArgRU5bGeJBiO,"[{'url': 'https://i.scdn.co/image/8435f2cde1f8d56090ebbae10a66bedb932652ba', 'height': 387, 'width': 281}, {'url': 'https://i.scdn.co/image/882d3cdcc87c3bdc0b25617ad9defa223d3779c4', 'height': 275, 'width': 200}, {'url': 'https://i.scdn.co/image/31ae26bdc0344aafd91eb52d9fdc3ad25335005d', 'height': 88, 'width': 64}]",Courtney Melody,artist,spotify:artist:2blo9rfxtArgRU5bGeJBiO,https://open.spotify.com/artist/2blo9rfxtArgRU5bGeJBiO
https://api.spotify.com/v1/artists/07XSN3sPlIlB2L2XNcTwJw,07XSN3sPlIlB2L2XNcTwJw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd8205a492a79bfe4b34c567a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d8205a492a79bfe4b34c567a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d8205a492a79bfe4b34c567a', 'height': 160, 'width': 160}]",KISS,artist,spotify:artist:07XSN3sPlIlB2L2XNcTwJw,https://open.spotify.com/artist/07XSN3sPlIlB2L2XNcTwJw
https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,2ziB7fzrXBoh1HUPS6sVFn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5a865295befda9e060a72cb0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745a865295befda9e060a72cb0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785a865295befda9e060a72cb0', 'height': 160, 'width': 160}]",Audioslave,artist,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn
https://api.spotify.com/v1/artists/7bu3H8JO7d0UbMoVzbo70s,7bu3H8JO7d0UbMoVzbo70s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdd427c765c409ec02dc3a868', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dd427c765c409ec02dc3a868', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dd427c765c409ec02dc3a868', 'height': 160, 'width': 160}]",The Cure,artist,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s
https://api.spotify.com/v1/artists/1zSbQPLj4uJDJGxfEkDegL,1zSbQPLj4uJDJGxfEkDegL,[],Courtney Love,artist,spotify:artist:1zSbQPLj4uJDJGxfEkDegL,https://open.spotify.com/artist/1zSbQPLj4uJDJGxfEkDegL
https://api.spotify.com/v1/artists/0EAjCKNGgyN2sOC1OT5obb,0EAjCKNGgyN2sOC1OT5obb,[],Courtney Love,artist,spotify:artist:0EAjCKNGgyN2sOC1OT5obb,https://open.spotify.com/artist/0EAjCKNGgyN2sOC1OT5obb
https://api.spotify.com/v1/artists/5P1h2BQ7qjMCMEg0XRxjA8,5P1h2BQ7qjMCMEg0XRxjA8,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273123a065b9f2fe1b9aff9e0c9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02123a065b9f2fe1b9aff9e0c9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851123a065b9f2fe1b9aff9e0c9', 'height': 64, 'width': 64}]",Courtney Lovell,artist,spotify:artist:5P1h2BQ7qjMCMEg0XRxjA8,https://open.spotify.com/artist/5P1h2BQ7qjMCMEg0XRxjA8
https://api.spotify.com/v1/artists/0ki2MJOMmMku7h9yi2TaiB,0ki2MJOMmMku7h9yi2TaiB,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738d44438a6a1a2430828cfa85', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028d44438a6a1a2430828cfa85', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518d44438a6a1a2430828cfa85', 'height': 64, 'width': 64}]",Courtney Loveless,artist,spotify:artist:0ki2MJOMmMku7h9yi2TaiB,https://open.spotify.com/artist/0ki2MJOMmMku7h9yi2TaiB
