href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4CvTDPKA6W06DRfBnZKrau,4CvTDPKA6W06DRfBnZKrau,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb11a5fdc7f1f610173128c91f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517411a5fdc7f1f610173128c91f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17811a5fdc7f1f610173128c91f', 'height': 160, 'width': 160}]",Thom Yorke,artist,spotify:artist:4CvTDPKA6W06DRfBnZKrau,https://open.spotify.com/artist/4CvTDPKA6W06DRfBnZKrau
https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,4Z8W4fKeB5YxbusRsdQVPb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4104fbd80f1f795728abbd59', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744104fbd80f1f795728abbd59', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784104fbd80f1f795728abbd59', 'height': 160, 'width': 160}]",Radiohead,artist,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
https://api.spotify.com/v1/artists/7HrWtyO4zAClpj774sDYDO,7HrWtyO4zAClpj774sDYDO,[],Thomas Yorke,artist,spotify:artist:7HrWtyO4zAClpj774sDYDO,https://open.spotify.com/artist/7HrWtyO4zAClpj774sDYDO
https://api.spotify.com/v1/artists/7tA9Eeeb68kkiG9Nrvuzmi,7tA9Eeeb68kkiG9Nrvuzmi,"[{'url': 'https://i.scdn.co/image/9b1ffc6a92b4c3e384b28e636acd6019de3854ca', 'height': 290, 'width': 290}, {'url': 'https://i.scdn.co/image/4b03730b3e5230e17810599514704dcbd4973851', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/c114117429a29885c8bbf51b1879d382adbcc01b', 'height': 64, 'width': 64}]",Atoms For Peace,artist,spotify:artist:7tA9Eeeb68kkiG9Nrvuzmi,https://open.spotify.com/artist/7tA9Eeeb68kkiG9Nrvuzmi
https://api.spotify.com/v1/artists/6styCzc1Ej4NxISL0LiigM,6styCzc1Ej4NxISL0LiigM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb43db49ce029948457972352', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b43db49ce029948457972352', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b43db49ce029948457972352', 'height': 160, 'width': 160}]",The Smile,artist,spotify:artist:6styCzc1Ej4NxISL0LiigM,https://open.spotify.com/artist/6styCzc1Ej4NxISL0LiigM
https://api.spotify.com/v1/artists/0z9s3P5vCzKcUBSxgBDyLU,0z9s3P5vCzKcUBSxgBDyLU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebacbb7bcb7ea82f111bb72b8b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174acbb7bcb7ea82f111bb72b8b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178acbb7bcb7ea82f111bb72b8b', 'height': 160, 'width': 160}]",Jonny Greenwood,artist,spotify:artist:0z9s3P5vCzKcUBSxgBDyLU,https://open.spotify.com/artist/0z9s3P5vCzKcUBSxgBDyLU
https://api.spotify.com/v1/artists/3eLdEEgwYabHkzVUxllbF4,3eLdEEgwYabHkzVUxllbF4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba660a2b142af7193569f9ecc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a660a2b142af7193569f9ecc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a660a2b142af7193569f9ecc', 'height': 160, 'width': 160}]",Thom,artist,spotify:artist:3eLdEEgwYabHkzVUxllbF4,https://open.spotify.com/artist/3eLdEEgwYabHkzVUxllbF4
https://api.spotify.com/v1/artists/77VqKfeXP3kV2uI42PMRXq,77VqKfeXP3kV2uI42PMRXq,[],Thomas Edward Yorke,artist,spotify:artist:77VqKfeXP3kV2uI42PMRXq,https://open.spotify.com/artist/77VqKfeXP3kV2uI42PMRXq
https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,7w29UYBi0qsHi5RTcv3lmA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8885fa2ceadc7658d65e1121', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748885fa2ceadc7658d65e1121', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788885fa2ceadc7658d65e1121', 'height': 160, 'width': 160}]",Björk,artist,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA
https://api.spotify.com/v1/artists/5TL5gz3Q8oX0m9hNt2Jq7g,5TL5gz3Q8oX0m9hNt2Jq7g,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb83563494c76218f05a6ccbfa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517483563494c76218f05a6ccbfa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17883563494c76218f05a6ccbfa', 'height': 160, 'width': 160}]",TOMAS,artist,spotify:artist:5TL5gz3Q8oX0m9hNt2Jq7g,https://open.spotify.com/artist/5TL5gz3Q8oX0m9hNt2Jq7g
https://api.spotify.com/v1/artists/1s2eZHp7L2dt3j30cUv7R6,1s2eZHp7L2dt3j30cUv7R6,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd09bfd036dc09be733854d08', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d09bfd036dc09be733854d08', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d09bfd036dc09be733854d08', 'height': 160, 'width': 160}]",Thomé,artist,spotify:artist:1s2eZHp7L2dt3j30cUv7R6,https://open.spotify.com/artist/1s2eZHp7L2dt3j30cUv7R6
https://api.spotify.com/v1/artists/4QS6MMKct3F3LkN7cr6vHg,4QS6MMKct3F3LkN7cr6vHg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273f43ed24f0ebdcb4d751b3f4b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f43ed24f0ebdcb4d751b3f4b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f43ed24f0ebdcb4d751b3f4b', 'height': 64, 'width': 64}]",Thomas Doherty,artist,spotify:artist:4QS6MMKct3F3LkN7cr6vHg,https://open.spotify.com/artist/4QS6MMKct3F3LkN7cr6vHg
