href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7FxMjqH6DH056sdsstGeVl,7FxMjqH6DH056sdsstGeVl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2937e5c342435090d2458b5a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742937e5c342435090d2458b5a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782937e5c342435090d2458b5a', 'height': 160, 'width': 160}]",Debbie Harry,artist,spotify:artist:7FxMjqH6DH056sdsstGeVl,https://open.spotify.com/artist/7FxMjqH6DH056sdsstGeVl
https://api.spotify.com/v1/artists/4tpUmLEVLCGFr93o8hFFIB,4tpUmLEVLCGFr93o8hFFIB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb67dc4da82c968767d994f3c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517467dc4da82c968767d994f3c3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17867dc4da82c968767d994f3c3', 'height': 160, 'width': 160}]",Blondie,artist,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,https://open.spotify.com/artist/4tpUmLEVLCGFr93o8hFFIB
https://api.spotify.com/v1/artists/18jZvCsW1PJ4FDQ5gEXuKp,18jZvCsW1PJ4FDQ5gEXuKp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb78a9df3b065832fef878785', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b78a9df3b065832fef878785', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b78a9df3b065832fef878785', 'height': 160, 'width': 160}]",Debbie Gibson,artist,spotify:artist:18jZvCsW1PJ4FDQ5gEXuKp,https://open.spotify.com/artist/18jZvCsW1PJ4FDQ5gEXuKp
https://api.spotify.com/v1/artists/2wnEPyxKAP8gIY8z64Kx9n,2wnEPyxKAP8gIY8z64Kx9n,[],Debbie Harry & Franz Ferdinand,artist,spotify:artist:2wnEPyxKAP8gIY8z64Kx9n,https://open.spotify.com/artist/2wnEPyxKAP8gIY8z64Kx9n
https://api.spotify.com/v1/artists/0vYkHhJ48Bs3jWcvZXvOrP,0vYkHhJ48Bs3jWcvZXvOrP,"[{'url': 'https://i.scdn.co/image/20e52d0b168541016f901d9ec6d4f2a0e41f193b', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/44012cfc4fedcbe92ac5e14178061fd3a872417f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/aa17c9e1d458bd250232535b54796a037572295d', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/74fa24a25326188ab23618d9a8acaaa34a61d894', 'height': 64, 'width': 64}]",Patti Smith,artist,spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP,https://open.spotify.com/artist/0vYkHhJ48Bs3jWcvZXvOrP
https://api.spotify.com/v1/artists/1Ev5L2Y85SsEfVol0du17A,1Ev5L2Y85SsEfVol0du17A,[],"Debbie Harry, LCD Soundsystem & Franz Ferdinand",artist,spotify:artist:1Ev5L2Y85SsEfVol0du17A,https://open.spotify.com/artist/1Ev5L2Y85SsEfVol0du17A
https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY,2BTZIqw0ntH9MvilQ3ewNY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcf490a044f2314b08e24cc58', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cf490a044f2314b08e24cc58', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cf490a044f2314b08e24cc58', 'height': 160, 'width': 160}]",Cyndi Lauper,artist,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,https://open.spotify.com/artist/2BTZIqw0ntH9MvilQ3ewNY
https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,2SHhfs4BiDxGQ3oxqf0UHY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb347ca7e9f41f3ff8e2b19034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174347ca7e9f41f3ff8e2b19034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178347ca7e9f41f3ff8e2b19034', 'height': 160, 'width': 160}]",Roxette,artist,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://open.spotify.com/artist/2SHhfs4BiDxGQ3oxqf0UHY
https://api.spotify.com/v1/artists/0SD4eZCN4Kr0wQk56hCdh2,0SD4eZCN4Kr0wQk56hCdh2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4ca4431cf4b1227eba8288d8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744ca4431cf4b1227eba8288d8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784ca4431cf4b1227eba8288d8', 'height': 160, 'width': 160}]",Bonnie Tyler,artist,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,https://open.spotify.com/artist/0SD4eZCN4Kr0wQk56hCdh2
https://api.spotify.com/v1/artists/6uO5JZS5s6i6w8Huz020xN,6uO5JZS5s6i6w8Huz020xN,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734cd52e332b2fca6510e157c7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024cd52e332b2fca6510e157c7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514cd52e332b2fca6510e157c7', 'height': 64, 'width': 64}]",The Blackwell Brothers Band With Harry And Debbie Blackwell,artist,spotify:artist:6uO5JZS5s6i6w8Huz020xN,https://open.spotify.com/artist/6uO5JZS5s6i6w8Huz020xN
https://api.spotify.com/v1/artists/1UkHCANZmdkKyVNvTLMrcJ,1UkHCANZmdkKyVNvTLMrcJ,"[{'url': 'https://i.scdn.co/image/22eccd8cfa125460c28170a36c2c063fb01b8efb', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/0c80dcba25b960b5d79422d5af479526d6f4ac68', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/47f9784fc05127d3ec62019fc2ddf98ce56d51c3', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/d49b845f2112c58ec37f1d46902cbd741be08992', 'height': 64, 'width': 64}]",Debby Boone,artist,spotify:artist:1UkHCANZmdkKyVNvTLMrcJ,https://open.spotify.com/artist/1UkHCANZmdkKyVNvTLMrcJ
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,1zuJe6b1roixEKMOtyrEak,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22102415297132237b78829d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422102415297132237b78829d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822102415297132237b78829d', 'height': 160, 'width': 160}]",Tina Turner,artist,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak
https://api.spotify.com/v1/artists/6bJUzb3mLEYCkTAp7eNJgO,6bJUzb3mLEYCkTAp7eNJgO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb19139564c4b50b6ac0f6cf8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517419139564c4b50b6ac0f6cf8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17819139564c4b50b6ac0f6cf8a', 'height': 160, 'width': 160}]",Information Society,artist,spotify:artist:6bJUzb3mLEYCkTAp7eNJgO,https://open.spotify.com/artist/6bJUzb3mLEYCkTAp7eNJgO
https://api.spotify.com/v1/artists/34jw2BbxjoYalTp8cJFCPv,34jw2BbxjoYalTp8cJFCPv,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c469d216a8920e0df099e4621', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd22469d216a8920e0df099e4621', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac3469d216a8920e0df099e4621', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f74469d216a8920e0df099e4621', 'height': 64, 'width': 64}]",Heart,artist,spotify:artist:34jw2BbxjoYalTp8cJFCPv,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv
https://api.spotify.com/v1/artists/7AQkefPW3CHQftJomVInew,7AQkefPW3CHQftJomVInew,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba8c5718a4271a0b85575cf26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a8c5718a4271a0b85575cf26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a8c5718a4271a0b85575cf26', 'height': 160, 'width': 160}]",Deborah Blando,artist,spotify:artist:7AQkefPW3CHQftJomVInew,https://open.spotify.com/artist/7AQkefPW3CHQftJomVInew
https://api.spotify.com/v1/artists/1hMpRPX4OZEaJgBi6BsjHh,1hMpRPX4OZEaJgBi6BsjHh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9cd5d6034a84136542d8de76', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749cd5d6034a84136542d8de76', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789cd5d6034a84136542d8de76', 'height': 160, 'width': 160}]",Mc Debby,artist,spotify:artist:1hMpRPX4OZEaJgBi6BsjHh,https://open.spotify.com/artist/1hMpRPX4OZEaJgBi6BsjHh
https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,4BoRxUdrcgbbq1rxJvvhg9,"[{'url': 'https://i.scdn.co/image/a9c4bea41f06c1be30efa9e06cb6e1a07f27e3f5', 'height': 1318, 'width': 1000}, {'url': 'https://i.scdn.co/image/5943a71c83bb57c9007c13005ad18cd46bdd6edf', 'height': 844, 'width': 640}, {'url': 'https://i.scdn.co/image/a6d2cbfccec2b25a84861c04d7d132414dbd543a', 'height': 264, 'width': 200}, {'url': 'https://i.scdn.co/image/1d79d76e9f3d51972ea43e8b4542dcee7f76a8b2', 'height': 84, 'width': 64}]",Olivia Newton-John,artist,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://open.spotify.com/artist/4BoRxUdrcgbbq1rxJvvhg9
https://api.spotify.com/v1/artists/72OaDtakiy6yFqkt4TsiFt,72OaDtakiy6yFqkt4TsiFt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb860b5a38a308428c310ee013', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174860b5a38a308428c310ee013', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178860b5a38a308428c310ee013', 'height': 160, 'width': 160}]",Cher,artist,spotify:artist:72OaDtakiy6yFqkt4TsiFt,https://open.spotify.com/artist/72OaDtakiy6yFqkt4TsiFt
https://api.spotify.com/v1/artists/7gcCQIlkkfbul5Mt0jBQkg,7gcCQIlkkfbul5Mt0jBQkg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb94fdf3ac086d95c63d93772e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517494fdf3ac086d95c63d93772e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17894fdf3ac086d95c63d93772e', 'height': 160, 'width': 160}]",Dave Stewart,artist,spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,https://open.spotify.com/artist/7gcCQIlkkfbul5Mt0jBQkg
