href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/33EUXrFKGjpUSGacqEHhU4,33EUXrFKGjpUSGacqEHhU4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb21e6d14c3d8aab9887380d00', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517421e6d14c3d8aab9887380d00', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17821e6d14c3d8aab9887380d00', 'height': 160, 'width': 160}]",Iggy Pop,artist,spotify:artist:33EUXrFKGjpUSGacqEHhU4,https://open.spotify.com/artist/33EUXrFKGjpUSGacqEHhU4
https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b78f77c5583ae99472dd4a49', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b78f77c5583ae99472dd4a49', 'height': 160, 'width': 160}]",David Bowie,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG,7lzordPuZEXxwt9aoVZYmG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb69408d3a9d82c2307dd8699d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517469408d3a9d82c2307dd8699d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17869408d3a9d82c2307dd8699d', 'height': 160, 'width': 160}]",Billy Idol,artist,spotify:artist:7lzordPuZEXxwt9aoVZYmG,https://open.spotify.com/artist/7lzordPuZEXxwt9aoVZYmG
https://api.spotify.com/v1/artists/4BFMTELQyWJU1SwqcXMBm3,4BFMTELQyWJU1SwqcXMBm3,"[{'url': 'https://i.scdn.co/image/1d9f0cf8e6d8d51f28369eccd78dca2882fb0d83', 'height': 823, 'width': 1000}, {'url': 'https://i.scdn.co/image/0ca5b7b25505a312622da1ed90ab412c0bbf6717', 'height': 527, 'width': 640}, {'url': 'https://i.scdn.co/image/8f10d358610778872b6de9b5f876c7bdc2a70ac7', 'height': 165, 'width': 200}, {'url': 'https://i.scdn.co/image/64bb39146feef25bdc2585423e5a98e7d94ce44d', 'height': 53, 'width': 64}]",The Stooges,artist,spotify:artist:4BFMTELQyWJU1SwqcXMBm3,https://open.spotify.com/artist/4BFMTELQyWJU1SwqcXMBm3
https://api.spotify.com/v1/artists/1co4F2pPNH8JjTutZkmgSm,1co4F2pPNH8JjTutZkmgSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5b9f46a5c5bf8243179d56b0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745b9f46a5c5bf8243179d56b0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785b9f46a5c5bf8243179d56b0', 'height': 160, 'width': 160}]",Ramones,artist,spotify:artist:1co4F2pPNH8JjTutZkmgSm,https://open.spotify.com/artist/1co4F2pPNH8JjTutZkmgSm
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL,5yG7ZAZafVaAlMTeBybKAL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb698a6abf2897a8fc8283cc0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174698a6abf2897a8fc8283cc0c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178698a6abf2897a8fc8283cc0c', 'height': 160, 'width': 160}]",Iggy Azalea,artist,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,https://open.spotify.com/artist/5yG7ZAZafVaAlMTeBybKAL
https://api.spotify.com/v1/artists/0MDfMKBf1cV65pnQ1ZRm9O,0MDfMKBf1cV65pnQ1ZRm9O,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb57ed67215f7897e02aecdae2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517457ed67215f7897e02aecdae2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17857ed67215f7897e02aecdae2', 'height': 160, 'width': 160}]",Iggy,artist,spotify:artist:0MDfMKBf1cV65pnQ1ZRm9O,https://open.spotify.com/artist/0MDfMKBf1cV65pnQ1ZRm9O
https://api.spotify.com/v1/artists/4bOZtegYNmYOe3gMgPtt0H,4bOZtegYNmYOe3gMgPtt0H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebceb9c742e59d3f716fe5c617', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ceb9c742e59d3f716fe5c617', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ceb9c742e59d3f716fe5c617', 'height': 160, 'width': 160}]",Kid Abelha,artist,spotify:artist:4bOZtegYNmYOe3gMgPtt0H,https://open.spotify.com/artist/4bOZtegYNmYOe3gMgPtt0H
https://api.spotify.com/v1/artists/6tw6EpC9RgmSRZiZg0n22t,6tw6EpC9RgmSRZiZg0n22t,"[{'url': 'https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/d0a544a5f9e0a548536b9bc0449e50137e0dd08c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/3ec7aa085b47711065443477cbd83aa39a056f13', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/183df4c68c2028e4a59abc49c8e659429086f254', 'height': 64, 'width': 64}]",Legião Urbana,artist,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,https://open.spotify.com/artist/6tw6EpC9RgmSRZiZg0n22t
