href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/42TFhl7WlMRXiNqzSrnzPL,42TFhl7WlMRXiNqzSrnzPL,"[{'url': 'https://i.scdn.co/image/2e1e9a6fe696b536a1f9e6a27fc1ed23d2c97099', 'height': 1006, 'width': 1000}, {'url': 'https://i.scdn.co/image/49b8173759e47ed5e74d1c7c11a932e4dc6a91f9', 'height': 644, 'width': 640}, {'url': 'https://i.scdn.co/image/bb3e155f456d2f3533b753417cf586408c00fff0', 'height': 201, 'width': 200}, {'url': 'https://i.scdn.co/image/cf74e6ba4644f8f5a552060f40d3864aeb6a4311', 'height': 64, 'width': 64}]",Lou Reed,artist,spotify:artist:42TFhl7WlMRXiNqzSrnzPL,https://open.spotify.com/artist/42TFhl7WlMRXiNqzSrnzPL
https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b78f77c5583ae99472dd4a49', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b78f77c5583ae99472dd4a49', 'height': 160, 'width': 160}]",David Bowie,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
https://api.spotify.com/v1/artists/74ASZWbe4lXaubB36ztrGX,74ASZWbe4lXaubB36ztrGX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb791742524609864273747ef5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174791742524609864273747ef5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178791742524609864273747ef5', 'height': 160, 'width': 160}]",Bob Dylan,artist,spotify:artist:74ASZWbe4lXaubB36ztrGX,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX
https://api.spotify.com/v1/artists/1nJvji2KIlWSseXRSlNYsC,1nJvji2KIlWSseXRSlNYsC,"[{'url': 'https://i.scdn.co/image/d69c2cf10323bf08443c7d122f3a1824a760ab57', 'height': 1236, 'width': 1000}, {'url': 'https://i.scdn.co/image/24e7531935f88f55744cc8c9ed2528f466cba276', 'height': 791, 'width': 640}, {'url': 'https://i.scdn.co/image/fedcb6f64de6571e2c208a21fc16b9e05e38cf2f', 'height': 247, 'width': 200}, {'url': 'https://i.scdn.co/image/0fda1f46337398e35d5c7c672ddc77beb68a8f93', 'height': 79, 'width': 64}]",The Velvet Underground,artist,spotify:artist:1nJvji2KIlWSseXRSlNYsC,https://open.spotify.com/artist/1nJvji2KIlWSseXRSlNYsC
https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,4KWTAlx2RvbpseOGMEmROg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746334ab6a83196f36475ada7f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786334ab6a83196f36475ada7f', 'height': 160, 'width': 160}]",R.E.M.,artist,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,51Blml2LZPmy7TTiAg47vQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe882164e90bc3b09472be663', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e882164e90bc3b09472be663', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e882164e90bc3b09472be663', 'height': 160, 'width': 160}]",U2,artist,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ
https://api.spotify.com/v1/artists/0WFvmAh2NKcZRPQtoU8cDJ,0WFvmAh2NKcZRPQtoU8cDJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8409e532d7991d33df5f532f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748409e532d7991d33df5f532f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788409e532d7991d33df5f532f', 'height': 160, 'width': 160}]",Orionn Reedmanee,artist,spotify:artist:0WFvmAh2NKcZRPQtoU8cDJ,https://open.spotify.com/artist/0WFvmAh2NKcZRPQtoU8cDJ
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/0tBxDunU3NUXpAOUNZY16c,0tBxDunU3NUXpAOUNZY16c,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb417dd77cf18a77bfc0971cb6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174417dd77cf18a77bfc0971cb6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178417dd77cf18a77bfc0971cb6', 'height': 160, 'width': 160}]",lou deezi,artist,spotify:artist:0tBxDunU3NUXpAOUNZY16c,https://open.spotify.com/artist/0tBxDunU3NUXpAOUNZY16c
https://api.spotify.com/v1/artists/5Tpj4sNvPEpY2DrVZQgP08,5Tpj4sNvPEpY2DrVZQgP08,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ea247ca798a446700e23dc72', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ea247ca798a446700e23dc72', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ea247ca798a446700e23dc72', 'height': 64, 'width': 64}]",Clarence Reed,artist,spotify:artist:5Tpj4sNvPEpY2DrVZQgP08,https://open.spotify.com/artist/5Tpj4sNvPEpY2DrVZQgP08
