href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/6lig3yUbu7r6VhnB8YGSlF,6lig3yUbu7r6VhnB8YGSlF,"[{'url': 'https://i.scdn.co/image/089f36d81503ca2da6f1a655a7dcf67d6d44c4e5', 'height': 1494, 'width': 1000}, {'url': 'https://i.scdn.co/image/0700b94a406088eadadfb41e855043da288a9e9a', 'height': 956, 'width': 640}, {'url': 'https://i.scdn.co/image/2247e433534d7dddb2b9c60e19cf98c67dbd9035', 'height': 299, 'width': 200}, {'url': 'https://i.scdn.co/image/1e594432a3907576276a99157bb6933a51311e9a', 'height': 96, 'width': 64}]",Axl Rose,artist,spotify:artist:6lig3yUbu7r6VhnB8YGSlF,https://open.spotify.com/artist/6lig3yUbu7r6VhnB8YGSlF
https://api.spotify.com/v1/artists/4Cqia9vrAbm7ANXbJGXsTE,4Cqia9vrAbm7ANXbJGXsTE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb16bbce3d5fb8a51e7cc3dce0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517416bbce3d5fb8a51e7cc3dce0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17816bbce3d5fb8a51e7cc3dce0', 'height': 160, 'width': 160}]",Slash,artist,spotify:artist:4Cqia9vrAbm7ANXbJGXsTE,https://open.spotify.com/artist/4Cqia9vrAbm7ANXbJGXsTE
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b5b52f7e13f720c7a4856306', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b5b52f7e13f720c7a4856306', 'height': 160, 'width': 160}]",Ozzy Osbourne,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY
https://api.spotify.com/v1/artists/6EZFa5zhajrKobEc3uePtM,6EZFa5zhajrKobEc3uePtM,"[{'url': 'https://i.scdn.co/image/8b01fd63fdf53143c707564c3395e3616918cc0f', 'height': 1190, 'width': 1000}, {'url': 'https://i.scdn.co/image/f82719dcc19011e852ce535f26257064d7644060', 'height': 761, 'width': 640}, {'url': 'https://i.scdn.co/image/a1b33b84900e063f1a3c8fe34ca910658717f17c', 'height': 238, 'width': 200}, {'url': 'https://i.scdn.co/image/4d82a6f6d8219c82408e17ff9e0225d7bf4da154', 'height': 76, 'width': 64}]",Izzy Stradlin,artist,spotify:artist:6EZFa5zhajrKobEc3uePtM,https://open.spotify.com/artist/6EZFa5zhajrKobEc3uePtM
https://api.spotify.com/v1/artists/3KEe5d2p5jKihMMvuXVhr1,3KEe5d2p5jKihMMvuXVhr1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc10c456ef52562dc54636970', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c10c456ef52562dc54636970', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c10c456ef52562dc54636970', 'height': 160, 'width': 160}]",Duff McKagan,artist,spotify:artist:3KEe5d2p5jKihMMvuXVhr1,https://open.spotify.com/artist/3KEe5d2p5jKihMMvuXVhr1
https://api.spotify.com/v1/artists/71vE4n9uVcEC7FCpwIMzhW,71vE4n9uVcEC7FCpwIMzhW,[],W. Axl Rose,artist,spotify:artist:71vE4n9uVcEC7FCpwIMzhW,https://open.spotify.com/artist/71vE4n9uVcEC7FCpwIMzhW
https://api.spotify.com/v1/artists/6SaqzT5DEwSMzed38o5NgA,6SaqzT5DEwSMzed38o5NgA,[],Axl Rosenberg,artist,spotify:artist:6SaqzT5DEwSMzed38o5NgA,https://open.spotify.com/artist/6SaqzT5DEwSMzed38o5NgA
https://api.spotify.com/v1/artists/5nlgdELJT2bvwCgU1ZCNf4,5nlgdELJT2bvwCgU1ZCNf4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebabd6f6297e2d285a03b3234e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174abd6f6297e2d285a03b3234e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178abd6f6297e2d285a03b3234e', 'height': 160, 'width': 160}]",Axl Rhodes,artist,spotify:artist:5nlgdELJT2bvwCgU1ZCNf4,https://open.spotify.com/artist/5nlgdELJT2bvwCgU1ZCNf4
https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,7Ey4PD4MYsKc5I2dolUwbH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c5733401b4689b2064458e7d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c5733401b4689b2064458e7d', 'height': 160, 'width': 160}]",Aerosmith,artist,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
