href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4M1FpEWs2PeYfJe7xxJfhH,4M1FpEWs2PeYfJe7xxJfhH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1052b77abd7f89485562d797', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741052b77abd7f89485562d797', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781052b77abd7f89485562d797', 'height': 160, 'width': 160}]",Freddie Mercury,artist,spotify:artist:4M1FpEWs2PeYfJe7xxJfhH,https://open.spotify.com/artist/4M1FpEWs2PeYfJe7xxJfhH
https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c47488c35a509d42072c23976', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2247488c35a509d42072c23976', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac347488c35a509d42072c23976', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7447488c35a509d42072c23976', 'height': 64, 'width': 64}]",Queen,artist,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/6I5WGtVAf97hUA8CfNdneJ,6I5WGtVAf97hUA8CfNdneJ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2731b2a411ad3ced461ec4798dd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e021b2a411ad3ced461ec4798dd', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048511b2a411ad3ced461ec4798dd', 'height': 64, 'width': 64}]",Freddie Mercury,artist,spotify:artist:6I5WGtVAf97hUA8CfNdneJ,https://open.spotify.com/artist/6I5WGtVAf97hUA8CfNdneJ
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/4Fv4Ms1a2NeRro5ilajsNi,4Fv4Ms1a2NeRro5ilajsNi,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fadc61813b93b4aa096cc9a2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fadc61813b93b4aa096cc9a2', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fadc61813b93b4aa096cc9a2', 'height': 64, 'width': 64}]",Freddie Mercury,artist,spotify:artist:4Fv4Ms1a2NeRro5ilajsNi,https://open.spotify.com/artist/4Fv4Ms1a2NeRro5ilajsNi
https://api.spotify.com/v1/artists/5mQMEwn8ExRnlxpp3L0gHn,5mQMEwn8ExRnlxpp3L0gHn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8c169b690f9dabd423e7cb36', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748c169b690f9dabd423e7cb36', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788c169b690f9dabd423e7cb36', 'height': 160, 'width': 160}]",Amado Batista,artist,spotify:artist:5mQMEwn8ExRnlxpp3L0gHn,https://open.spotify.com/artist/5mQMEwn8ExRnlxpp3L0gHn
https://api.spotify.com/v1/artists/37eYuWTOZtUG8PgFOsj9h8,37eYuWTOZtUG8PgFOsj9h8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba17bbfe41dc35910e183e557', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a17bbfe41dc35910e183e557', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a17bbfe41dc35910e183e557', 'height': 160, 'width': 160}]",Fred & Fabrício,artist,spotify:artist:37eYuWTOZtUG8PgFOsj9h8,https://open.spotify.com/artist/37eYuWTOZtUG8PgFOsj9h8
https://api.spotify.com/v1/artists/6MRofczpD4QHsVOMd3Il9y,6MRofczpD4QHsVOMd3Il9y,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eab18228648e26d9e5514fe6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eab18228648e26d9e5514fe6', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eab18228648e26d9e5514fe6', 'height': 64, 'width': 64}]",Freddie Mercury,artist,spotify:artist:6MRofczpD4QHsVOMd3Il9y,https://open.spotify.com/artist/6MRofczpD4QHsVOMd3Il9y
https://api.spotify.com/v1/artists/6gEzJZrbm0F4ihvE9iXR9z,6gEzJZrbm0F4ihvE9iXR9z,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebde96502f05a55d57f6772c50', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174de96502f05a55d57f6772c50', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178de96502f05a55d57f6772c50', 'height': 160, 'width': 160}]",Péricles,artist,spotify:artist:6gEzJZrbm0F4ihvE9iXR9z,https://open.spotify.com/artist/6gEzJZrbm0F4ihvE9iXR9z
