href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4Cqia9vrAbm7ANXbJGXsTE,4Cqia9vrAbm7ANXbJGXsTE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb16bbce3d5fb8a51e7cc3dce0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517416bbce3d5fb8a51e7cc3dce0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17816bbce3d5fb8a51e7cc3dce0', 'height': 160, 'width': 160}]",Slash,artist,spotify:artist:4Cqia9vrAbm7ANXbJGXsTE,https://open.spotify.com/artist/4Cqia9vrAbm7ANXbJGXsTE
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/4Ros83hWMCi68biw25Xyxg,4Ros83hWMCi68biw25Xyxg,"[{'url': 'https://i.scdn.co/image/2557ba3dbb54d1e00b8c1e241e3574c50479b3ff', 'height': 1019, 'width': 1000}, {'url': 'https://i.scdn.co/image/3d9f79de7ba48a2ec4512d8d9712e51c9635a1c0', 'height': 652, 'width': 640}, {'url': 'https://i.scdn.co/image/06414bf262bf79b6d29ff836042793639925a215', 'height': 204, 'width': 200}, {'url': 'https://i.scdn.co/image/764ff645a5cc5ad8e5cead697e8bd81ba1daa846', 'height': 65, 'width': 64}]",Slash's Snakepit,artist,spotify:artist:4Ros83hWMCi68biw25Xyxg,https://open.spotify.com/artist/4Ros83hWMCi68biw25Xyxg
https://api.spotify.com/v1/artists/7CHilrn81OdYjkh4uSVnYM,7CHilrn81OdYjkh4uSVnYM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb251aece71fda3df6a4232b72', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174251aece71fda3df6a4232b72', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178251aece71fda3df6a4232b72', 'height': 160, 'width': 160}]",Velvet Revolver,artist,spotify:artist:7CHilrn81OdYjkh4uSVnYM,https://open.spotify.com/artist/7CHilrn81OdYjkh4uSVnYM
https://api.spotify.com/v1/artists/1J0FSEQhWSMHcYqaapIjY6,1J0FSEQhWSMHcYqaapIjY6,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c2f32e3b8e62856520ea46e9c', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd222f32e3b8e62856520ea46e9c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac32f32e3b8e62856520ea46e9c', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f742f32e3b8e62856520ea46e9c', 'height': 64, 'width': 64}]",Myles Kennedy And The Conspirators,artist,spotify:artist:1J0FSEQhWSMHcYqaapIjY6,https://open.spotify.com/artist/1J0FSEQhWSMHcYqaapIjY6
https://api.spotify.com/v1/artists/52dwLBXhLh1mEMssxptmah,52dwLBXhLh1mEMssxptmah,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27376c2cd99c35638eb91c1c283', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0276c2cd99c35638eb91c1c283', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485176c2cd99c35638eb91c1c283', 'height': 64, 'width': 64}]",Slash,artist,spotify:artist:52dwLBXhLh1mEMssxptmah,https://open.spotify.com/artist/52dwLBXhLh1mEMssxptmah
https://api.spotify.com/v1/artists/3KEe5d2p5jKihMMvuXVhr1,3KEe5d2p5jKihMMvuXVhr1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc10c456ef52562dc54636970', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c10c456ef52562dc54636970', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c10c456ef52562dc54636970', 'height': 160, 'width': 160}]",Duff McKagan,artist,spotify:artist:3KEe5d2p5jKihMMvuXVhr1,https://open.spotify.com/artist/3KEe5d2p5jKihMMvuXVhr1
https://api.spotify.com/v1/artists/0E3BXt4J29Gj8I7R0ZSfpP,0E3BXt4J29Gj8I7R0ZSfpP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb19a96a260285db27cadde409', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517419a96a260285db27cadde409', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17819a96a260285db27cadde409', 'height': 160, 'width': 160}]",Slashest,artist,spotify:artist:0E3BXt4J29Gj8I7R0ZSfpP,https://open.spotify.com/artist/0E3BXt4J29Gj8I7R0ZSfpP
https://api.spotify.com/v1/artists/47tNKltwmA9PtSyeuGvhHe,47tNKltwmA9PtSyeuGvhHe,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27393b8e45a0c7a75c16affe4f4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0293b8e45a0c7a75c16affe4f4', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485193b8e45a0c7a75c16affe4f4', 'height': 64, 'width': 64}]",Slashio,artist,spotify:artist:47tNKltwmA9PtSyeuGvhHe,https://open.spotify.com/artist/47tNKltwmA9PtSyeuGvhHe
https://api.spotify.com/v1/artists/4NXz7xjBRQUtUoolqAItNC,4NXz7xjBRQUtUoolqAItNC,[],Slasherxo,artist,spotify:artist:4NXz7xjBRQUtUoolqAItNC,https://open.spotify.com/artist/4NXz7xjBRQUtUoolqAItNC
