href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6pGWDT5CTFv5uhYFPGhjmy,6pGWDT5CTFv5uhYFPGhjmy,"[{'url': 'https://i.scdn.co/image/8d7ef3c0e999e33296186629f7a30bcafd241f0f', 'height': 1278, 'width': 1000}, {'url': 'https://i.scdn.co/image/6ba299b019ab499a6210f23147ba4b216c1a18ae', 'height': 818, 'width': 640}, {'url': 'https://i.scdn.co/image/96300b473db0ff553090e43e5e001d0deaf29b5d', 'height': 256, 'width': 200}, {'url': 'https://i.scdn.co/image/db17aa0b54fbc6fc47979661ba3af5c557de9573', 'height': 82, 'width': 64}]",Angus Young,artist,spotify:artist:6pGWDT5CTFv5uhYFPGhjmy,https://open.spotify.com/artist/6pGWDT5CTFv5uhYFPGhjmy
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/3sJbAzJ60ydQ21Qn1wj0Zw,3sJbAzJ60ydQ21Qn1wj0Zw,[],Angus Younga,artist,spotify:artist:3sJbAzJ60ydQ21Qn1wj0Zw,https://open.spotify.com/artist/3sJbAzJ60ydQ21Qn1wj0Zw
https://api.spotify.com/v1/artists/6C5wL1A0YdxXEfqcLkLEcs,6C5wL1A0YdxXEfqcLkLEcs,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273e05a41337bbe1807d5d173bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02e05a41337bbe1807d5d173bf', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e05a41337bbe1807d5d173bf', 'height': 64, 'width': 64}]",Angus Young and Malcolm Young,artist,spotify:artist:6C5wL1A0YdxXEfqcLkLEcs,https://open.spotify.com/artist/6C5wL1A0YdxXEfqcLkLEcs
https://api.spotify.com/v1/artists/0Z4pOEtKGwW8HJKeF7MKHj,0Z4pOEtKGwW8HJKeF7MKHj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7753e6575207d342863cf637', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747753e6575207d342863cf637', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787753e6575207d342863cf637', 'height': 160, 'width': 160}]",Angus Younga,artist,spotify:artist:0Z4pOEtKGwW8HJKeF7MKHj,https://open.spotify.com/artist/0Z4pOEtKGwW8HJKeF7MKHj
https://api.spotify.com/v1/artists/4tvKz56Tr39bkhcQUTO0Xr,4tvKz56Tr39bkhcQUTO0Xr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba6bec94f269e61676f2fe977', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a6bec94f269e61676f2fe977', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a6bec94f269e61676f2fe977', 'height': 160, 'width': 160}]",Angus & Julia Stone,artist,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,https://open.spotify.com/artist/4tvKz56Tr39bkhcQUTO0Xr
https://api.spotify.com/v1/artists/3TAeauNOPNU1TP7V3nHjKY,3TAeauNOPNU1TP7V3nHjKY,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d9b8ed8a5d4f987896b00d8c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d9b8ed8a5d4f987896b00d8c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d9b8ed8a5d4f987896b00d8c', 'height': 64, 'width': 64}]",童安格,artist,spotify:artist:3TAeauNOPNU1TP7V3nHjKY,https://open.spotify.com/artist/3TAeauNOPNU1TP7V3nHjKY
https://api.spotify.com/v1/artists/14IQ7niDNXIIrOSjr32E7O,14IQ7niDNXIIrOSjr32E7O,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb06f4972c7fd0ceef0d1cc1d2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517406f4972c7fd0ceef0d1cc1d2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17806f4972c7fd0ceef0d1cc1d2', 'height': 160, 'width': 160}]",Lukas Agustinho,artist,spotify:artist:14IQ7niDNXIIrOSjr32E7O,https://open.spotify.com/artist/14IQ7niDNXIIrOSjr32E7O
https://api.spotify.com/v1/artists/0OVOH98bZTn0lsdL7MclGw,0OVOH98bZTn0lsdL7MclGw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb21e81fb3b5a4a0f5961bcb0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b21e81fb3b5a4a0f5961bcb0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b21e81fb3b5a4a0f5961bcb0', 'height': 160, 'width': 160}]",Agnes Nunes,artist,spotify:artist:0OVOH98bZTn0lsdL7MclGw,https://open.spotify.com/artist/0OVOH98bZTn0lsdL7MclGw
https://api.spotify.com/v1/artists/0V208yTQ5OGOUBZuszu6Fn,0V208yTQ5OGOUBZuszu6Fn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb83e0cb2b660c8526bde0b8b2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517483e0cb2b660c8526bde0b8b2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17883e0cb2b660c8526bde0b8b2', 'height': 160, 'width': 160}]",fhop music,artist,spotify:artist:0V208yTQ5OGOUBZuszu6Fn,https://open.spotify.com/artist/0V208yTQ5OGOUBZuszu6Fn
