href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7iA7uWUkWLpapsaaqmzRQV,7iA7uWUkWLpapsaaqmzRQV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb10c4e60f755aa56a5f1021b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b10c4e60f755aa56a5f1021b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b10c4e60f755aa56a5f1021b', 'height': 160, 'width': 160}]",Tony Iommi,artist,spotify:artist:7iA7uWUkWLpapsaaqmzRQV,https://open.spotify.com/artist/7iA7uWUkWLpapsaaqmzRQV
https://api.spotify.com/v1/artists/5M52tdBnJaKSvOpJGz8mfZ,5M52tdBnJaKSvOpJGz8mfZ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4870cd833ebe1092601820c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744870cd833ebe1092601820c3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784870cd833ebe1092601820c3', 'height': 160, 'width': 160}]",Black Sabbath,artist,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ
https://api.spotify.com/v1/artists/44bBAyEUlfLwzAe6bXoKGU,44bBAyEUlfLwzAe6bXoKGU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9418c901e3da7be6bf509c9d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749418c901e3da7be6bf509c9d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789418c901e3da7be6bf509c9d', 'height': 160, 'width': 160}]",Tony Allysson,artist,spotify:artist:44bBAyEUlfLwzAe6bXoKGU,https://open.spotify.com/artist/44bBAyEUlfLwzAe6bXoKGU
https://api.spotify.com/v1/artists/65wb6r9GvL7JUySeWfDD9q,65wb6r9GvL7JUySeWfDD9q,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb0309e0e94470c2a0b2379d4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b0309e0e94470c2a0b2379d4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b0309e0e94470c2a0b2379d4', 'height': 160, 'width': 160}]",Tony Salles,artist,spotify:artist:65wb6r9GvL7JUySeWfDD9q,https://open.spotify.com/artist/65wb6r9GvL7JUySeWfDD9q
https://api.spotify.com/v1/artists/6cWEXxzo2j94E0W13PreJu,6cWEXxzo2j94E0W13PreJu,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eed6493e083846b14570a8c8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eed6493e083846b14570a8c8', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eed6493e083846b14570a8c8', 'height': 64, 'width': 64}]",Tonny Brasil,artist,spotify:artist:6cWEXxzo2j94E0W13PreJu,https://open.spotify.com/artist/6cWEXxzo2j94E0W13PreJu
https://api.spotify.com/v1/artists/1g2wS9YQLSgIxu2Zezgdv5,1g2wS9YQLSgIxu2Zezgdv5,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ced567e404906ee0359b5a18', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ced567e404906ee0359b5a18', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ced567e404906ee0359b5a18', 'height': 64, 'width': 64}]",Tony e Tito,artist,spotify:artist:1g2wS9YQLSgIxu2Zezgdv5,https://open.spotify.com/artist/1g2wS9YQLSgIxu2Zezgdv5
https://api.spotify.com/v1/artists/1usT5Rtr5iz4gWLdkxIUhV,1usT5Rtr5iz4gWLdkxIUhV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9c05c32e580f3a4a975b504e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749c05c32e580f3a4a975b504e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789c05c32e580f3a4a975b504e', 'height': 160, 'width': 160}]",Tony Guerra & Forró Sacode,artist,spotify:artist:1usT5Rtr5iz4gWLdkxIUhV,https://open.spotify.com/artist/1usT5Rtr5iz4gWLdkxIUhV
https://api.spotify.com/v1/artists/1XavFymdZWNz3HyS5jkStp,1XavFymdZWNz3HyS5jkStp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb48aed288257b91a2b450d6c6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517448aed288257b91a2b450d6c6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17848aed288257b91a2b450d6c6', 'height': 160, 'width': 160}]",Toninho Geraes,artist,spotify:artist:1XavFymdZWNz3HyS5jkStp,https://open.spotify.com/artist/1XavFymdZWNz3HyS5jkStp
https://api.spotify.com/v1/artists/65yVjvbkC6m9DzQFihrSvL,65yVjvbkC6m9DzQFihrSvL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0f57d934738aa850b09dd6f6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740f57d934738aa850b09dd6f6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780f57d934738aa850b09dd6f6', 'height': 160, 'width': 160}]",Zizi Possi,artist,spotify:artist:65yVjvbkC6m9DzQFihrSvL,https://open.spotify.com/artist/65yVjvbkC6m9DzQFihrSvL
https://api.spotify.com/v1/artists/6102bVgHhOwz9NGawJPJOL,6102bVgHhOwz9NGawJPJOL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb26f25593ac63c8588e32fc89', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517426f25593ac63c8588e32fc89', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17826f25593ac63c8588e32fc89', 'height': 160, 'width': 160}]",Toni Garrido,artist,spotify:artist:6102bVgHhOwz9NGawJPJOL,https://open.spotify.com/artist/6102bVgHhOwz9NGawJPJOL
