href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1pp3jqKNKXFawj4MaWuwnr,1pp3jqKNKXFawj4MaWuwnr,"[{'url': 'https://i.scdn.co/image/1fb333ee5448b006ed44beeba1ea189041f28541', 'height': 988, 'width': 1000}, {'url': 'https://i.scdn.co/image/9b6713a16c37ed5f2ec0a31bdbdf25aaacd36092', 'height': 632, 'width': 640}, {'url': 'https://i.scdn.co/image/e57c5fbe9fd132a7542835295b618a534457c528', 'height': 198, 'width': 200}, {'url': 'https://i.scdn.co/image/0631a3208835c9bafa2c1345d4cb48bacb1bc1e6', 'height': 63, 'width': 64}]",James Hetfield,artist,spotify:artist:1pp3jqKNKXFawj4MaWuwnr,https://open.spotify.com/artist/1pp3jqKNKXFawj4MaWuwnr
https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517469ca98dd3083f1082d740e44', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17869ca98dd3083f1082d740e44', 'height': 160, 'width': 160}]",Metallica,artist,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB
https://api.spotify.com/v1/artists/4Yj2q7RA3jSBy1zuag6Dx6,4Yj2q7RA3jSBy1zuag6Dx6,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2733dee35c40838da109ac00088', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e023dee35c40838da109ac00088', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048513dee35c40838da109ac00088', 'height': 64, 'width': 64}]",James & Hetfield,artist,spotify:artist:4Yj2q7RA3jSBy1zuag6Dx6,https://open.spotify.com/artist/4Yj2q7RA3jSBy1zuag6Dx6
https://api.spotify.com/v1/artists/2ePzbA0F0TD96Na0MEB2Cf,2ePzbA0F0TD96Na0MEB2Cf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb54072fffe46e5a8a48cdfc76', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517454072fffe46e5a8a48cdfc76', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17854072fffe46e5a8a48cdfc76', 'height': 160, 'width': 160}]",Kirk Hammett,artist,spotify:artist:2ePzbA0F0TD96Na0MEB2Cf,https://open.spotify.com/artist/2ePzbA0F0TD96Na0MEB2Cf
https://api.spotify.com/v1/artists/6PhfIqeGfEpF5Vub5hWLHu,6PhfIqeGfEpF5Vub5hWLHu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ef92cf3a2cf530ecbc48e98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ef92cf3a2cf530ecbc48e98', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ef92cf3a2cf530ecbc48e98', 'height': 160, 'width': 160}]",James Chatfield,artist,spotify:artist:6PhfIqeGfEpF5Vub5hWLHu,https://open.spotify.com/artist/6PhfIqeGfEpF5Vub5hWLHu
https://api.spotify.com/v1/artists/5wI54JQZEjP5lN9YfvZ4ER,5wI54JQZEjP5lN9YfvZ4ER,[],James Alan Hetfield,artist,spotify:artist:5wI54JQZEjP5lN9YfvZ4ER,https://open.spotify.com/artist/5wI54JQZEjP5lN9YfvZ4ER
https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,2SHhfs4BiDxGQ3oxqf0UHY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb347ca7e9f41f3ff8e2b19034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174347ca7e9f41f3ff8e2b19034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178347ca7e9f41f3ff8e2b19034', 'height': 160, 'width': 160}]",Roxette,artist,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://open.spotify.com/artist/2SHhfs4BiDxGQ3oxqf0UHY
https://api.spotify.com/v1/artists/4bOZtegYNmYOe3gMgPtt0H,4bOZtegYNmYOe3gMgPtt0H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebceb9c742e59d3f716fe5c617', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ceb9c742e59d3f716fe5c617', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ceb9c742e59d3f716fe5c617', 'height': 160, 'width': 160}]",Kid Abelha,artist,spotify:artist:4bOZtegYNmYOe3gMgPtt0H,https://open.spotify.com/artist/4bOZtegYNmYOe3gMgPtt0H
https://api.spotify.com/v1/artists/2jzc5TC5TVFLXQlBNiIUzE,2jzc5TC5TVFLXQlBNiIUzE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0168ba8148c07c2cdeb7d067', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740168ba8148c07c2cdeb7d067', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780168ba8148c07c2cdeb7d067', 'height': 160, 'width': 160}]",a-ha,artist,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,https://open.spotify.com/artist/2jzc5TC5TVFLXQlBNiIUzE
https://api.spotify.com/v1/artists/2euX7vCVnJy3TVEGfc0RCl,2euX7vCVnJy3TVEGfc0RCl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb879299d75c2461aea6d2b998', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174879299d75c2461aea6d2b998', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178879299d75c2461aea6d2b998', 'height': 160, 'width': 160}]",Titãs,artist,spotify:artist:2euX7vCVnJy3TVEGfc0RCl,https://open.spotify.com/artist/2euX7vCVnJy3TVEGfc0RCl
https://api.spotify.com/v1/artists/1zxDewzd2j1ZdSBGaYcr0y,1zxDewzd2j1ZdSBGaYcr0y,"[{'url': 'https://i.scdn.co/image/a15f9228f28116fa806529942dbe38e8e0123388', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/236413fe5f7998434765548173bc79327a319606', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/667ac62693783a4bc0058f817020dff5d15216c2', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/d7f048515b43f4852925aee183d2e1ab2949688c', 'height': 64, 'width': 64}]",The Outfield,artist,spotify:artist:1zxDewzd2j1ZdSBGaYcr0y,https://open.spotify.com/artist/1zxDewzd2j1ZdSBGaYcr0y
https://api.spotify.com/v1/artists/4bthk9UfsYUYdcFyqxmSUU,4bthk9UfsYUYdcFyqxmSUU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1e63dea1bded4ae1d53b5c9a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741e63dea1bded4ae1d53b5c9a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781e63dea1bded4ae1d53b5c9a', 'height': 160, 'width': 160}]",Tears For Fears,artist,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,https://open.spotify.com/artist/4bthk9UfsYUYdcFyqxmSUU
https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,1eClJfHLoDI4rZe5HxzBFv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9bfd44c9bd2aae22edfd99bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749bfd44c9bd2aae22edfd99bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789bfd44c9bd2aae22edfd99bf', 'height': 160, 'width': 160}]",INXS,artist,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv
https://api.spotify.com/v1/artists/7IAXZaLTb6nkJr8RmVPn5y,7IAXZaLTb6nkJr8RmVPn5y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb07a22f1e40e3aaf072fa302a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517407a22f1e40e3aaf072fa302a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17807a22f1e40e3aaf072fa302a', 'height': 160, 'width': 160}]",ANGRA,artist,spotify:artist:7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y
https://api.spotify.com/v1/artists/7L5YQQJPL1wrmrdigJavV7,7L5YQQJPL1wrmrdigJavV7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaeca9dca6030676c1570e3b7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aeca9dca6030676c1570e3b7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aeca9dca6030676c1570e3b7', 'height': 160, 'width': 160}]",Ira!,artist,spotify:artist:7L5YQQJPL1wrmrdigJavV7,https://open.spotify.com/artist/7L5YQQJPL1wrmrdigJavV7
https://api.spotify.com/v1/artists/6fvN9GmMCVKb5LY0WsnjFP,6fvN9GmMCVKb5LY0WsnjFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc5bc094a1280845770d009fa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c5bc094a1280845770d009fa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c5bc094a1280845770d009fa', 'height': 160, 'width': 160}]",Nazareth,artist,spotify:artist:6fvN9GmMCVKb5LY0WsnjFP,https://open.spotify.com/artist/6fvN9GmMCVKb5LY0WsnjFP
https://api.spotify.com/v1/artists/3UbyYnvNIT5DFXU4WgiGpP,3UbyYnvNIT5DFXU4WgiGpP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1cc545458190efc44f48035f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741cc545458190efc44f48035f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781cc545458190efc44f48035f', 'height': 160, 'width': 160}]",Whitesnake,artist,spotify:artist:3UbyYnvNIT5DFXU4WgiGpP,https://open.spotify.com/artist/3UbyYnvNIT5DFXU4WgiGpP
https://api.spotify.com/v1/artists/2hl0xAkS2AIRAu23TVMBG1,2hl0xAkS2AIRAu23TVMBG1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a5ee495f61402a3959b2d9c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a5ee495f61402a3959b2d9c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a5ee495f61402a3959b2d9c', 'height': 160, 'width': 160}]",Kansas,artist,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,https://open.spotify.com/artist/2hl0xAkS2AIRAu23TVMBG1
https://api.spotify.com/v1/artists/7qPLO2XOUaRrRxkvLZ3AEK,7qPLO2XOUaRrRxkvLZ3AEK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb137b8cd1a9111f3b8819cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b137b8cd1a9111f3b8819cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b137b8cd1a9111f3b8819cc7', 'height': 160, 'width': 160}]",Zeeba,artist,spotify:artist:7qPLO2XOUaRrRxkvLZ3AEK,https://open.spotify.com/artist/7qPLO2XOUaRrRxkvLZ3AEK
https://api.spotify.com/v1/artists/7lfmakKFOeQWdUrbmVK6EQ,7lfmakKFOeQWdUrbmVK6EQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebff64b1f15490ff40d477da93', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ff64b1f15490ff40d477da93', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ff64b1f15490ff40d477da93', 'height': 160, 'width': 160}]",RPM,artist,spotify:artist:7lfmakKFOeQWdUrbmVK6EQ,https://open.spotify.com/artist/7lfmakKFOeQWdUrbmVK6EQ
