href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7Iffw1nP3NjCWkRIx3Ily9,7Iffw1nP3NjCWkRIx3Ily9,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd90e4a9038787929178b4815', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d90e4a9038787929178b4815', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d90e4a9038787929178b4815', 'height': 160, 'width': 160}]",Bruce Dickinson,artist,spotify:artist:7Iffw1nP3NjCWkRIx3Ily9,https://open.spotify.com/artist/7Iffw1nP3NjCWkRIx3Ily9
https://api.spotify.com/v1/artists/6mdiAmATAx73kdxrNrnlao,6mdiAmATAx73kdxrNrnlao,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf9978ad4808f6f2723124d19', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f9978ad4808f6f2723124d19', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f9978ad4808f6f2723124d19', 'height': 160, 'width': 160}]",Iron Maiden,artist,spotify:artist:6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao
https://api.spotify.com/v1/artists/3eqjTLE0HfPfh78zjh6TqT,3eqjTLE0HfPfh78zjh6TqT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb81df2fa2f937029ec986bbb8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517481df2fa2f937029ec986bbb8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17881df2fa2f937029ec986bbb8', 'height': 160, 'width': 160}]",Bruce Springsteen,artist,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT
https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517469ca98dd3083f1082d740e44', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17869ca98dd3083f1082d740e44', 'height': 160, 'width': 160}]",Metallica,artist,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB
https://api.spotify.com/v1/artists/7IAXZaLTb6nkJr8RmVPn5y,7IAXZaLTb6nkJr8RmVPn5y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb07a22f1e40e3aaf072fa302a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517407a22f1e40e3aaf072fa302a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17807a22f1e40e3aaf072fa302a', 'height': 160, 'width': 160}]",ANGRA,artist,spotify:artist:7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y
https://api.spotify.com/v1/artists/07XSN3sPlIlB2L2XNcTwJw,07XSN3sPlIlB2L2XNcTwJw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd8205a492a79bfe4b34c567a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d8205a492a79bfe4b34c567a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d8205a492a79bfe4b34c567a', 'height': 160, 'width': 160}]",KISS,artist,spotify:artist:07XSN3sPlIlB2L2XNcTwJw,https://open.spotify.com/artist/07XSN3sPlIlB2L2XNcTwJw
https://api.spotify.com/v1/artists/4qsdtkjKjhxbFC4Bvtd26C,4qsdtkjKjhxbFC4Bvtd26C,[],Bruce Dickinson & Adrian Smith (IRON MAIDEN),artist,spotify:artist:4qsdtkjKjhxbFC4Bvtd26C,https://open.spotify.com/artist/4qsdtkjKjhxbFC4Bvtd26C
https://api.spotify.com/v1/artists/4q4XLo9tQfvIiG4HjBmC0P,4q4XLo9tQfvIiG4HjBmC0P,[],Bruce Dickinson & Adrian Smith,artist,spotify:artist:4q4XLo9tQfvIiG4HjBmC0P,https://open.spotify.com/artist/4q4XLo9tQfvIiG4HjBmC0P
https://api.spotify.com/v1/artists/6ik78ZVpzlZ6yAyYB6doUy,6ik78ZVpzlZ6yAyYB6doUy,[],Bruce Dickinson,artist,spotify:artist:6ik78ZVpzlZ6yAyYB6doUy,https://open.spotify.com/artist/6ik78ZVpzlZ6yAyYB6doUy
https://api.spotify.com/v1/artists/6no4g9aMNf5VC1P2p2Lm5t,6no4g9aMNf5VC1P2p2Lm5t,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27371e9541638f3cc206e61b6ad', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0271e9541638f3cc206e61b6ad', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485171e9541638f3cc206e61b6ad', 'height': 64, 'width': 64}]",Bruce Dickinson,artist,spotify:artist:6no4g9aMNf5VC1P2p2Lm5t,https://open.spotify.com/artist/6no4g9aMNf5VC1P2p2Lm5t
