href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0bmuibaBeiMxAqN2HwUqhd,0bmuibaBeiMxAqN2HwUqhd,"[{'url': 'https://i.scdn.co/image/46b25366a74e3ee4c0f996063184b0739e97a623', 'height': 1183, 'width': 1000}, {'url': 'https://i.scdn.co/image/b0d4bab0ed0a45a0c2abf907d9e90a10f93bf26f', 'height': 757, 'width': 640}, {'url': 'https://i.scdn.co/image/ddf80af57226c2d035812797b024b7695600fd9e', 'height': 237, 'width': 200}, {'url': 'https://i.scdn.co/image/85ba8bdd949f9908b3bf896afa83dc15aabe4237', 'height': 76, 'width': 64}]",Lemmy,artist,spotify:artist:0bmuibaBeiMxAqN2HwUqhd,https://open.spotify.com/artist/0bmuibaBeiMxAqN2HwUqhd
https://api.spotify.com/v1/artists/1DFr97A9HnbV3SKTJFu62M,1DFr97A9HnbV3SKTJFu62M,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7ec8cb2d3f9576c264a91c15', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747ec8cb2d3f9576c264a91c15', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787ec8cb2d3f9576c264a91c15', 'height': 160, 'width': 160}]",Motörhead,artist,spotify:artist:1DFr97A9HnbV3SKTJFu62M,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M
https://api.spotify.com/v1/artists/7FQ3hlrxUTIuKVqu9icpQj,7FQ3hlrxUTIuKVqu9icpQj,[],Lemmy Kilmister,artist,spotify:artist:7FQ3hlrxUTIuKVqu9icpQj,https://open.spotify.com/artist/7FQ3hlrxUTIuKVqu9icpQj
https://api.spotify.com/v1/artists/7I53gCLh0fmEbgVAhhAdTD,7I53gCLh0fmEbgVAhhAdTD,[],Lemmy Kilmister,artist,spotify:artist:7I53gCLh0fmEbgVAhhAdTD,https://open.spotify.com/artist/7I53gCLh0fmEbgVAhhAdTD
https://api.spotify.com/v1/artists/6KJiWsIOMVsC2a7iDz6Swq,6KJiWsIOMVsC2a7iDz6Swq,[],Lemmy Kilmister,artist,spotify:artist:6KJiWsIOMVsC2a7iDz6Swq,https://open.spotify.com/artist/6KJiWsIOMVsC2a7iDz6Swq
https://api.spotify.com/v1/artists/3Uf2ExmaJfKlWYlUKzw8o3,3Uf2ExmaJfKlWYlUKzw8o3,[],Lemmy Kilmister,artist,spotify:artist:3Uf2ExmaJfKlWYlUKzw8o3,https://open.spotify.com/artist/3Uf2ExmaJfKlWYlUKzw8o3
https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,7Ey4PD4MYsKc5I2dolUwbH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c5733401b4689b2064458e7d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c5733401b4689b2064458e7d', 'height': 160, 'width': 160}]",Aerosmith,artist,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b5b52f7e13f720c7a4856306', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b5b52f7e13f720c7a4856306', 'height': 160, 'width': 160}]",Ozzy Osbourne,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY
https://api.spotify.com/v1/artists/4YLBdrR3DVSMncm785NH6C,4YLBdrR3DVSMncm785NH6C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb585bb6ace0ecb38716039b02', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174585bb6ace0ecb38716039b02', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178585bb6ace0ecb38716039b02', 'height': 160, 'width': 160}]",Lenine,artist,spotify:artist:4YLBdrR3DVSMncm785NH6C,https://open.spotify.com/artist/4YLBdrR3DVSMncm785NH6C
https://api.spotify.com/v1/artists/2Hkut4rAAyrQxRdof7FVJq,2Hkut4rAAyrQxRdof7FVJq,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb896c4b043fb3063178afd716', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174896c4b043fb3063178afd716', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178896c4b043fb3063178afd716', 'height': 160, 'width': 160}]",Rush,artist,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,https://open.spotify.com/artist/2Hkut4rAAyrQxRdof7FVJq
