href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7mRVAzlt1fAAR9Cut6Rq8c,7mRVAzlt1fAAR9Cut6Rq8c,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb9fc366999b229685d91cc39', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b9fc366999b229685d91cc39', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b9fc366999b229685d91cc39', 'height': 160, 'width': 160}]",Dave Grohl,artist,spotify:artist:7mRVAzlt1fAAR9Cut6Rq8c,https://open.spotify.com/artist/7mRVAzlt1fAAR9Cut6Rq8c
https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,7jy3rLJdDQY21OgRLCZ9sD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1db35bc9c01d2b1c151e44ce', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741db35bc9c01d2b1c151e44ce', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781db35bc9c01d2b1c151e44ce', 'height': 160, 'width': 160}]",Foo Fighters,artist,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD
https://api.spotify.com/v1/artists/5TXWCRokfTVpWy42WQg57C,5TXWCRokfTVpWy42WQg57C,[],Dave grohl,artist,spotify:artist:5TXWCRokfTVpWy42WQg57C,https://open.spotify.com/artist/5TXWCRokfTVpWy42WQg57C
https://api.spotify.com/v1/artists/3PbVZAe3y6cQKBDdG2YASB,3PbVZAe3y6cQKBDdG2YASB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0cc06976a387935ee9f4ef36', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740cc06976a387935ee9f4ef36', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780cc06976a387935ee9f4ef36', 'height': 160, 'width': 160}]",Violet Grohl,artist,spotify:artist:3PbVZAe3y6cQKBDdG2YASB,https://open.spotify.com/artist/3PbVZAe3y6cQKBDdG2YASB
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,1w5Kfo2jwwIPruYS2UWh56,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe431fb8ba17cdee73e4ce08a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e431fb8ba17cdee73e4ce08a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e431fb8ba17cdee73e4ce08a', 'height': 160, 'width': 160}]",Pearl Jam,artist,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56
https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,2ziB7fzrXBoh1HUPS6sVFn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5a865295befda9e060a72cb0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745a865295befda9e060a72cb0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785a865295befda9e060a72cb0', 'height': 160, 'width': 160}]",Audioslave,artist,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn
https://api.spotify.com/v1/artists/5BtfWTlf9jyhyY5r6h8MFH,5BtfWTlf9jyhyY5r6h8MFH,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c06465774117e447ea06eff9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c06465774117e447ea06eff9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c06465774117e447ea06eff9', 'height': 64, 'width': 64}]",grohl davey,artist,spotify:artist:5BtfWTlf9jyhyY5r6h8MFH,https://open.spotify.com/artist/5BtfWTlf9jyhyY5r6h8MFH
https://api.spotify.com/v1/artists/0awqQLsNMZU3cFOVYKzFoe,0awqQLsNMZU3cFOVYKzFoe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebae8bdf1f4cdb0be196cf80af', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ae8bdf1f4cdb0be196cf80af', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ae8bdf1f4cdb0be196cf80af', 'height': 160, 'width': 160}]",Dave Roelvink,artist,spotify:artist:0awqQLsNMZU3cFOVYKzFoe,https://open.spotify.com/artist/0awqQLsNMZU3cFOVYKzFoe
https://api.spotify.com/v1/artists/4r21BK53dwdkFm0WYNk8RS,4r21BK53dwdkFm0WYNk8RS,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9bd0315d845a8fb8aae9f661', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749bd0315d845a8fb8aae9f661', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789bd0315d845a8fb8aae9f661', 'height': 160, 'width': 160}]",Dave Groenendijk,artist,spotify:artist:4r21BK53dwdkFm0WYNk8RS,https://open.spotify.com/artist/4r21BK53dwdkFm0WYNk8RS
https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh,6olE6TJLqED3rqDCT0FyPh,"[{'url': 'https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b', 'height': 1057, 'width': 1000}, {'url': 'https://i.scdn.co/image/a4e10b79a642e9891383448cbf37d7266a6883d6', 'height': 677, 'width': 640}, {'url': 'https://i.scdn.co/image/42ae0f180f16e2f21c1f2212717fc436f5b95451', 'height': 211, 'width': 200}, {'url': 'https://i.scdn.co/image/e797ad36d56c3fc8fa06c6fe91263a15bf8391b8', 'height': 68, 'width': 64}]",Nirvana,artist,spotify:artist:6olE6TJLqED3rqDCT0FyPh,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/4bOZtegYNmYOe3gMgPtt0H,4bOZtegYNmYOe3gMgPtt0H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebceb9c742e59d3f716fe5c617', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ceb9c742e59d3f716fe5c617', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ceb9c742e59d3f716fe5c617', 'height': 160, 'width': 160}]",Kid Abelha,artist,spotify:artist:4bOZtegYNmYOe3gMgPtt0H,https://open.spotify.com/artist/4bOZtegYNmYOe3gMgPtt0H
https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,58lV9VcRSjABbAbfWS6skp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb52aade0d2ea19706074da4b9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517452aade0d2ea19706074da4b9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17852aade0d2ea19706074da4b9', 'height': 160, 'width': 160}]",Bon Jovi,artist,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/2euX7vCVnJy3TVEGfc0RCl,2euX7vCVnJy3TVEGfc0RCl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb879299d75c2461aea6d2b998', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174879299d75c2461aea6d2b998', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178879299d75c2461aea6d2b998', 'height': 160, 'width': 160}]",Titãs,artist,spotify:artist:2euX7vCVnJy3TVEGfc0RCl,https://open.spotify.com/artist/2euX7vCVnJy3TVEGfc0RCl
