href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/12VaqyEhgwDRuFfEqbnrpz,12VaqyEhgwDRuFfEqbnrpz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb7b587363a285846586f6f74', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b7b587363a285846586f6f74', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b7b587363a285846586f6f74', 'height': 160, 'width': 160}]",PJ Harvey,artist,spotify:artist:12VaqyEhgwDRuFfEqbnrpz,https://open.spotify.com/artist/12VaqyEhgwDRuFfEqbnrpz
https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,4KWTAlx2RvbpseOGMEmROg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746334ab6a83196f36475ada7f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786334ab6a83196f36475ada7f', 'height': 160, 'width': 160}]",R.E.M.,artist,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,6S0GHTqz5sxK5f9HtLXn9q,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb370f18dc80c5e21816c42ea8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174370f18dc80c5e21816c42ea8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178370f18dc80c5e21816c42ea8', 'height': 160, 'width': 160}]",Garbage,artist,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://open.spotify.com/artist/6S0GHTqz5sxK5f9HtLXn9q
https://api.spotify.com/v1/artists/3g2kUQ6tHLLbmkV7T4GPtL,3g2kUQ6tHLLbmkV7T4GPtL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf178cbda9bd9a389581ff021', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f178cbda9bd9a389581ff021', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f178cbda9bd9a389581ff021', 'height': 160, 'width': 160}]",Fiona Apple,artist,spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL,https://open.spotify.com/artist/3g2kUQ6tHLLbmkV7T4GPtL
https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,7w29UYBi0qsHi5RTcv3lmA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8885fa2ceadc7658d65e1121', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748885fa2ceadc7658d65e1121', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788885fa2ceadc7658d65e1121', 'height': 160, 'width': 160}]",Björk,artist,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA
https://api.spotify.com/v1/artists/1KsASRNugxU85T0u6zSg32,1KsASRNugxU85T0u6zSg32,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf9219f4075fecfbfebb53e1b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f9219f4075fecfbfebb53e1b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f9219f4075fecfbfebb53e1b', 'height': 160, 'width': 160}]",Tori Amos,artist,spotify:artist:1KsASRNugxU85T0u6zSg32,https://open.spotify.com/artist/1KsASRNugxU85T0u6zSg32
https://api.spotify.com/v1/artists/6qTCDXibjYIFBT3xDiJgzq,6qTCDXibjYIFBT3xDiJgzq,[],Karaoke - Pj Harvey,artist,spotify:artist:6qTCDXibjYIFBT3xDiJgzq,https://open.spotify.com/artist/6qTCDXibjYIFBT3xDiJgzq
https://api.spotify.com/v1/artists/56hcUi6l9wdY8QlMwD8m6E,56hcUi6l9wdY8QlMwD8m6E,[],Pascal Comelade (feat. PJ Harvey),artist,spotify:artist:56hcUi6l9wdY8QlMwD8m6E,https://open.spotify.com/artist/56hcUi6l9wdY8QlMwD8m6E
https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,1w5Kfo2jwwIPruYS2UWh56,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe431fb8ba17cdee73e4ce08a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e431fb8ba17cdee73e4ce08a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e431fb8ba17cdee73e4ce08a', 'height': 160, 'width': 160}]",Pearl Jam,artist,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
