href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,7w29UYBi0qsHi5RTcv3lmA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8885fa2ceadc7658d65e1121', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748885fa2ceadc7658d65e1121', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788885fa2ceadc7658d65e1121', 'height': 160, 'width': 160}]",Björk,artist,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA
https://api.spotify.com/v1/artists/1aSxMhuvixZ8h9dK9jIDwL,1aSxMhuvixZ8h9dK9jIDwL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb187017724e58e78ee1f5a8e4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174187017724e58e78ee1f5a8e4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178187017724e58e78ee1f5a8e4', 'height': 160, 'width': 160}]",Kate Bush,artist,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,https://open.spotify.com/artist/1aSxMhuvixZ8h9dK9jIDwL
https://api.spotify.com/v1/artists/7ltDVBr6mKbRvohxheJ9h1,7ltDVBr6mKbRvohxheJ9h1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9354faf80eb87961466edfbf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749354faf80eb87961466edfbf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789354faf80eb87961466edfbf', 'height': 160, 'width': 160}]",ROSALÍA,artist,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1
https://api.spotify.com/v1/artists/5a2w2tgpLwv26BYJf2qYwu,5a2w2tgpLwv26BYJf2qYwu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0a5f93747d4d50f1ea5ab6f0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740a5f93747d4d50f1ea5ab6f0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780a5f93747d4d50f1ea5ab6f0', 'height': 160, 'width': 160}]",SOPHIE,artist,spotify:artist:5a2w2tgpLwv26BYJf2qYwu,https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu
https://api.spotify.com/v1/artists/4SQdUpG4f7UbkJG3cJ2Iyj,4SQdUpG4f7UbkJG3cJ2Iyj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb7054b0057443749b505dbdd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b7054b0057443749b505dbdd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b7054b0057443749b505dbdd', 'height': 160, 'width': 160}]",Arca,artist,spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj,https://open.spotify.com/artist/4SQdUpG4f7UbkJG3cJ2Iyj
https://api.spotify.com/v1/artists/3g2kUQ6tHLLbmkV7T4GPtL,3g2kUQ6tHLLbmkV7T4GPtL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf178cbda9bd9a389581ff021', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f178cbda9bd9a389581ff021', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f178cbda9bd9a389581ff021', 'height': 160, 'width': 160}]",Fiona Apple,artist,spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL,https://open.spotify.com/artist/3g2kUQ6tHLLbmkV7T4GPtL
https://api.spotify.com/v1/artists/1Ek3VdZ8EPmcvgRIqnHlrF,1Ek3VdZ8EPmcvgRIqnHlrF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9a61b23d8b7b805bca4dede1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749a61b23d8b7b805bca4dede1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789a61b23d8b7b805bca4dede1', 'height': 160, 'width': 160}]",Björn Skifs,artist,spotify:artist:1Ek3VdZ8EPmcvgRIqnHlrF,https://open.spotify.com/artist/1Ek3VdZ8EPmcvgRIqnHlrF
https://api.spotify.com/v1/artists/4C0SwV2WJqRW290Xz2HIfV,4C0SwV2WJqRW290Xz2HIfV,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273e2b4ce9715ea416acb5cc56a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02e2b4ce9715ea416acb5cc56a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e2b4ce9715ea416acb5cc56a', 'height': 64, 'width': 64}]",Andreas Björkstrand,artist,spotify:artist:4C0SwV2WJqRW290Xz2HIfV,https://open.spotify.com/artist/4C0SwV2WJqRW290Xz2HIfV
https://api.spotify.com/v1/artists/6hSqPgf1kehZN3pifbGH62,6hSqPgf1kehZN3pifbGH62,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2c13606ba5eea7532c220efc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742c13606ba5eea7532c220efc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782c13606ba5eea7532c220efc', 'height': 160, 'width': 160}]",Jonas Björk,artist,spotify:artist:6hSqPgf1kehZN3pifbGH62,https://open.spotify.com/artist/6hSqPgf1kehZN3pifbGH62
https://api.spotify.com/v1/artists/4xcn3zUUGf03kOIJueXHVp,4xcn3zUUGf03kOIJueXHVp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb62722984e010fc836ffa3b3b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517462722984e010fc836ffa3b3b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17862722984e010fc836ffa3b3b', 'height': 160, 'width': 160}]",Kasper Bjørke,artist,spotify:artist:4xcn3zUUGf03kOIJueXHVp,https://open.spotify.com/artist/4xcn3zUUGf03kOIJueXHVp
https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,6tbjWDEIzxoDsBA1FuhfPW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebed2208b41d49ebd24687985b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ed2208b41d49ebd24687985b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ed2208b41d49ebd24687985b', 'height': 160, 'width': 160}]",Madonna,artist,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW
