href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4UXJsSlnKd7ltsrHebV79Q,4UXJsSlnKd7ltsrHebV79Q,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6bc10cacb013806f27aa7700', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746bc10cacb013806f27aa7700', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786bc10cacb013806f27aa7700', 'height': 160, 'width': 160}]",Nick Cave & The Bad Seeds,artist,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,https://open.spotify.com/artist/4UXJsSlnKd7ltsrHebV79Q
https://api.spotify.com/v1/artists/1RM5gp0RFfjpJhCYFPB30p,1RM5gp0RFfjpJhCYFPB30p,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb3d85d2a5291498bac66ae26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b3d85d2a5291498bac66ae26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b3d85d2a5291498bac66ae26', 'height': 160, 'width': 160}]",Nick Cave,artist,spotify:artist:1RM5gp0RFfjpJhCYFPB30p,https://open.spotify.com/artist/1RM5gp0RFfjpJhCYFPB30p
https://api.spotify.com/v1/artists/7x83XhcMbOTl1UdYsPTuZM,7x83XhcMbOTl1UdYsPTuZM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4679f0c1c8f862730c0b5109', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744679f0c1c8f862730c0b5109', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784679f0c1c8f862730c0b5109', 'height': 160, 'width': 160}]",Tom Waits,artist,spotify:artist:7x83XhcMbOTl1UdYsPTuZM,https://open.spotify.com/artist/7x83XhcMbOTl1UdYsPTuZM
https://api.spotify.com/v1/artists/5l8VQNuIg0turYE1VtM9zV,5l8VQNuIg0turYE1VtM9zV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d09c1295779cfb71683cee99', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d09c1295779cfb71683cee99', 'height': 160, 'width': 160}]",Leonard Cohen,artist,spotify:artist:5l8VQNuIg0turYE1VtM9zV,https://open.spotify.com/artist/5l8VQNuIg0turYE1VtM9zV
https://api.spotify.com/v1/artists/5cQYq4eJmOwUGCAjhajFg7,5cQYq4eJmOwUGCAjhajFg7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb65f8c17eacd44671133be805', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517465f8c17eacd44671133be805', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17865f8c17eacd44671133be805', 'height': 160, 'width': 160}]",Nick Cave & Warren Ellis,artist,spotify:artist:5cQYq4eJmOwUGCAjhajFg7,https://open.spotify.com/artist/5cQYq4eJmOwUGCAjhajFg7
https://api.spotify.com/v1/artists/5c3GLXai8YOMid29ZEuR9y,5c3GLXai8YOMid29ZEuR9y,"[{'url': 'https://i.scdn.co/image/d364b498f85ae764cd278fbba9a8ed7f00c3e434', 'height': 1484, 'width': 1000}, {'url': 'https://i.scdn.co/image/087fb05851e498c2791ca99000acf35b0fd49f19', 'height': 950, 'width': 640}, {'url': 'https://i.scdn.co/image/9a74a7d885abe5da94ac812546d0146cfe4a1ceb', 'height': 297, 'width': 200}, {'url': 'https://i.scdn.co/image/267080662cf3c019ea8020a4e0e8dd5a7be4d909', 'height': 95, 'width': 64}]",Nick Drake,artist,spotify:artist:5c3GLXai8YOMid29ZEuR9y,https://open.spotify.com/artist/5c3GLXai8YOMid29ZEuR9y
https://api.spotify.com/v1/artists/3GetiN0WyUY95GwqjIUumB,3GetiN0WyUY95GwqjIUumB,[],Nick Cameron,artist,spotify:artist:3GetiN0WyUY95GwqjIUumB,https://open.spotify.com/artist/3GetiN0WyUY95GwqjIUumB
https://api.spotify.com/v1/artists/1ZP5WN5wYU8gTpjOygihSM,1ZP5WN5wYU8gTpjOygihSM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfb61a9620dd8a8d5f51bd3d3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fb61a9620dd8a8d5f51bd3d3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fb61a9620dd8a8d5f51bd3d3', 'height': 160, 'width': 160}]",Nick,artist,spotify:artist:1ZP5WN5wYU8gTpjOygihSM,https://open.spotify.com/artist/1ZP5WN5wYU8gTpjOygihSM
https://api.spotify.com/v1/artists/0V7uVrIYr4FwFvUN9S4kYr,0V7uVrIYr4FwFvUN9S4kYr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb38642e6e2cc283240b97dc47', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517438642e6e2cc283240b97dc47', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17838642e6e2cc283240b97dc47', 'height': 160, 'width': 160}]",Nick Waterhouse,artist,spotify:artist:0V7uVrIYr4FwFvUN9S4kYr,https://open.spotify.com/artist/0V7uVrIYr4FwFvUN9S4kYr
https://api.spotify.com/v1/artists/03evdtQP9vcuqdDU6hOluN,03evdtQP9vcuqdDU6hOluN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf1ad60abcef1c33d49362183', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f1ad60abcef1c33d49362183', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f1ad60abcef1c33d49362183', 'height': 160, 'width': 160}]",Nick Nash,artist,spotify:artist:03evdtQP9vcuqdDU6hOluN,https://open.spotify.com/artist/03evdtQP9vcuqdDU6hOluN
