href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/776Uo845nYHJpNaStv1Ds4,776Uo845nYHJpNaStv1Ds4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb90c8b988fa6e6b40e0d0bf81', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517490c8b988fa6e6b40e0d0bf81', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17890c8b988fa6e6b40e0d0bf81', 'height': 160, 'width': 160}]",Jimi Hendrix,artist,spotify:artist:776Uo845nYHJpNaStv1Ds4,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4
https://api.spotify.com/v1/artists/4NgfOZCL9Ml67xzM0xzIvC,4NgfOZCL9Ml67xzM0xzIvC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbf0ee2c099003f6886e4da0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bf0ee2c099003f6886e4da0c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bf0ee2c099003f6886e4da0c', 'height': 160, 'width': 160}]",Janis Joplin,artist,spotify:artist:4NgfOZCL9Ml67xzM0xzIvC,https://open.spotify.com/artist/4NgfOZCL9Ml67xzM0xzIvC
https://api.spotify.com/v1/artists/36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp,"[{'url': 'https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e', 'height': 600, 'width': 600}, {'url': 'https://i.scdn.co/image/b0248a44865493e6a03832aa89854ada16ff07a8', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/16eb3cdae0d824b520ac17710e943a99d3ef6602', 'height': 64, 'width': 64}]",Led Zeppelin,artist,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/22WZ7M8sxp5THdruNY3gXt,22WZ7M8sxp5THdruNY3gXt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174440959e022afc20e819050bd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178440959e022afc20e819050bd', 'height': 160, 'width': 160}]",The Doors,artist,spotify:artist:22WZ7M8sxp5THdruNY3gXt,https://open.spotify.com/artist/22WZ7M8sxp5THdruNY3gXt
https://api.spotify.com/v1/artists/5fsDcuclIe8ZiBD5P787K1,5fsDcuclIe8ZiBD5P787K1,"[{'url': 'https://i.scdn.co/image/1de60c936683320769a1bfb6fba7f75902859085', 'height': 1021, 'width': 1000}, {'url': 'https://i.scdn.co/image/5bd95fbc961256c56560d838bd74d05be50701d4', 'height': 654, 'width': 640}, {'url': 'https://i.scdn.co/image/a812f6770a18e269934733f69fba0daf93f3ae04', 'height': 204, 'width': 200}, {'url': 'https://i.scdn.co/image/81bae876781fef5f3092c27a39f3b188f64bb98c', 'height': 65, 'width': 64}]",Stevie Ray Vaughan,artist,spotify:artist:5fsDcuclIe8ZiBD5P787K1,https://open.spotify.com/artist/5fsDcuclIe8ZiBD5P787K1
https://api.spotify.com/v1/artists/68oEcNDQuBtXQJrYa3VYxN,68oEcNDQuBtXQJrYa3VYxN,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27359a98dc5b6ace90cd6deabd7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0259a98dc5b6ace90cd6deabd7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485159a98dc5b6ace90cd6deabd7', 'height': 64, 'width': 64}]",Jim Hendricks,artist,spotify:artist:68oEcNDQuBtXQJrYa3VYxN,https://open.spotify.com/artist/68oEcNDQuBtXQJrYa3VYxN
https://api.spotify.com/v1/artists/3VeYvLkuFJOoPH5oQg2IMt,3VeYvLkuFJOoPH5oQg2IMt,[],Zephyr Solarin,artist,spotify:artist:3VeYvLkuFJOoPH5oQg2IMt,https://open.spotify.com/artist/3VeYvLkuFJOoPH5oQg2IMt
https://api.spotify.com/v1/artists/6WY65ctQUYE9fjmGx0tacD,6WY65ctQUYE9fjmGx0tacD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebba262b0b0735b9fc1b325312', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ba262b0b0735b9fc1b325312', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ba262b0b0735b9fc1b325312', 'height': 160, 'width': 160}]",Jimi,artist,spotify:artist:6WY65ctQUYE9fjmGx0tacD,https://open.spotify.com/artist/6WY65ctQUYE9fjmGx0tacD
