href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3iTsJGG39nMg9YiolUgLMQ,3iTsJGG39nMg9YiolUgLMQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebde9adb0e2e24c396932270e1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174de9adb0e2e24c396932270e1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178de9adb0e2e24c396932270e1', 'height': 160, 'width': 160}]",Morrissey,artist,spotify:artist:3iTsJGG39nMg9YiolUgLMQ,https://open.spotify.com/artist/3iTsJGG39nMg9YiolUgLMQ
https://api.spotify.com/v1/artists/3yY2gUcIsjMr8hjo51PoJ8,3yY2gUcIsjMr8hjo51PoJ8,"[{'url': 'https://i.scdn.co/image/481b980af463122013e4578c08fb8c5cbfaed1e9', 'height': 1516, 'width': 1000}, {'url': 'https://i.scdn.co/image/4bf08a9e6eea088b20d4092d1322bbd3f39ff9af', 'height': 970, 'width': 640}, {'url': 'https://i.scdn.co/image/bd4c7f5ff2c5c4385604e60c71eac1dd498ddbd9', 'height': 303, 'width': 200}, {'url': 'https://i.scdn.co/image/d3a2542f2811b5b01ee3483ec7c193f72a882ea1', 'height': 97, 'width': 64}]",The Smiths,artist,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,https://open.spotify.com/artist/3yY2gUcIsjMr8hjo51PoJ8
https://api.spotify.com/v1/artists/6ogn9necmbUdCppmNnGOdi,6ogn9necmbUdCppmNnGOdi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf6a97342ccd47692b7cdf8c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f6a97342ccd47692b7cdf8c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f6a97342ccd47692b7cdf8c0', 'height': 160, 'width': 160}]",Alanis Morissette,artist,spotify:artist:6ogn9necmbUdCppmNnGOdi,https://open.spotify.com/artist/6ogn9necmbUdCppmNnGOdi
https://api.spotify.com/v1/artists/762310PdDnwsDxAQxzQkfX,762310PdDnwsDxAQxzQkfX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aff13c9484fdad590ccfb73c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aff13c9484fdad590ccfb73c', 'height': 160, 'width': 160}]",Depeche Mode,artist,spotify:artist:762310PdDnwsDxAQxzQkfX,https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX
https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,4KWTAlx2RvbpseOGMEmROg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746334ab6a83196f36475ada7f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786334ab6a83196f36475ada7f', 'height': 160, 'width': 160}]",R.E.M.,artist,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg
https://api.spotify.com/v1/artists/7bu3H8JO7d0UbMoVzbo70s,7bu3H8JO7d0UbMoVzbo70s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdd427c765c409ec02dc3a868', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dd427c765c409ec02dc3a868', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dd427c765c409ec02dc3a868', 'height': 160, 'width': 160}]",The Cure,artist,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s
https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb61978f04a57032e5fec7819f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517461978f04a57032e5fec7819f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17861978f04a57032e5fec7819f', 'height': 160, 'width': 160}]",Van Morrison,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A
https://api.spotify.com/v1/artists/3qM2kgxt87sXgP2ytxZZv2,3qM2kgxt87sXgP2ytxZZv2,"[{'url': 'https://i.scdn.co/image/1b507f599929d3599f337fc509f6cf3fbfc7e523', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/c7a471bd69ceb708c75a0b4e1748d2ffa7d08293', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/9752e37d9d8e4b5d8ab73d26f340a370164600bc', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/b92bf00c6ad091873f90ef7bd969ea81b0babb06', 'height': 64, 'width': 64}]",Flo Morrissey,artist,spotify:artist:3qM2kgxt87sXgP2ytxZZv2,https://open.spotify.com/artist/3qM2kgxt87sXgP2ytxZZv2
https://api.spotify.com/v1/artists/62WbvkXqQGvXQvw74GU3kQ,62WbvkXqQGvXQvw74GU3kQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc6f0a411a272087a257efbd2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c6f0a411a272087a257efbd2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c6f0a411a272087a257efbd2', 'height': 160, 'width': 160}]",Morissette,artist,spotify:artist:62WbvkXqQGvXQvw74GU3kQ,https://open.spotify.com/artist/62WbvkXqQGvXQvw74GU3kQ
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
