href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1n65zfwYIj5kKEtNgxUlWb,1n65zfwYIj5kKEtNgxUlWb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb924bb9e7396ad3bc32cfeab0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174924bb9e7396ad3bc32cfeab0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178924bb9e7396ad3bc32cfeab0', 'height': 160, 'width': 160}]",Siouxsie and the Banshees,artist,spotify:artist:1n65zfwYIj5kKEtNgxUlWb,https://open.spotify.com/artist/1n65zfwYIj5kKEtNgxUlWb
https://api.spotify.com/v1/artists/5p8r7X8R2Y361VoHLsZ7eV,5p8r7X8R2Y361VoHLsZ7eV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb48d8e6b3c97fe7e012598a5c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517448d8e6b3c97fe7e012598a5c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17848d8e6b3c97fe7e012598a5c', 'height': 160, 'width': 160}]",Siouxsie,artist,spotify:artist:5p8r7X8R2Y361VoHLsZ7eV,https://open.spotify.com/artist/5p8r7X8R2Y361VoHLsZ7eV
https://api.spotify.com/v1/artists/2YlIQdn0iOGFWdw0Q3vtDB,2YlIQdn0iOGFWdw0Q3vtDB,"[{'url': 'https://i.scdn.co/image/6e776ad0b16d621f5dfa00c751de07f0f85d5bc1', 'height': 1198, 'width': 877}, {'url': 'https://i.scdn.co/image/3544418171a8dcc2ad986661667f3ef7b3836a35', 'height': 874, 'width': 640}, {'url': 'https://i.scdn.co/image/64e22c09a4c6847d4dc78cefb155bfac9dc402b1', 'height': 273, 'width': 200}, {'url': 'https://i.scdn.co/image/c64fd3fb08d96b646f3e8cec9a74fb3d305f2a00', 'height': 87, 'width': 64}]",Siouxsie Sioux,artist,spotify:artist:2YlIQdn0iOGFWdw0Q3vtDB,https://open.spotify.com/artist/2YlIQdn0iOGFWdw0Q3vtDB
https://api.spotify.com/v1/artists/12LYgdRtEQiAddVfR1huM0,12LYgdRtEQiAddVfR1huM0,[],Siouxsie,artist,spotify:artist:12LYgdRtEQiAddVfR1huM0,https://open.spotify.com/artist/12LYgdRtEQiAddVfR1huM0
https://api.spotify.com/v1/artists/5N5tQ9Dx1h8Od7aRmGj7Fi,5N5tQ9Dx1h8Od7aRmGj7Fi,"[{'url': 'https://i.scdn.co/image/9676688ae196b8abf4ed89ce6620a7ad04027095', 'height': 686, 'width': 1000}, {'url': 'https://i.scdn.co/image/7cfcb4df12bb3a2442e240e06cf901859b1046ea', 'height': 439, 'width': 640}, {'url': 'https://i.scdn.co/image/57fd269a0e234d409318ae0d41b7e4b6ffa0991a', 'height': 137, 'width': 200}, {'url': 'https://i.scdn.co/image/25c8070cffb44e28bc6614dfd311657b628f5912', 'height': 44, 'width': 64}]",Bauhaus,artist,spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi,https://open.spotify.com/artist/5N5tQ9Dx1h8Od7aRmGj7Fi
https://api.spotify.com/v1/artists/7bu3H8JO7d0UbMoVzbo70s,7bu3H8JO7d0UbMoVzbo70s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdd427c765c409ec02dc3a868', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dd427c765c409ec02dc3a868', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dd427c765c409ec02dc3a868', 'height': 160, 'width': 160}]",The Cure,artist,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s
https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,1eClJfHLoDI4rZe5HxzBFv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9bfd44c9bd2aae22edfd99bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749bfd44c9bd2aae22edfd99bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789bfd44c9bd2aae22edfd99bf', 'height': 160, 'width': 160}]",INXS,artist,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv
https://api.spotify.com/v1/artists/0lZoBs4Pzo7R89JM9lxwoT,0lZoBs4Pzo7R89JM9lxwoT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb899b5cf79062868a01429bc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174899b5cf79062868a01429bc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178899b5cf79062868a01429bc7', 'height': 160, 'width': 160}]",Duran Duran,artist,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT
https://api.spotify.com/v1/artists/4agTn4RB75uXaGMCPUAFZY,4agTn4RB75uXaGMCPUAFZY,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735f390a9d2c3bc1090ec0cd03', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025f390a9d2c3bc1090ec0cd03', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515f390a9d2c3bc1090ec0cd03', 'height': 64, 'width': 64}]",Siouxsie Suicide,artist,spotify:artist:4agTn4RB75uXaGMCPUAFZY,https://open.spotify.com/artist/4agTn4RB75uXaGMCPUAFZY
https://api.spotify.com/v1/artists/6iYmOCqDOWaN5Va6Gpcls7,6iYmOCqDOWaN5Va6Gpcls7,[],Siouxsie Black,artist,spotify:artist:6iYmOCqDOWaN5Va6Gpcls7,https://open.spotify.com/artist/6iYmOCqDOWaN5Va6Gpcls7
