href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6G7P2EzH5A36ujN9VPm4B0,6G7P2EzH5A36ujN9VPm4B0,"[{'url': 'https://i.scdn.co/image/6d5600a80cadf8321e6509a9421f3ac582d461b3', 'height': 1485, 'width': 1000}, {'url': 'https://i.scdn.co/image/fda5c851ffd3ca4841aa194b3f506a15fa42bcfe', 'height': 951, 'width': 640}, {'url': 'https://i.scdn.co/image/46ca807e49aca61429d93054138c513718a99d07', 'height': 297, 'width': 200}, {'url': 'https://i.scdn.co/image/bd578d3e257a2d9a44123521d7f97aeea054c39f', 'height': 95, 'width': 64}]",Robert Smith,artist,spotify:artist:6G7P2EzH5A36ujN9VPm4B0,https://open.spotify.com/artist/6G7P2EzH5A36ujN9VPm4B0
https://api.spotify.com/v1/artists/0GsLdcNOitgx7M8l6OX9fY,0GsLdcNOitgx7M8l6OX9fY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf0215f9a3a1ee946fcf605f5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f0215f9a3a1ee946fcf605f5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f0215f9a3a1ee946fcf605f5', 'height': 160, 'width': 160}]",Robert Smith,artist,spotify:artist:0GsLdcNOitgx7M8l6OX9fY,https://open.spotify.com/artist/0GsLdcNOitgx7M8l6OX9fY
https://api.spotify.com/v1/artists/7bu3H8JO7d0UbMoVzbo70s,7bu3H8JO7d0UbMoVzbo70s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdd427c765c409ec02dc3a868', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dd427c765c409ec02dc3a868', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dd427c765c409ec02dc3a868', 'height': 160, 'width': 160}]",The Cure,artist,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,https://open.spotify.com/artist/7bu3H8JO7d0UbMoVzbo70s
https://api.spotify.com/v1/artists/0Ujq3udJ06YLs1ljtmMxS2,0Ujq3udJ06YLs1ljtmMxS2,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eaabe6d9547672e6dafa9f55', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eaabe6d9547672e6dafa9f55', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eaabe6d9547672e6dafa9f55', 'height': 64, 'width': 64}]",Robert W. Smith,artist,spotify:artist:0Ujq3udJ06YLs1ljtmMxS2,https://open.spotify.com/artist/0Ujq3udJ06YLs1ljtmMxS2
https://api.spotify.com/v1/artists/0SHJWEBfbcjkE8bGiSTykk,0SHJWEBfbcjkE8bGiSTykk,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c55fb17239e8a31d21e68ce1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02e000d5faee6fe5d035d047b3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e000d5faee6fe5d035d047b3', 'height': 64, 'width': 64}]",Robert Smith ,artist,spotify:artist:0SHJWEBfbcjkE8bGiSTykk,https://open.spotify.com/artist/0SHJWEBfbcjkE8bGiSTykk
https://api.spotify.com/v1/artists/0lCIf7rlZEMULTkKq5nBZp,0lCIf7rlZEMULTkKq5nBZp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbdd88aa63e83ea860938c723', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bdd88aa63e83ea860938c723', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bdd88aa63e83ea860938c723', 'height': 160, 'width': 160}]",DJ Robert Smith,artist,spotify:artist:0lCIf7rlZEMULTkKq5nBZp,https://open.spotify.com/artist/0lCIf7rlZEMULTkKq5nBZp
https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,2y8Jo9CKhJvtfeKOsYzRdT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb876f7ad601fe9a02247b9fb9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174876f7ad601fe9a02247b9fb9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178876f7ad601fe9a02247b9fb9', 'height': 160, 'width': 160}]",Rod Stewart,artist,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://open.spotify.com/artist/2y8Jo9CKhJvtfeKOsYzRdT
https://api.spotify.com/v1/artists/42t3cRJWuyo6HwTEXTH4r0,42t3cRJWuyo6HwTEXTH4r0,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27399876a6aca03bfc7bbf6ed14', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0299876a6aca03bfc7bbf6ed14', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485199876a6aca03bfc7bbf6ed14', 'height': 64, 'width': 64}]",Robert Dean Smith,artist,spotify:artist:42t3cRJWuyo6HwTEXTH4r0,https://open.spotify.com/artist/42t3cRJWuyo6HwTEXTH4r0
https://api.spotify.com/v1/artists/7fAKtXSdNInWAIf0jVUz65,7fAKtXSdNInWAIf0jVUz65,"[{'url': 'https://i.scdn.co/image/45e8967f18679d0a5791c7f647d9f7ab1bc20f3c', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/818f9ce3057354c119192da2b670781c30f87a7d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/79bc5daf11e2d292b3c37a53e2250609409b7d9b', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/bdb5d31b81c91cd85a952eecef307b92e06eba44', 'height': 64, 'width': 64}]",Roberto Carlos,artist,spotify:artist:7fAKtXSdNInWAIf0jVUz65,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65
https://api.spotify.com/v1/artists/4w4ll81d0dR8gz989jjko1,4w4ll81d0dR8gz989jjko1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe5213ab40313e4b128f40304', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e5213ab40313e4b128f40304', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e5213ab40313e4b128f40304', 'height': 160, 'width': 160}]",Roberto De Carvalho,artist,spotify:artist:4w4ll81d0dR8gz989jjko1,https://open.spotify.com/artist/4w4ll81d0dR8gz989jjko1
