href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0hRijdwO8UsJMudc3476ma,0hRijdwO8UsJMudc3476ma,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb241e6452a528f148e5d3cbe0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174241e6452a528f148e5d3cbe0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178241e6452a528f148e5d3cbe0', 'height': 160, 'width': 160}]",Trent Reznor,artist,spotify:artist:0hRijdwO8UsJMudc3476ma,https://open.spotify.com/artist/0hRijdwO8UsJMudc3476ma
https://api.spotify.com/v1/artists/6cadOIa5DTh6a5mGo5r4bh,6cadOIa5DTh6a5mGo5r4bh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0178d25a117d796ce3ba4fee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740178d25a117d796ce3ba4fee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780178d25a117d796ce3ba4fee', 'height': 160, 'width': 160}]",Trent Reznor and Atticus Ross,artist,spotify:artist:6cadOIa5DTh6a5mGo5r4bh,https://open.spotify.com/artist/6cadOIa5DTh6a5mGo5r4bh
https://api.spotify.com/v1/artists/0X380XXQSNBYuleKzav5UO,0X380XXQSNBYuleKzav5UO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb752fca27c5b839ea47d5100d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174752fca27c5b839ea47d5100d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178752fca27c5b839ea47d5100d', 'height': 160, 'width': 160}]",Nine Inch Nails,artist,spotify:artist:0X380XXQSNBYuleKzav5UO,https://open.spotify.com/artist/0X380XXQSNBYuleKzav5UO
https://api.spotify.com/v1/artists/3hteYQFiMFbJY7wS0xDymP,3hteYQFiMFbJY7wS0xDymP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd1b0c16bf77cfe30c09b4951', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d1b0c16bf77cfe30c09b4951', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d1b0c16bf77cfe30c09b4951', 'height': 160, 'width': 160}]",Gesaffelstein,artist,spotify:artist:3hteYQFiMFbJY7wS0xDymP,https://open.spotify.com/artist/3hteYQFiMFbJY7wS0xDymP
https://api.spotify.com/v1/artists/4SQdUpG4f7UbkJG3cJ2Iyj,4SQdUpG4f7UbkJG3cJ2Iyj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb7054b0057443749b505dbdd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b7054b0057443749b505dbdd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b7054b0057443749b505dbdd', 'height': 160, 'width': 160}]",Arca,artist,spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj,https://open.spotify.com/artist/4SQdUpG4f7UbkJG3cJ2Iyj
https://api.spotify.com/v1/artists/2wPDbhaGXCqROrVmwDdCrK,2wPDbhaGXCqROrVmwDdCrK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb479c5d1829178f3c53a7e5e9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174479c5d1829178f3c53a7e5e9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178479c5d1829178f3c53a7e5e9', 'height': 160, 'width': 160}]",Oneohtrix Point Never,artist,spotify:artist:2wPDbhaGXCqROrVmwDdCrK,https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK
https://api.spotify.com/v1/artists/7c8kQb9AUntvapfnuC3IhF,7c8kQb9AUntvapfnuC3IhF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdb8bebaa5afe095fc5ed07f8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174db8bebaa5afe095fc5ed07f8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178db8bebaa5afe095fc5ed07f8', 'height': 160, 'width': 160}]",Terno Rei,artist,spotify:artist:7c8kQb9AUntvapfnuC3IhF,https://open.spotify.com/artist/7c8kQb9AUntvapfnuC3IhF
https://api.spotify.com/v1/artists/26aPjwxSSJsGy6yQ19YL55,26aPjwxSSJsGy6yQ19YL55,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf869eed3ad45a493e0caf03b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f869eed3ad45a493e0caf03b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f869eed3ad45a493e0caf03b', 'height': 160, 'width': 160}]",Sain,artist,spotify:artist:26aPjwxSSJsGy6yQ19YL55,https://open.spotify.com/artist/26aPjwxSSJsGy6yQ19YL55
https://api.spotify.com/v1/artists/1vrYVHeXLynVOgRmAxzHq1,1vrYVHeXLynVOgRmAxzHq1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1be26326fc9cf11d3bf197cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741be26326fc9cf11d3bf197cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781be26326fc9cf11d3bf197cc', 'height': 160, 'width': 160}]",Fran,artist,spotify:artist:1vrYVHeXLynVOgRmAxzHq1,https://open.spotify.com/artist/1vrYVHeXLynVOgRmAxzHq1
https://api.spotify.com/v1/artists/2dhLVCzAEMbAu1SSkAoOGV,2dhLVCzAEMbAu1SSkAoOGV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebedad6e2b062c4a8f292d1c88', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174edad6e2b062c4a8f292d1c88', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178edad6e2b062c4a8f292d1c88', 'height': 160, 'width': 160}]",JØRD,artist,spotify:artist:2dhLVCzAEMbAu1SSkAoOGV,https://open.spotify.com/artist/2dhLVCzAEMbAu1SSkAoOGV
https://api.spotify.com/v1/artists/4xhEOz8sNMC2kkXsgyThuG,4xhEOz8sNMC2kkXsgyThuG,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273aa0eec54e9ad9ab4e0ae987f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02aa0eec54e9ad9ab4e0ae987f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851aa0eec54e9ad9ab4e0ae987f', 'height': 64, 'width': 64}]",Vitroles,artist,spotify:artist:4xhEOz8sNMC2kkXsgyThuG,https://open.spotify.com/artist/4xhEOz8sNMC2kkXsgyThuG
https://api.spotify.com/v1/artists/6J4hJ6O6WJmBTlIL3wJBcT,6J4hJ6O6WJmBTlIL3wJBcT,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273faf1cf92416be4d75b2d7be5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02faf1cf92416be4d75b2d7be5', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851faf1cf92416be4d75b2d7be5', 'height': 64, 'width': 64}]",Trio Ternura,artist,spotify:artist:6J4hJ6O6WJmBTlIL3wJBcT,https://open.spotify.com/artist/6J4hJ6O6WJmBTlIL3wJBcT
https://api.spotify.com/v1/artists/719qMl6Gpbyr3h56RZ7RQT,719qMl6Gpbyr3h56RZ7RQT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3a4f7ad12f30137502fc4a65', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743a4f7ad12f30137502fc4a65', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783a4f7ad12f30137502fc4a65', 'height': 160, 'width': 160}]",Clube Dezenove,artist,spotify:artist:719qMl6Gpbyr3h56RZ7RQT,https://open.spotify.com/artist/719qMl6Gpbyr3h56RZ7RQT
https://api.spotify.com/v1/artists/4MZmexF6g7Kk5nWAP8f5Zr,4MZmexF6g7Kk5nWAP8f5Zr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1177f38b3baa52d7664c4503', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741177f38b3baa52d7664c4503', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781177f38b3baa52d7664c4503', 'height': 160, 'width': 160}]",Cine,artist,spotify:artist:4MZmexF6g7Kk5nWAP8f5Zr,https://open.spotify.com/artist/4MZmexF6g7Kk5nWAP8f5Zr
https://api.spotify.com/v1/artists/3Ujv6sa60JRiaxS8RVuNOj,3Ujv6sa60JRiaxS8RVuNOj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22895a07c0b9609b73b4533a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422895a07c0b9609b73b4533a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822895a07c0b9609b73b4533a', 'height': 160, 'width': 160}]",Tuyo,artist,spotify:artist:3Ujv6sa60JRiaxS8RVuNOj,https://open.spotify.com/artist/3Ujv6sa60JRiaxS8RVuNOj
https://api.spotify.com/v1/artists/6IyBL2HQ7NB6V6xqgl3jBg,6IyBL2HQ7NB6V6xqgl3jBg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273f83edbf87022a9bbd88f0b77', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f83edbf87022a9bbd88f0b77', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f83edbf87022a9bbd88f0b77', 'height': 64, 'width': 64}]",Jorge Mautner,artist,spotify:artist:6IyBL2HQ7NB6V6xqgl3jBg,https://open.spotify.com/artist/6IyBL2HQ7NB6V6xqgl3jBg
https://api.spotify.com/v1/artists/1rdXEdH8SRIqbuTbzQzd93,1rdXEdH8SRIqbuTbzQzd93,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbf1022cb2c272ce635e4c113', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bf1022cb2c272ce635e4c113', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bf1022cb2c272ce635e4c113', 'height': 160, 'width': 160}]",Jaloo,artist,spotify:artist:1rdXEdH8SRIqbuTbzQzd93,https://open.spotify.com/artist/1rdXEdH8SRIqbuTbzQzd93
https://api.spotify.com/v1/artists/6NGuHxpWnoUiTabTNo6JjO,6NGuHxpWnoUiTabTNo6JjO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeb55e6347dd2bae8a0b95b1a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eb55e6347dd2bae8a0b95b1a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eb55e6347dd2bae8a0b95b1a', 'height': 160, 'width': 160}]",RQntz,artist,spotify:artist:6NGuHxpWnoUiTabTNo6JjO,https://open.spotify.com/artist/6NGuHxpWnoUiTabTNo6JjO
https://api.spotify.com/v1/artists/4U1VRNe8VwcTAA6ShGyuke,4U1VRNe8VwcTAA6ShGyuke,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd91f750d0bc5c78985e9825b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d91f750d0bc5c78985e9825b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d91f750d0bc5c78985e9825b', 'height': 160, 'width': 160}]",Letrux,artist,spotify:artist:4U1VRNe8VwcTAA6ShGyuke,https://open.spotify.com/artist/4U1VRNe8VwcTAA6ShGyuke
https://api.spotify.com/v1/artists/64Js7ViptYXXKAxbYRMh0l,64Js7ViptYXXKAxbYRMh0l,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebac187746ef521840a18c0c75', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ac187746ef521840a18c0c75', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ac187746ef521840a18c0c75', 'height': 160, 'width': 160}]",Naná Roza,artist,spotify:artist:64Js7ViptYXXKAxbYRMh0l,https://open.spotify.com/artist/64Js7ViptYXXKAxbYRMh0l
