href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6Rx1JKzBrSzoKQtmbVmBnM,6Rx1JKzBrSzoKQtmbVmBnM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb195bd87b60599b7a3f19abf1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174195bd87b60599b7a3f19abf1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178195bd87b60599b7a3f19abf1', 'height': 160, 'width': 160}]",Hayley Williams,artist,spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM,https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM
https://api.spotify.com/v1/artists/3LjhVl7GzYsza1biQjTpaN,3LjhVl7GzYsza1biQjTpaN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb714d118d6fe13ba641a3fe56', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174714d118d6fe13ba641a3fe56', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178714d118d6fe13ba641a3fe56', 'height': 160, 'width': 160}]",Hayley Kiyoko,artist,spotify:artist:3LjhVl7GzYsza1biQjTpaN,https://open.spotify.com/artist/3LjhVl7GzYsza1biQjTpaN
https://api.spotify.com/v1/artists/74XFHRwlV6OrjEM0A2NCMF,74XFHRwlV6OrjEM0A2NCMF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b10c34546a4ca2d7faeb8865', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b10c34546a4ca2d7faeb8865', 'height': 160, 'width': 160}]",Paramore,artist,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF
https://api.spotify.com/v1/artists/3yFpEkVPwhpcBQ48nHgv7X,3yFpEkVPwhpcBQ48nHgv7X,[],Hayley Williams,artist,spotify:artist:3yFpEkVPwhpcBQ48nHgv7X,https://open.spotify.com/artist/3yFpEkVPwhpcBQ48nHgv7X
https://api.spotify.com/v1/artists/32HBllYRjEoVm4XoHSwvMi,32HBllYRjEoVm4XoHSwvMi,[],Hayley Williams,artist,spotify:artist:32HBllYRjEoVm4XoHSwvMi,https://open.spotify.com/artist/32HBllYRjEoVm4XoHSwvMi
https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb15136101a0f63f0b2800b9dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517415136101a0f63f0b2800b9dc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17815136101a0f63f0b2800b9dc', 'height': 160, 'width': 160}]",Halsey,artist,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2
https://api.spotify.com/v1/artists/4gD9KIMsFWnjrKh35YJzXQ,4gD9KIMsFWnjrKh35YJzXQ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732f1f1b4289e1b3a1ecc0c73c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e022f1f1b4289e1b3a1ecc0c73c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512f1f1b4289e1b3a1ecc0c73c', 'height': 64, 'width': 64}]",Hayley Williams,artist,spotify:artist:4gD9KIMsFWnjrKh35YJzXQ,https://open.spotify.com/artist/4gD9KIMsFWnjrKh35YJzXQ
https://api.spotify.com/v1/artists/2qxJFvFYMEDqd7ui6kSAcq,2qxJFvFYMEDqd7ui6kSAcq,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeefa05f0b8fcafd4beb19d31', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eefa05f0b8fcafd4beb19d31', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eefa05f0b8fcafd4beb19d31', 'height': 160, 'width': 160}]",Zedd,artist,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
https://api.spotify.com/v1/artists/3NEo0bJDvJ9xpRWwBRvLZ6,3NEo0bJDvJ9xpRWwBRvLZ6,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdbdca1c09686348aad94c480', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dbdca1c09686348aad94c480', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dbdca1c09686348aad94c480', 'height': 160, 'width': 160}]",Power Snatch,artist,spotify:artist:3NEo0bJDvJ9xpRWwBRvLZ6,https://open.spotify.com/artist/3NEo0bJDvJ9xpRWwBRvLZ6
https://api.spotify.com/v1/artists/5cKlE8f6b26h61Ml7m052Q,5cKlE8f6b26h61Ml7m052Q,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb92c4e27dde3daa47363998ca', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517492c4e27dde3daa47363998ca', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17892c4e27dde3daa47363998ca', 'height': 160, 'width': 160}]",Haley Reinhart,artist,spotify:artist:5cKlE8f6b26h61Ml7m052Q,https://open.spotify.com/artist/5cKlE8f6b26h61Ml7m052Q
