href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0IROOdQ2fQUcoaEPqt1Isg,0IROOdQ2fQUcoaEPqt1Isg,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c52abeac9a764361deaa87476', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2252abeac9a764361deaa87476', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac352abeac9a764361deaa87476', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7452abeac9a764361deaa87476', 'height': 64, 'width': 64}]",Florence Welch,artist,spotify:artist:0IROOdQ2fQUcoaEPqt1Isg,https://open.spotify.com/artist/0IROOdQ2fQUcoaEPqt1Isg
https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG,1moxjboGR7GNWYIMWsRjgG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb836eb0a7a82eb8f4133ee04d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174836eb0a7a82eb8f4133ee04d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178836eb0a7a82eb8f4133ee04d', 'height': 160, 'width': 160}]",Florence + The Machine,artist,spotify:artist:1moxjboGR7GNWYIMWsRjgG,https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG
https://api.spotify.com/v1/artists/1eh7UaIbClAfXcjiQQvhdZ,1eh7UaIbClAfXcjiQQvhdZ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2731e0b54cb8e897b4ab9ca86e4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e021e0b54cb8e897b4ab9ca86e4', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048511e0b54cb8e897b4ab9ca86e4', 'height': 64, 'width': 64}]",Florence Welch,artist,spotify:artist:1eh7UaIbClAfXcjiQQvhdZ,https://open.spotify.com/artist/1eh7UaIbClAfXcjiQQvhdZ
https://api.spotify.com/v1/artists/1m0KPr1Suw5bzvOqrbImFs,1m0KPr1Suw5bzvOqrbImFs,[],Jools Holland & Florence Welch,artist,spotify:artist:1m0KPr1Suw5bzvOqrbImFs,https://open.spotify.com/artist/1m0KPr1Suw5bzvOqrbImFs
https://api.spotify.com/v1/artists/5gCo1kqCi58Q1P2gAvO4Pt,5gCo1kqCi58Q1P2gAvO4Pt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe9272d1b7298da48fb3abec7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e9272d1b7298da48fb3abec7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e9272d1b7298da48fb3abec7', 'height': 160, 'width': 160}]",Florence Besch,artist,spotify:artist:5gCo1kqCi58Q1P2gAvO4Pt,https://open.spotify.com/artist/5gCo1kqCi58Q1P2gAvO4Pt
https://api.spotify.com/v1/artists/0s4kXsjYeH0S1xRyVGN4NO,0s4kXsjYeH0S1xRyVGN4NO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba9d8a6484f026ffd9ef1b313', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a9d8a6484f026ffd9ef1b313', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a9d8a6484f026ffd9ef1b313', 'height': 160, 'width': 160}]",FLO,artist,spotify:artist:0s4kXsjYeH0S1xRyVGN4NO,https://open.spotify.com/artist/0s4kXsjYeH0S1xRyVGN4NO
https://api.spotify.com/v1/artists/3CdTias43b3Oic66fadZWY,3CdTias43b3Oic66fadZWY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb237ab060ec299e27896677a7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174237ab060ec299e27896677a7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178237ab060ec299e27896677a7', 'height': 160, 'width': 160}]",Flor,artist,spotify:artist:3CdTias43b3Oic66fadZWY,https://open.spotify.com/artist/3CdTias43b3Oic66fadZWY
https://api.spotify.com/v1/artists/3PsctqaQZDsrYSfLt0S5e4,3PsctqaQZDsrYSfLt0S5e4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebea0d9d56272b46c835703618', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ea0d9d56272b46c835703618', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ea0d9d56272b46c835703618', 'height': 160, 'width': 160}]",Flávia Wenceslau,artist,spotify:artist:3PsctqaQZDsrYSfLt0S5e4,https://open.spotify.com/artist/3PsctqaQZDsrYSfLt0S5e4
https://api.spotify.com/v1/artists/647D92XNDYTUt5A0idePJ4,647D92XNDYTUt5A0idePJ4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf93c56f6aaabf44e170c5ce1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f93c56f6aaabf44e170c5ce1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f93c56f6aaabf44e170c5ce1', 'height': 160, 'width': 160}]",Fleurie,artist,spotify:artist:647D92XNDYTUt5A0idePJ4,https://open.spotify.com/artist/647D92XNDYTUt5A0idePJ4
https://api.spotify.com/v1/artists/7lOLfXrHGsOi23UAhshyJh,7lOLfXrHGsOi23UAhshyJh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe05a576ec8df6449a79310fc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e05a576ec8df6449a79310fc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e05a576ec8df6449a79310fc', 'height': 160, 'width': 160}]",Flamha,artist,spotify:artist:7lOLfXrHGsOi23UAhshyJh,https://open.spotify.com/artist/7lOLfXrHGsOi23UAhshyJh
