href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/5M76Uwozk3WE3oYE8TNKoR,5M76Uwozk3WE3oYE8TNKoR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb37a578e9ffc499f675a57094', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517437a578e9ffc499f675a57094', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17837a578e9ffc499f675a57094', 'height': 160, 'width': 160}]",Matt Bellamy,artist,spotify:artist:5M76Uwozk3WE3oYE8TNKoR,https://open.spotify.com/artist/5M76Uwozk3WE3oYE8TNKoR
https://api.spotify.com/v1/artists/1JmCtsAChnClLr7spg9iGw,1JmCtsAChnClLr7spg9iGw,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734b53e31957dd04d7f1700820', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024b53e31957dd04d7f1700820', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514b53e31957dd04d7f1700820', 'height': 64, 'width': 64}]",Matt bellamy,artist,spotify:artist:1JmCtsAChnClLr7spg9iGw,https://open.spotify.com/artist/1JmCtsAChnClLr7spg9iGw
https://api.spotify.com/v1/artists/4iBwchw0U0GZv5RfVYSMxN,4iBwchw0U0GZv5RfVYSMxN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb55abdb92a86717a004e7a462', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517455abdb92a86717a004e7a462', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17855abdb92a86717a004e7a462', 'height': 160, 'width': 160}]",Anyma,artist,spotify:artist:4iBwchw0U0GZv5RfVYSMxN,https://open.spotify.com/artist/4iBwchw0U0GZv5RfVYSMxN
https://api.spotify.com/v1/artists/5MGy9h1rzgIuAnqEw1VH21,5MGy9h1rzgIuAnqEw1VH21,[],Matt Bellamy,artist,spotify:artist:5MGy9h1rzgIuAnqEw1VH21,https://open.spotify.com/artist/5MGy9h1rzgIuAnqEw1VH21
https://api.spotify.com/v1/artists/1DXU2QWdAyUKkl51aGA7zv,1DXU2QWdAyUKkl51aGA7zv,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27389b47e21a6eedcc3fecbaa7f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0289b47e21a6eedcc3fecbaa7f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485189b47e21a6eedcc3fecbaa7f', 'height': 64, 'width': 64}]",Matt Bellamy,artist,spotify:artist:1DXU2QWdAyUKkl51aGA7zv,https://open.spotify.com/artist/1DXU2QWdAyUKkl51aGA7zv
https://api.spotify.com/v1/artists/0laevlV9f6SBJPlwDrqkvx,0laevlV9f6SBJPlwDrqkvx,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2731634f2734d143136c5d5a2a7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e021634f2734d143136c5d5a2a7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048511634f2734d143136c5d5a2a7', 'height': 64, 'width': 64}]",Matthew Bellamy,artist,spotify:artist:0laevlV9f6SBJPlwDrqkvx,https://open.spotify.com/artist/0laevlV9f6SBJPlwDrqkvx
https://api.spotify.com/v1/artists/7LE4p6TmwVPNXaZKCtoe5k,7LE4p6TmwVPNXaZKCtoe5k,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273be85d0ef362423395a1c3ed9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02be85d0ef362423395a1c3ed9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851be85d0ef362423395a1c3ed9', 'height': 64, 'width': 64}]",Matthew Bellamy,artist,spotify:artist:7LE4p6TmwVPNXaZKCtoe5k,https://open.spotify.com/artist/7LE4p6TmwVPNXaZKCtoe5k
https://api.spotify.com/v1/artists/0FIagKn8Ibj8ikj5VvTXto,0FIagKn8Ibj8ikj5VvTXto,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb814c339af58ac58b5f4c3df0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174814c339af58ac58b5f4c3df0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178814c339af58ac58b5f4c3df0', 'height': 160, 'width': 160}]",Matt Berry,artist,spotify:artist:0FIagKn8Ibj8ikj5VvTXto,https://open.spotify.com/artist/0FIagKn8Ibj8ikj5VvTXto
https://api.spotify.com/v1/artists/6cJhMTxBvrX7ASn98Puprc,6cJhMTxBvrX7ASn98Puprc,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb90b45af20a1effc3f45557b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517490b45af20a1effc3f45557b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17890b45af20a1effc3f45557b1', 'height': 160, 'width': 160}]",Matt Bloyd,artist,spotify:artist:6cJhMTxBvrX7ASn98Puprc,https://open.spotify.com/artist/6cJhMTxBvrX7ASn98Puprc
https://api.spotify.com/v1/artists/1WQky50vkzSvSCUl0ejWqb,1WQky50vkzSvSCUl0ejWqb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7c3b6efdfc00c1c61845781a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747c3b6efdfc00c1c61845781a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787c3b6efdfc00c1c61845781a', 'height': 160, 'width': 160}]",Matt Bianco,artist,spotify:artist:1WQky50vkzSvSCUl0ejWqb,https://open.spotify.com/artist/1WQky50vkzSvSCUl0ejWqb
https://api.spotify.com/v1/artists/7l14w678oLU20aiTESTG9l,7l14w678oLU20aiTESTG9l,[],Matt Bellamy from SUBKICKS,artist,spotify:artist:7l14w678oLU20aiTESTG9l,https://open.spotify.com/artist/7l14w678oLU20aiTESTG9l
