href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4YZ5ECfbM2xSTSQTJGBbO5,4YZ5ECfbM2xSTSQTJGBbO5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb53ebb30a36ae782046b6b037', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517453ebb30a36ae782046b6b037', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17853ebb30a36ae782046b6b037', 'height': 160, 'width': 160}]",Gerard Way,artist,spotify:artist:4YZ5ECfbM2xSTSQTJGBbO5,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5
https://api.spotify.com/v1/artists/7FBcuc1gsnv6Y1nwFtNRCb,7FBcuc1gsnv6Y1nwFtNRCb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9c00ad0308287b38b8fdabc2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749c00ad0308287b38b8fdabc2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789c00ad0308287b38b8fdabc2', 'height': 160, 'width': 160}]",My Chemical Romance,artist,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb
https://api.spotify.com/v1/artists/75CziSb5bEWIj1m8TdMwYy,75CziSb5bEWIj1m8TdMwYy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2835cad7881e32da8794cf07', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742835cad7881e32da8794cf07', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782835cad7881e32da8794cf07', 'height': 160, 'width': 160}]",Frank Iero,artist,spotify:artist:75CziSb5bEWIj1m8TdMwYy,https://open.spotify.com/artist/75CziSb5bEWIj1m8TdMwYy
https://api.spotify.com/v1/artists/4ke1u9P99wW2B8D4bCebGI,4ke1u9P99wW2B8D4bCebGI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0117938cca19db4e69e01c9c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740117938cca19db4e69e01c9c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780117938cca19db4e69e01c9c', 'height': 160, 'width': 160}]",Ray Toro,artist,spotify:artist:4ke1u9P99wW2B8D4bCebGI,https://open.spotify.com/artist/4ke1u9P99wW2B8D4bCebGI
https://api.spotify.com/v1/artists/7xZsnJ0ry5xKWJg0AjP9rC,7xZsnJ0ry5xKWJg0AjP9rC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5e70b2cd99cde485f8a66545', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745e70b2cd99cde485f8a66545', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785e70b2cd99cde485f8a66545', 'height': 160, 'width': 160}]",Gerard Marino,artist,spotify:artist:7xZsnJ0ry5xKWJg0AjP9rC,https://open.spotify.com/artist/7xZsnJ0ry5xKWJg0AjP9rC
https://api.spotify.com/v1/artists/6RmuLYzCAon1ZG7wS6bk3c,6RmuLYzCAon1ZG7wS6bk3c,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273dda0bdc26d79ee00410a8390', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02dda0bdc26d79ee00410a8390', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851dda0bdc26d79ee00410a8390', 'height': 64, 'width': 64}]",Gerard Tahaud,artist,spotify:artist:6RmuLYzCAon1ZG7wS6bk3c,https://open.spotify.com/artist/6RmuLYzCAon1ZG7wS6bk3c
https://api.spotify.com/v1/artists/65TbyndeGrDlFd4IkZNfbN,65TbyndeGrDlFd4IkZNfbN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb24073a9a87c25967ad2fc2ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517424073a9a87c25967ad2fc2ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17824073a9a87c25967ad2fc2ae', 'height': 160, 'width': 160}]",Geraldo Azevedo,artist,spotify:artist:65TbyndeGrDlFd4IkZNfbN,https://open.spotify.com/artist/65TbyndeGrDlFd4IkZNfbN
https://api.spotify.com/v1/artists/4SAvNPi9ZCmNx27gp4HSS5,4SAvNPi9ZCmNx27gp4HSS5,[],Gerard Causse,artist,spotify:artist:4SAvNPi9ZCmNx27gp4HSS5,https://open.spotify.com/artist/4SAvNPi9ZCmNx27gp4HSS5
https://api.spotify.com/v1/artists/3C4MmUJYQN9svNdedAR2BK,3C4MmUJYQN9svNdedAR2BK,"[{'url': 'https://i.scdn.co/image/e9210a0a99eab042304456351ea0bd97a8788fe5', 'height': 822, 'width': 810}, {'url': 'https://i.scdn.co/image/0bf971ade91ca270ef46af0ed790e2da67d806a4', 'height': 649, 'width': 640}, {'url': 'https://i.scdn.co/image/9231df1a2d87636a0305412a2ad8cb8dd2fb3217', 'height': 203, 'width': 200}, {'url': 'https://i.scdn.co/image/7993f68f05bd694de19d4a8592fe20569519e1e8', 'height': 65, 'width': 64}]",Lisa Gerrard,artist,spotify:artist:3C4MmUJYQN9svNdedAR2BK,https://open.spotify.com/artist/3C4MmUJYQN9svNdedAR2BK
https://api.spotify.com/v1/artists/47ucOGPLBaYYcUcTNI1Szg,47ucOGPLBaYYcUcTNI1Szg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27306a0f49eca98f102cab5e98c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0206a0f49eca98f102cab5e98c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485106a0f49eca98f102cab5e98c', 'height': 64, 'width': 64}]",Geraldo Vandre,artist,spotify:artist:47ucOGPLBaYYcUcTNI1Szg,https://open.spotify.com/artist/47ucOGPLBaYYcUcTNI1Szg
