href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b78f77c5583ae99472dd4a49', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b78f77c5583ae99472dd4a49', 'height': 160, 'width': 160}]",David Bowie,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c47488c35a509d42072c23976', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2247488c35a509d42072c23976', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac347488c35a509d42072c23976', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7447488c35a509d42072c23976', 'height': 64, 'width': 64}]",Queen,artist,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740dc33a1c53bb58a84b45d6a7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780dc33a1c53bb58a84b45d6a7', 'height': 160, 'width': 160}]",Elton John,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG,7lzordPuZEXxwt9aoVZYmG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb69408d3a9d82c2307dd8699d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517469408d3a9d82c2307dd8699d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17869408d3a9d82c2307dd8699d', 'height': 160, 'width': 160}]",Billy Idol,artist,spotify:artist:7lzordPuZEXxwt9aoVZYmG,https://open.spotify.com/artist/7lzordPuZEXxwt9aoVZYmG
https://api.spotify.com/v1/artists/3yY2gUcIsjMr8hjo51PoJ8,3yY2gUcIsjMr8hjo51PoJ8,"[{'url': 'https://i.scdn.co/image/481b980af463122013e4578c08fb8c5cbfaed1e9', 'height': 1516, 'width': 1000}, {'url': 'https://i.scdn.co/image/4bf08a9e6eea088b20d4092d1322bbd3f39ff9af', 'height': 970, 'width': 640}, {'url': 'https://i.scdn.co/image/bd4c7f5ff2c5c4385604e60c71eac1dd498ddbd9', 'height': 303, 'width': 200}, {'url': 'https://i.scdn.co/image/d3a2542f2811b5b01ee3483ec7c193f72a882ea1', 'height': 97, 'width': 64}]",The Smiths,artist,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,https://open.spotify.com/artist/3yY2gUcIsjMr8hjo51PoJ8
https://api.spotify.com/v1/artists/2yEkeJoFOvm6qHuECSDHFg,2yEkeJoFOvm6qHuECSDHFg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd7e3de04524e3b8bc54235b0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d7e3de04524e3b8bc54235b0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d7e3de04524e3b8bc54235b0', 'height': 160, 'width': 160}]",David Zowie,artist,spotify:artist:2yEkeJoFOvm6qHuECSDHFg,https://open.spotify.com/artist/2yEkeJoFOvm6qHuECSDHFg
https://api.spotify.com/v1/artists/5drjaFGyNIAJa0OseeKlxo,5drjaFGyNIAJa0OseeKlxo,[],David Bowie & The Spiders From Mars,artist,spotify:artist:5drjaFGyNIAJa0OseeKlxo,https://open.spotify.com/artist/5drjaFGyNIAJa0OseeKlxo
https://api.spotify.com/v1/artists/5MDgKcKetNzuCiItXkK1dG,5MDgKcKetNzuCiItXkK1dG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7bf9233e6b42f3a239c105dd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747bf9233e6b42f3a239c105dd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787bf9233e6b42f3a239c105dd', 'height': 160, 'width': 160}]",David Botero,artist,spotify:artist:5MDgKcKetNzuCiItXkK1dG,https://open.spotify.com/artist/5MDgKcKetNzuCiItXkK1dG
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
https://api.spotify.com/v1/artists/1t5y656mS7n3HlAVKTNYuj,1t5y656mS7n3HlAVKTNYuj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd49e41094cd86a70746eae7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd49e41094cd86a70746eae7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd49e41094cd86a70746eae7', 'height': 160, 'width': 160}]",DAVIDBOII,artist,spotify:artist:1t5y656mS7n3HlAVKTNYuj,https://open.spotify.com/artist/1t5y656mS7n3HlAVKTNYuj
