href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0fGVuq5ed21pM7iWwTcMyk,0fGVuq5ed21pM7iWwTcMyk,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb072b3458075d6938714e9c0a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174072b3458075d6938714e9c0a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178072b3458075d6938714e9c0a', 'height': 160, 'width': 160}]",Amy Lee,artist,spotify:artist:0fGVuq5ed21pM7iWwTcMyk,https://open.spotify.com/artist/0fGVuq5ed21pM7iWwTcMyk
https://api.spotify.com/v1/artists/5nGIFgo0shDenQYSE0Sn7c,5nGIFgo0shDenQYSE0Sn7c,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf42c2c9bead41b262780ea89', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f42c2c9bead41b262780ea89', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f42c2c9bead41b262780ea89', 'height': 160, 'width': 160}]",Evanescence,artist,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c
https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR,6Q192DXotxtaysaqNPy5yR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ceb023b10da17590878e88c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ceb023b10da17590878e88c', 'height': 160, 'width': 160}]",Amy Winehouse,artist,spotify:artist:6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
https://api.spotify.com/v1/artists/1g9j6GF1jyjrhixt3Vurzs,1g9j6GF1jyjrhixt3Vurzs,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273460c53e36b10048efc49e76c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02460c53e36b10048efc49e76c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851460c53e36b10048efc49e76c', 'height': 64, 'width': 64}]",Courtney LaPlante,artist,spotify:artist:1g9j6GF1jyjrhixt3Vurzs,https://open.spotify.com/artist/1g9j6GF1jyjrhixt3Vurzs
https://api.spotify.com/v1/artists/5mlbvTfWUOfDrUIK6dkNzv,5mlbvTfWUOfDrUIK6dkNzv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9602d4f4d6faad23dcdf1b99', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749602d4f4d6faad23dcdf1b99', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789602d4f4d6faad23dcdf1b99', 'height': 160, 'width': 160}]",Poppy,artist,spotify:artist:5mlbvTfWUOfDrUIK6dkNzv,https://open.spotify.com/artist/5mlbvTfWUOfDrUIK6dkNzv
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/10rnwHjMMPjyi2pI1AYECh,10rnwHjMMPjyi2pI1AYECh,[],Amy Lee Bennett,artist,spotify:artist:10rnwHjMMPjyi2pI1AYECh,https://open.spotify.com/artist/10rnwHjMMPjyi2pI1AYECh
https://api.spotify.com/v1/artists/7dnT2FUXhjirperXaH22IJ,7dnT2FUXhjirperXaH22IJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4127fac942e5106e3c953c63', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744127fac942e5106e3c953c63', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784127fac942e5106e3c953c63', 'height': 160, 'width': 160}]",Rita Lee,artist,spotify:artist:7dnT2FUXhjirperXaH22IJ,https://open.spotify.com/artist/7dnT2FUXhjirperXaH22IJ
https://api.spotify.com/v1/artists/4fc7YFgyYgjkGJAinszKeg,4fc7YFgyYgjkGJAinszKeg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273144912e2ead5f5ff3509773e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02144912e2ead5f5ff3509773e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851144912e2ead5f5ff3509773e', 'height': 64, 'width': 64}]",Amy Leeman,artist,spotify:artist:4fc7YFgyYgjkGJAinszKeg,https://open.spotify.com/artist/4fc7YFgyYgjkGJAinszKeg
https://api.spotify.com/v1/artists/1bguJ0c7PghwoaLvBIVU3A,1bguJ0c7PghwoaLvBIVU3A,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27354cb39edd2b0500835c56cb7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0254cb39edd2b0500835c56cb7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485154cb39edd2b0500835c56cb7', 'height': 64, 'width': 64}]",Amy Liz,artist,spotify:artist:1bguJ0c7PghwoaLvBIVU3A,https://open.spotify.com/artist/1bguJ0c7PghwoaLvBIVU3A
https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcea575e8c9519d4367984256', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cea575e8c9519d4367984256', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cea575e8c9519d4367984256', 'height': 160, 'width': 160}]",Avril Lavigne,artist,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j
https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174527d95dabbe8b8b527e8136f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178527d95dabbe8b8b527e8136f', 'height': 160, 'width': 160}]",Linkin Park,artist,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz
https://api.spotify.com/v1/artists/74XFHRwlV6OrjEM0A2NCMF,74XFHRwlV6OrjEM0A2NCMF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b10c34546a4ca2d7faeb8865', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b10c34546a4ca2d7faeb8865', 'height': 160, 'width': 160}]",Paramore,artist,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF
