href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/2iE18Oxc8YSumAU232n4rW,2iE18Oxc8YSumAU232n4rW,"[{'url': 'https://i.scdn.co/image/19f768d93f6c80f7d4ca5b906e1c0376a3704389', 'height': 525, 'width': 527}, {'url': 'https://i.scdn.co/image/d6fbea801da2cf0c52c810ba46b2a4e6ca1d847e', 'height': 199, 'width': 200}, {'url': 'https://i.scdn.co/image/c4db26389dbf3374df5e4fadc60f7b70046c786c', 'height': 64, 'width': 64}]",The Jackson 5,artist,spotify:artist:2iE18Oxc8YSumAU232n4rW,https://open.spotify.com/artist/2iE18Oxc8YSumAU232n4rW
https://api.spotify.com/v1/artists/1on7ZQ2pvgeQF4vmIA09x5,1on7ZQ2pvgeQF4vmIA09x5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb67bc48f32d1cc16497865361', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517467bc48f32d1cc16497865361', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17867bc48f32d1cc16497865361', 'height': 160, 'width': 160}]",Charlie Brown Jr.,artist,spotify:artist:1on7ZQ2pvgeQF4vmIA09x5,https://open.spotify.com/artist/1on7ZQ2pvgeQF4vmIA09x5
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
https://api.spotify.com/v1/artists/5nP8x4uEFjAAmDzwOEc9b8,5nP8x4uEFjAAmDzwOEc9b8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb383a90d1849dfb7f0c11d809', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174383a90d1849dfb7f0c11d809', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178383a90d1849dfb7f0c11d809', 'height': 160, 'width': 160}]",Matuê,artist,spotify:artist:5nP8x4uEFjAAmDzwOEc9b8,https://open.spotify.com/artist/5nP8x4uEFjAAmDzwOEc9b8
https://api.spotify.com/v1/artists/6qrqAYlS6lUj2BVXax7SZW,6qrqAYlS6lUj2BVXax7SZW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb29915070fc94a63b974d185b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517429915070fc94a63b974d185b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17829915070fc94a63b974d185b', 'height': 160, 'width': 160}]",Mc Jacaré,artist,spotify:artist:6qrqAYlS6lUj2BVXax7SZW,https://open.spotify.com/artist/6qrqAYlS6lUj2BVXax7SZW
https://api.spotify.com/v1/artists/1gPr1xKggo12zzDMYo40AZ,1gPr1xKggo12zzDMYo40AZ,[],Michael Jackson Tribute,artist,spotify:artist:1gPr1xKggo12zzDMYo40AZ,https://open.spotify.com/artist/1gPr1xKggo12zzDMYo40AZ
https://api.spotify.com/v1/artists/4Q3aSZGYDiFjmeoilPa8zE,4Q3aSZGYDiFjmeoilPa8zE,[],Michael Jackson For Siegfried,artist,spotify:artist:4Q3aSZGYDiFjmeoilPa8zE,https://open.spotify.com/artist/4Q3aSZGYDiFjmeoilPa8zE
https://api.spotify.com/v1/artists/349ymR3M8bnpdXdLrmbGVu,349ymR3M8bnpdXdLrmbGVu,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734ddba6ce3b5af4939616eca2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024ddba6ce3b5af4939616eca2', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514ddba6ce3b5af4939616eca2', 'height': 64, 'width': 64}]",Michael Lee Jackson,artist,spotify:artist:349ymR3M8bnpdXdLrmbGVu,https://open.spotify.com/artist/349ymR3M8bnpdXdLrmbGVu
https://api.spotify.com/v1/artists/2MR0a6Lp2tRxEjm4gdNiaO,2MR0a6Lp2tRxEjm4gdNiaO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5353fb743c3c2b791ee6d610', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745353fb743c3c2b791ee6d610', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785353fb743c3c2b791ee6d610', 'height': 160, 'width': 160}]",Michael R. Jackson,artist,spotify:artist:2MR0a6Lp2tRxEjm4gdNiaO,https://open.spotify.com/artist/2MR0a6Lp2tRxEjm4gdNiaO
