href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,6tbjWDEIzxoDsBA1FuhfPW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebed2208b41d49ebd24687985b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ed2208b41d49ebd24687985b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ed2208b41d49ebd24687985b', 'height': 160, 'width': 160}]",Madonna,artist,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW
https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6', 'height': 160, 'width': 160}]",Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb26e59b825251b7df20a7b65e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517426e59b825251b7df20a7b65e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17826e59b825251b7df20a7b65e', 'height': 160, 'width': 160}]",Britney Spears,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4
https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747eaa373538359164b843f7c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787eaa373538359164b843f7c0', 'height': 160, 'width': 160}]",Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
https://api.spotify.com/v1/artists/0nFdWpwl7h6fp3ADRyG14L,0nFdWpwl7h6fp3ADRyG14L,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb661d32816a6c01d1e1725cff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174661d32816a6c01d1e1725cff', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178661d32816a6c01d1e1725cff', 'height': 160, 'width': 160}]",Marina Sena,artist,spotify:artist:0nFdWpwl7h6fp3ADRyG14L,https://open.spotify.com/artist/0nFdWpwl7h6fp3ADRyG14L
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/4TvhRzxIL1le2PWCeUqxQw,4TvhRzxIL1le2PWCeUqxQw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5f39e1cca07377a07e8f55f2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745f39e1cca07377a07e8f55f2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785f39e1cca07377a07e8f55f2', 'height': 160, 'width': 160}]",The Blessed Madonna,artist,spotify:artist:4TvhRzxIL1le2PWCeUqxQw,https://open.spotify.com/artist/4TvhRzxIL1le2PWCeUqxQw
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/16LyZ7r3rzPJqljgvz0fvq,16LyZ7r3rzPJqljgvz0fvq,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6fcd55684cd6483dc5d56fa2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746fcd55684cd6483dc5d56fa2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786fcd55684cd6483dc5d56fa2', 'height': 160, 'width': 160}]",Luigi Madonna,artist,spotify:artist:16LyZ7r3rzPJqljgvz0fvq,https://open.spotify.com/artist/16LyZ7r3rzPJqljgvz0fvq
https://api.spotify.com/v1/artists/44Qy4VoNBWmyb1GhzdLRol,44Qy4VoNBWmyb1GhzdLRol,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4e32a6a74ec99270a58fddec', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744e32a6a74ec99270a58fddec', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784e32a6a74ec99270a58fddec', 'height': 160, 'width': 160}]",THE MADNA,artist,spotify:artist:44Qy4VoNBWmyb1GhzdLRol,https://open.spotify.com/artist/44Qy4VoNBWmyb1GhzdLRol
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/2jzc5TC5TVFLXQlBNiIUzE,2jzc5TC5TVFLXQlBNiIUzE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0168ba8148c07c2cdeb7d067', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740168ba8148c07c2cdeb7d067', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780168ba8148c07c2cdeb7d067', 'height': 160, 'width': 160}]",a-ha,artist,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,https://open.spotify.com/artist/2jzc5TC5TVFLXQlBNiIUzE
https://api.spotify.com/v1/artists/4PzYKhC14sTJNEr0dzoo0d,4PzYKhC14sTJNEr0dzoo0d,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3d765e372734cc9938527e98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743d765e372734cc9938527e98', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783d765e372734cc9938527e98', 'height': 160, 'width': 160}]",Luísa Sonza,artist,spotify:artist:4PzYKhC14sTJNEr0dzoo0d,https://open.spotify.com/artist/4PzYKhC14sTJNEr0dzoo0d
https://api.spotify.com/v1/artists/1Rdd9HpkLJP623hYgchQsi,1Rdd9HpkLJP623hYgchQsi,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2737177959bf17555e76547a6f4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e027177959bf17555e76547a6f4', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048517177959bf17555e76547a6f4', 'height': 64, 'width': 64}]",Madonna,artist,spotify:artist:1Rdd9HpkLJP623hYgchQsi,https://open.spotify.com/artist/1Rdd9HpkLJP623hYgchQsi
https://api.spotify.com/v1/artists/4TwPbxGN6O4bVbwIdtcBEF,4TwPbxGN6O4bVbwIdtcBEF,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2737ebc472beb8e5d7c1d51dcbd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e027ebc472beb8e5d7c1d51dcbd', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048517ebc472beb8e5d7c1d51dcbd', 'height': 64, 'width': 64}]",Madonna,artist,spotify:artist:4TwPbxGN6O4bVbwIdtcBEF,https://open.spotify.com/artist/4TwPbxGN6O4bVbwIdtcBEF
https://api.spotify.com/v1/artists/2yELwL8DuxQuw7sajGDWGI,2yELwL8DuxQuw7sajGDWGI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc1e1c456e6d652c581ff792b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c1e1c456e6d652c581ff792b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c1e1c456e6d652c581ff792b', 'height': 160, 'width': 160}]",madonnajohn,artist,spotify:artist:2yELwL8DuxQuw7sajGDWGI,https://open.spotify.com/artist/2yELwL8DuxQuw7sajGDWGI
https://api.spotify.com/v1/artists/59jlthNnbmim5l9tmNA7se,59jlthNnbmim5l9tmNA7se,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdcc84f6af05ef63fe0c980d1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dcc84f6af05ef63fe0c980d1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dcc84f6af05ef63fe0c980d1', 'height': 160, 'width': 160}]",Maiara & Maraisa,artist,spotify:artist:59jlthNnbmim5l9tmNA7se,https://open.spotify.com/artist/59jlthNnbmim5l9tmNA7se
https://api.spotify.com/v1/artists/77d8Yuuv6nGCJSnZHcOpVe,77d8Yuuv6nGCJSnZHcOpVe,[],Buffalo Madonna,artist,spotify:artist:77d8Yuuv6nGCJSnZHcOpVe,https://open.spotify.com/artist/77d8Yuuv6nGCJSnZHcOpVe
https://api.spotify.com/v1/artists/2uOlKKhuUUWlTITCYYUuIK,2uOlKKhuUUWlTITCYYUuIK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc68f40b150c723cc9e13257', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc68f40b150c723cc9e13257', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc68f40b150c723cc9e13257', 'height': 160, 'width': 160}]",Pablo,artist,spotify:artist:2uOlKKhuUUWlTITCYYUuIK,https://open.spotify.com/artist/2uOlKKhuUUWlTITCYYUuIK
https://api.spotify.com/v1/artists/13lTMvnnXfDahWdeA174Iq,13lTMvnnXfDahWdeA174Iq,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c25bad363658b15f8f93d977', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c25bad363658b15f8f93d977', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c25bad363658b15f8f93d977', 'height': 64, 'width': 64}]",Madonna Sebastian,artist,spotify:artist:13lTMvnnXfDahWdeA174Iq,https://open.spotify.com/artist/13lTMvnnXfDahWdeA174Iq
https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY,2BTZIqw0ntH9MvilQ3ewNY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcf490a044f2314b08e24cc58', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cf490a044f2314b08e24cc58', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cf490a044f2314b08e24cc58', 'height': 160, 'width': 160}]",Cyndi Lauper,artist,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,https://open.spotify.com/artist/2BTZIqw0ntH9MvilQ3ewNY
