href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747eaa373538359164b843f7c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787eaa373538359164b843f7c0', 'height': 160, 'width': 160}]",Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cb565a8e684e3be458d329ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cb565a8e684e3be458d329ac', 'height': 160, 'width': 160}]",Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6', 'height': 160, 'width': 160}]",Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f75e64532704bd6acf0b4e76', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f75e64532704bd6acf0b4e76', 'height': 160, 'width': 160}]",Destiny's Child,artist,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/7vbtWyaqcB8RlHqqIKlHCU,7vbtWyaqcB8RlHqqIKlHCU,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a309988693e9c0ec23532a9a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a309988693e9c0ec23532a9a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a309988693e9c0ec23532a9a', 'height': 64, 'width': 64}]",Mc Beyonce,artist,spotify:artist:7vbtWyaqcB8RlHqqIKlHCU,https://open.spotify.com/artist/7vbtWyaqcB8RlHqqIKlHCU
https://api.spotify.com/v1/artists/2ONjJfZEX233t0DfVMrdoL,2ONjJfZEX233t0DfVMrdoL,[],Beyonce Knowles,artist,spotify:artist:2ONjJfZEX233t0DfVMrdoL,https://open.spotify.com/artist/2ONjJfZEX233t0DfVMrdoL
https://api.spotify.com/v1/artists/4kmn7krzlJggDr3C00SoCF,4kmn7krzlJggDr3C00SoCF,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b3a8e66cd5045ece93622743', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b3a8e66cd5045ece93622743', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b3a8e66cd5045ece93622743', 'height': 64, 'width': 64}]",Beyonce Smith,artist,spotify:artist:4kmn7krzlJggDr3C00SoCF,https://open.spotify.com/artist/4kmn7krzlJggDr3C00SoCF
https://api.spotify.com/v1/artists/2CKOmarVWvWqkNWUatHCex,2CKOmarVWvWqkNWUatHCex,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb893d346288179a0ba471acc9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174893d346288179a0ba471acc9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178893d346288179a0ba471acc9', 'height': 160, 'width': 160}]",Ana Castela,artist,spotify:artist:2CKOmarVWvWqkNWUatHCex,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex
