href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7guDJrEfX3qb6FEbdPA5qi,7guDJrEfX3qb6FEbdPA5qi,"[{'url': 'https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108', 'height': 1008, 'width': 1000}, {'url': 'https://i.scdn.co/image/37c7875911b1d8195b05d40061a86bd01908a0d9', 'height': 645, 'width': 640}, {'url': 'https://i.scdn.co/image/3b24b51bf11404089c4d66acd0c612539c77e7e7', 'height': 202, 'width': 200}, {'url': 'https://i.scdn.co/image/05489744160e3f6f94f707fa1e2a6d4bbd14a298', 'height': 64, 'width': 64}]",Stevie Wonder,artist,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi
https://api.spotify.com/v1/artists/1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6fc460f10177fa38af69b8bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746fc460f10177fa38af69b8bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786fc460f10177fa38af69b8bf', 'height': 160, 'width': 160}]",Ray Charles,artist,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,https://open.spotify.com/artist/1eYhYunlNJlDoQhtYBvPsi
https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl,3gMaNLQm7D9MornNILzdSl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb002684808eb17d8b3645b57c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174002684808eb17d8b3645b57c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178002684808eb17d8b3645b57c', 'height': 160, 'width': 160}]",Lionel Richie,artist,spotify:artist:3gMaNLQm7D9MornNILzdSl,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/3koiLjNrgRTNbOwViDipeA,3koiLjNrgRTNbOwViDipeA,"[{'url': 'https://i.scdn.co/image/cf79bd3e5c787e2ec152eeb1ea5538b0d4cf1434', 'height': 1232, 'width': 1000}, {'url': 'https://i.scdn.co/image/f69e669cd95c6008c6220fd060982ff9516ed636', 'height': 788, 'width': 640}, {'url': 'https://i.scdn.co/image/c2c1b3612f38b206411173c168b912d306b5c196', 'height': 246, 'width': 200}, {'url': 'https://i.scdn.co/image/aa28a931be2da1c33411b0d6c106bcf6e3d17de7', 'height': 79, 'width': 64}]",Marvin Gaye,artist,spotify:artist:3koiLjNrgRTNbOwViDipeA,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/1eIMTDNAORK3FT2TxPQWGF,1eIMTDNAORK3FT2TxPQWGF,[],Stevie Wonder (Karaoke),artist,spotify:artist:1eIMTDNAORK3FT2TxPQWGF,https://open.spotify.com/artist/1eIMTDNAORK3FT2TxPQWGF
https://api.spotify.com/v1/artists/33R1Kc1WL7fXyzrhDAzaH3,33R1Kc1WL7fXyzrhDAzaH3,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27330785bb5c4edcce23173e01b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0230785bb5c4edcce23173e01b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485130785bb5c4edcce23173e01b', 'height': 64, 'width': 64}]",Stevie Wonder & Take 6,artist,spotify:artist:33R1Kc1WL7fXyzrhDAzaH3,https://open.spotify.com/artist/33R1Kc1WL7fXyzrhDAzaH3
https://api.spotify.com/v1/artists/1cOwjbr6jKehrBAy9TrWlf,1cOwjbr6jKehrBAy9TrWlf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6e47ac768bab7d6d4a0d99c1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746e47ac768bab7d6d4a0d99c1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786e47ac768bab7d6d4a0d99c1', 'height': 160, 'width': 160}]",Stevie Jackson & The Wonderful Band,artist,spotify:artist:1cOwjbr6jKehrBAy9TrWlf,https://open.spotify.com/artist/1cOwjbr6jKehrBAy9TrWlf
https://api.spotify.com/v1/artists/7GaxyUddsPok8BuhxN6OUW,7GaxyUddsPok8BuhxN6OUW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174158342aa8bb8a192c778f2a5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178158342aa8bb8a192c778f2a5', 'height': 160, 'width': 160}]",James Brown,artist,spotify:artist:7GaxyUddsPok8BuhxN6OUW,https://open.spotify.com/artist/7GaxyUddsPok8BuhxN6OUW
https://api.spotify.com/v1/artists/3rfgbfpPSfXY40lzRK7Syt,3rfgbfpPSfXY40lzRK7Syt,"[{'url': 'https://i.scdn.co/image/c00b771ca8b6241bcfe316f8e8a11072714e79ef', 'height': 675, 'width': 1000}, {'url': 'https://i.scdn.co/image/d04ae222146d052fbbe9ed2598c1c3319d4e7ebc', 'height': 432, 'width': 640}, {'url': 'https://i.scdn.co/image/99f49b1947bb7e1156effba51ef87c784952d344', 'height': 135, 'width': 200}, {'url': 'https://i.scdn.co/image/b662d4c9cbcdf2622586cd8abb34e67bd89d4c65', 'height': 43, 'width': 64}]",Barry White,artist,spotify:artist:3rfgbfpPSfXY40lzRK7Syt,https://open.spotify.com/artist/3rfgbfpPSfXY40lzRK7Syt
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/6V7pNWhlJpD0s0bMdB1PU9,6V7pNWhlJpD0s0bMdB1PU9,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb06f5e2eef6d545b15a8530a2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517406f5e2eef6d545b15a8530a2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17806f5e2eef6d545b15a8530a2', 'height': 160, 'width': 160}]",Stevie B,artist,spotify:artist:6V7pNWhlJpD0s0bMdB1PU9,https://open.spotify.com/artist/6V7pNWhlJpD0s0bMdB1PU9
https://api.spotify.com/v1/artists/3JXuPylrm6hQH08FKV7PQF,3JXuPylrm6hQH08FKV7PQF,[],Stevie Wonder Tribute,artist,spotify:artist:3JXuPylrm6hQH08FKV7PQF,https://open.spotify.com/artist/3JXuPylrm6hQH08FKV7PQF
https://api.spotify.com/v1/artists/785FfAMe7rHfeBbELs9ZSZ,785FfAMe7rHfeBbELs9ZSZ,[],Stevie Wonder Coverband,artist,spotify:artist:785FfAMe7rHfeBbELs9ZSZ,https://open.spotify.com/artist/785FfAMe7rHfeBbELs9ZSZ
https://api.spotify.com/v1/artists/13rg3aJRRASbgAxR1dqC2N,13rg3aJRRASbgAxR1dqC2N,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739e4a51553d13fd6eeb792bdf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029e4a51553d13fd6eeb792bdf', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519e4a51553d13fd6eeb792bdf', 'height': 64, 'width': 64}]",Little Stevie Wonder,artist,spotify:artist:13rg3aJRRASbgAxR1dqC2N,https://open.spotify.com/artist/13rg3aJRRASbgAxR1dqC2N
https://api.spotify.com/v1/artists/6F9NQer9276eihgE5Zsxef,6F9NQer9276eihgE5Zsxef,[],Stevie Francis Jazz Wonderland,artist,spotify:artist:6F9NQer9276eihgE5Zsxef,https://open.spotify.com/artist/6F9NQer9276eihgE5Zsxef
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
