href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/41sDZeqQHU5Pq1Pu78aGYg,41sDZeqQHU5Pq1Pu78aGYg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eb13fa7c9413f8cb97e153ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eb13fa7c9413f8cb97e153ae', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eb13fa7c9413f8cb97e153ae', 'height': 64, 'width': 64}]",Aretha Franklin,artist,spotify:artist:41sDZeqQHU5Pq1Pu78aGYg,https://open.spotify.com/artist/41sDZeqQHU5Pq1Pu78aGYg
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6fc460f10177fa38af69b8bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746fc460f10177fa38af69b8bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786fc460f10177fa38af69b8bf', 'height': 160, 'width': 160}]",Ray Charles,artist,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,https://open.spotify.com/artist/1eYhYunlNJlDoQhtYBvPsi
https://api.spotify.com/v1/artists/7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb136c51c848c26a6cce7f9e56', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174136c51c848c26a6cce7f9e56', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178136c51c848c26a6cce7f9e56', 'height': 160, 'width': 160}]",Nina Simone,artist,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,https://open.spotify.com/artist/7G1GBhoKtEPnP86X2PvEYO
https://api.spotify.com/v1/artists/0iOVhN3tnSvgDbcg25JoJb,0iOVhN3tnSvgDbcg25JoJb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb058531dfd9746a96ad85265f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174058531dfd9746a96ad85265f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178058531dfd9746a96ad85265f', 'height': 160, 'width': 160}]",Etta James,artist,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb
https://api.spotify.com/v1/artists/3DiDSECUqqY1AuBP8qtaIa,3DiDSECUqqY1AuBP8qtaIa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4518cf16a45e35fc0cc82862', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744518cf16a45e35fc0cc82862', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784518cf16a45e35fc0cc82862', 'height': 160, 'width': 160}]",Alicia Keys,artist,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa
https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0a27777aaeb1725add6ace8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0a27777aaeb1725add6ace8', 'height': 160, 'width': 160}]",Mariah Carey,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
https://api.spotify.com/v1/artists/7ubf1Xu8koMpSGxMgjXQTw,7ubf1Xu8koMpSGxMgjXQTw,[],Aretha Franklin & George Benson,artist,spotify:artist:7ubf1Xu8koMpSGxMgjXQTw,https://open.spotify.com/artist/7ubf1Xu8koMpSGxMgjXQTw
https://api.spotify.com/v1/artists/1G20Z1DuyzxVHTS0JASEAH,1G20Z1DuyzxVHTS0JASEAH,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273117dd8d1492cb2110946f4a2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02117dd8d1492cb2110946f4a2', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851117dd8d1492cb2110946f4a2', 'height': 64, 'width': 64}]",Aretha Franklin with Friends,artist,spotify:artist:1G20Z1DuyzxVHTS0JASEAH,https://open.spotify.com/artist/1G20Z1DuyzxVHTS0JASEAH
https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,1zuJe6b1roixEKMOtyrEak,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22102415297132237b78829d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422102415297132237b78829d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822102415297132237b78829d', 'height': 160, 'width': 160}]",Tina Turner,artist,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak
https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR,6Q192DXotxtaysaqNPy5yR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ceb023b10da17590878e88c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ceb023b10da17590878e88c', 'height': 160, 'width': 160}]",Amy Winehouse,artist,spotify:artist:6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
https://api.spotify.com/v1/artists/3koiLjNrgRTNbOwViDipeA,3koiLjNrgRTNbOwViDipeA,"[{'url': 'https://i.scdn.co/image/cf79bd3e5c787e2ec152eeb1ea5538b0d4cf1434', 'height': 1232, 'width': 1000}, {'url': 'https://i.scdn.co/image/f69e669cd95c6008c6220fd060982ff9516ed636', 'height': 788, 'width': 640}, {'url': 'https://i.scdn.co/image/c2c1b3612f38b206411173c168b912d306b5c196', 'height': 246, 'width': 200}, {'url': 'https://i.scdn.co/image/aa28a931be2da1c33411b0d6c106bcf6e3d17de7', 'height': 79, 'width': 64}]",Marvin Gaye,artist,spotify:artist:3koiLjNrgRTNbOwViDipeA,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA
