href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0a27777aaeb1725add6ace8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0a27777aaeb1725add6ace8', 'height': 160, 'width': 160}]",Mariah Carey,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
https://api.spotify.com/v1/artists/4S9EykWXhStSc15wEx8QFK,4S9EykWXhStSc15wEx8QFK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfe81f2540f9fa7564dd5e05c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fe81f2540f9fa7564dd5e05c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fe81f2540f9fa7564dd5e05c', 'height': 160, 'width': 160}]",Céline Dion,artist,spotify:artist:4S9EykWXhStSc15wEx8QFK,https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK
https://api.spotify.com/v1/artists/3X458ddYA2YcVWuVIGGOYe,3X458ddYA2YcVWuVIGGOYe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb89773feeaeff0e1cb4951d37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517489773feeaeff0e1cb4951d37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17889773feeaeff0e1cb4951d37', 'height': 160, 'width': 160}]",Toni Braxton,artist,spotify:artist:3X458ddYA2YcVWuVIGGOYe,https://open.spotify.com/artist/3X458ddYA2YcVWuVIGGOYe
https://api.spotify.com/v1/artists/05n0QXaWQa4xNIQokc33In,05n0QXaWQa4xNIQokc33In,[],Teddy Pendergrass Duet with Whitney Houston,artist,spotify:artist:05n0QXaWQa4xNIQokc33In,https://open.spotify.com/artist/05n0QXaWQa4xNIQokc33In
https://api.spotify.com/v1/artists/20lM8kuS6hwHb0bDQpwghu,20lM8kuS6hwHb0bDQpwghu,[],"Whitney Houston, Cissy Houston & Dionne Warwick and Family",artist,spotify:artist:20lM8kuS6hwHb0bDQpwghu,https://open.spotify.com/artist/20lM8kuS6hwHb0bDQpwghu
https://api.spotify.com/v1/artists/32aUoW94mJ7xTJI7fG0V1G,32aUoW94mJ7xTJI7fG0V1G,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7b4c85d53d77381c6aaa8f8c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747b4c85d53d77381c6aaa8f8c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787b4c85d53d77381c6aaa8f8c', 'height': 160, 'width': 160}]",Whitney,artist,spotify:artist:32aUoW94mJ7xTJI7fG0V1G,https://open.spotify.com/artist/32aUoW94mJ7xTJI7fG0V1G
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/2uOlKKhuUUWlTITCYYUuIK,2uOlKKhuUUWlTITCYYUuIK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc68f40b150c723cc9e13257', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc68f40b150c723cc9e13257', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc68f40b150c723cc9e13257', 'height': 160, 'width': 160}]",Pablo,artist,spotify:artist:2uOlKKhuUUWlTITCYYUuIK,https://open.spotify.com/artist/2uOlKKhuUUWlTITCYYUuIK
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
