href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0a27777aaeb1725add6ace8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0a27777aaeb1725add6ace8', 'height': 160, 'width': 160}]",Mariah Carey,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/4S9EykWXhStSc15wEx8QFK,4S9EykWXhStSc15wEx8QFK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfe81f2540f9fa7564dd5e05c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fe81f2540f9fa7564dd5e05c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fe81f2540f9fa7564dd5e05c', 'height': 160, 'width': 160}]",Céline Dion,artist,spotify:artist:4S9EykWXhStSc15wEx8QFK,https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK
https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'height': 160, 'width': 160}]",Ne-Yo,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj
https://api.spotify.com/v1/artists/3X458ddYA2YcVWuVIGGOYe,3X458ddYA2YcVWuVIGGOYe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb89773feeaeff0e1cb4951d37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517489773feeaeff0e1cb4951d37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17889773feeaeff0e1cb4951d37', 'height': 160, 'width': 160}]",Toni Braxton,artist,spotify:artist:3X458ddYA2YcVWuVIGGOYe,https://open.spotify.com/artist/3X458ddYA2YcVWuVIGGOYe
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/59jlthNnbmim5l9tmNA7se,59jlthNnbmim5l9tmNA7se,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdcc84f6af05ef63fe0c980d1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dcc84f6af05ef63fe0c980d1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dcc84f6af05ef63fe0c980d1', 'height': 160, 'width': 160}]",Maiara & Maraisa,artist,spotify:artist:59jlthNnbmim5l9tmNA7se,https://open.spotify.com/artist/59jlthNnbmim5l9tmNA7se
https://api.spotify.com/v1/artists/41KFFpdHXX3aaLHPOy2iWX,41KFFpdHXX3aaLHPOy2iWX,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273999d7683a90dc3d1b8bfe152', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02999d7683a90dc3d1b8bfe152', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851999d7683a90dc3d1b8bfe152', 'height': 64, 'width': 64}]",Mariah Carey's karaoke band,artist,spotify:artist:41KFFpdHXX3aaLHPOy2iWX,https://open.spotify.com/artist/41KFFpdHXX3aaLHPOy2iWX
https://api.spotify.com/v1/artists/24KBhxOhdhej8A0a32FAZh,24KBhxOhdhej8A0a32FAZh,[],Mariah Carey (Karaoke),artist,spotify:artist:24KBhxOhdhej8A0a32FAZh,https://open.spotify.com/artist/24KBhxOhdhej8A0a32FAZh
https://api.spotify.com/v1/artists/3XcCS7cKALhjpUZ8x0x2B0,3XcCS7cKALhjpUZ8x0x2B0,[],"Mariah Carey, Walter Afanasieff",artist,spotify:artist:3XcCS7cKALhjpUZ8x0x2B0,https://open.spotify.com/artist/3XcCS7cKALhjpUZ8x0x2B0
https://api.spotify.com/v1/artists/3DiDSECUqqY1AuBP8qtaIa,3DiDSECUqqY1AuBP8qtaIa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4518cf16a45e35fc0cc82862', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744518cf16a45e35fc0cc82862', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784518cf16a45e35fc0cc82862', 'height': 160, 'width': 160}]",Alicia Keys,artist,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa
https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,1l7ZsJRRS8wlW3WfJfPfNS,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a69ef1c3d566709985ce452', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a69ef1c3d566709985ce452', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a69ef1c3d566709985ce452', 'height': 160, 'width': 160}]",Christina Aguilera,artist,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747eaa373538359164b843f7c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787eaa373538359164b843f7c0', 'height': 160, 'width': 160}]",Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
https://api.spotify.com/v1/artists/6wvAYM5gBBNsx1cjBmd4PI,6wvAYM5gBBNsx1cjBmd4PI,[],Mariah Careytzen,artist,spotify:artist:6wvAYM5gBBNsx1cjBmd4PI,https://open.spotify.com/artist/6wvAYM5gBBNsx1cjBmd4PI
https://api.spotify.com/v1/artists/1U9DLJ2B7RObQSSo3P3Izu,1U9DLJ2B7RObQSSo3P3Izu,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273067181df5b8558b5c2273533', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02067181df5b8558b5c2273533', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851067181df5b8558b5c2273533', 'height': 64, 'width': 64}]",Mariah Carey Tribute Team,artist,spotify:artist:1U9DLJ2B7RObQSSo3P3Izu,https://open.spotify.com/artist/1U9DLJ2B7RObQSSo3P3Izu
https://api.spotify.com/v1/artists/1fcS44jH4wr0qwxSVdxWyX,1fcS44jH4wr0qwxSVdxWyX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb23b8372ea85f9bc86a85c9c2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517423b8372ea85f9bc86a85c9c2', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17823b8372ea85f9bc86a85c9c2', 'height': 160, 'width': 160}]",Maria,artist,spotify:artist:1fcS44jH4wr0qwxSVdxWyX,https://open.spotify.com/artist/1fcS44jH4wr0qwxSVdxWyX
