href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4NgfOZCL9Ml67xzM0xzIvC,4NgfOZCL9Ml67xzM0xzIvC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbf0ee2c099003f6886e4da0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bf0ee2c099003f6886e4da0c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bf0ee2c099003f6886e4da0c', 'height': 160, 'width': 160}]",Janis Joplin,artist,spotify:artist:4NgfOZCL9Ml67xzM0xzIvC,https://open.spotify.com/artist/4NgfOZCL9Ml67xzM0xzIvC
https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR,6Q192DXotxtaysaqNPy5yR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ceb023b10da17590878e88c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ceb023b10da17590878e88c', 'height': 160, 'width': 160}]",Amy Winehouse,artist,spotify:artist:6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/776Uo845nYHJpNaStv1Ds4,776Uo845nYHJpNaStv1Ds4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb90c8b988fa6e6b40e0d0bf81', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517490c8b988fa6e6b40e0d0bf81', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17890c8b988fa6e6b40e0d0bf81', 'height': 160, 'width': 160}]",Jimi Hendrix,artist,spotify:artist:776Uo845nYHJpNaStv1Ds4,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4
https://api.spotify.com/v1/artists/36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp,"[{'url': 'https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e', 'height': 600, 'width': 600}, {'url': 'https://i.scdn.co/image/b0248a44865493e6a03832aa89854ada16ff07a8', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/16eb3cdae0d824b520ac17710e943a99d3ef6602', 'height': 64, 'width': 64}]",Led Zeppelin,artist,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp
https://api.spotify.com/v1/artists/22WZ7M8sxp5THdruNY3gXt,22WZ7M8sxp5THdruNY3gXt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174440959e022afc20e819050bd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178440959e022afc20e819050bd', 'height': 160, 'width': 160}]",The Doors,artist,spotify:artist:22WZ7M8sxp5THdruNY3gXt,https://open.spotify.com/artist/22WZ7M8sxp5THdruNY3gXt
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/1eKjcN2Eybb7vUgqX90Uue,1eKjcN2Eybb7vUgqX90Uue,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273f93ca74c5dd50891e49898c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f93ca74c5dd50891e49898c3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f93ca74c5dd50891e49898c3', 'height': 64, 'width': 64}]",Janis Joplin Fantastic Reality,artist,spotify:artist:1eKjcN2Eybb7vUgqX90Uue,https://open.spotify.com/artist/1eKjcN2Eybb7vUgqX90Uue
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/3IYUhFvPQItj6xySrBmZkd,3IYUhFvPQItj6xySrBmZkd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d2e2b04b7ba5d60b72f54506', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d2e2b04b7ba5d60b72f54506', 'height': 160, 'width': 160}]",Creedence Clearwater Revival,artist,spotify:artist:3IYUhFvPQItj6xySrBmZkd,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd
