href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da', 'height': 160, 'width': 160}]",Billie Eilish,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747eaa373538359164b843f7c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787eaa373538359164b843f7c0', 'height': 160, 'width': 160}]",Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cb565a8e684e3be458d329ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cb565a8e684e3be458d329ac', 'height': 160, 'width': 160}]",Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR,6Q192DXotxtaysaqNPy5yR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ceb023b10da17590878e88c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ceb023b10da17590878e88c', 'height': 160, 'width': 160}]",Amy Winehouse,artist,spotify:artist:6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
https://api.spotify.com/v1/artists/4ueh4hmRvt62k4BgP8dIS0,4ueh4hmRvt62k4BgP8dIS0,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf55eb3fc142c21bf4049e6bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f55eb3fc142c21bf4049e6bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f55eb3fc142c21bf4049e6bf', 'height': 160, 'width': 160}]",Adèle Castillon,artist,spotify:artist:4ueh4hmRvt62k4BgP8dIS0,https://open.spotify.com/artist/4ueh4hmRvt62k4BgP8dIS0
https://api.spotify.com/v1/artists/2qanRMyA5bNuTvz1dK45OP,2qanRMyA5bNuTvz1dK45OP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0d241cb18d11a62139cd3e79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740d241cb18d11a62139cd3e79', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780d241cb18d11a62139cd3e79', 'height': 160, 'width': 160}]",ADÉLA,artist,spotify:artist:2qanRMyA5bNuTvz1dK45OP,https://open.spotify.com/artist/2qanRMyA5bNuTvz1dK45OP
https://api.spotify.com/v1/artists/2qS6cYzM5ajhprcxQa1Ilc,2qS6cYzM5ajhprcxQa1Ilc,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebda739aad091d24b9b1bea93d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174da739aad091d24b9b1bea93d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178da739aad091d24b9b1bea93d', 'height': 160, 'width': 160}]",Adelén,artist,spotify:artist:2qS6cYzM5ajhprcxQa1Ilc,https://open.spotify.com/artist/2qS6cYzM5ajhprcxQa1Ilc
https://api.spotify.com/v1/artists/4AEv9RpfPAr67W04LqWLDb,4AEv9RpfPAr67W04LqWLDb,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735ea8313b0863a0c5d25bccc3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025ea8313b0863a0c5d25bccc3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515ea8313b0863a0c5d25bccc3', 'height': 64, 'width': 64}]",Adele Roberts,artist,spotify:artist:4AEv9RpfPAr67W04LqWLDb,https://open.spotify.com/artist/4AEv9RpfPAr67W04LqWLDb
https://api.spotify.com/v1/artists/1z2GIqUV62qrl1J5sXalOT,1z2GIqUV62qrl1J5sXalOT,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b1dcaeb349c518c6101a14c6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b1dcaeb349c518c6101a14c6', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b1dcaeb349c518c6101a14c6', 'height': 64, 'width': 64}]",Adeleye Omotayo,artist,spotify:artist:1z2GIqUV62qrl1J5sXalOT,https://open.spotify.com/artist/1z2GIqUV62qrl1J5sXalOT
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b99cacf8acd5378206767261', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b99cacf8acd5378206767261', 'height': 160, 'width': 160}]",Lana Del Rey,artist,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,5WUlDfRSoLAfcVSX1WnrxN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc1806f0a2f6c9e449de9d3c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc1806f0a2f6c9e449de9d3c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc1806f0a2f6c9e449de9d3c', 'height': 160, 'width': 160}]",Sia,artist,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6', 'height': 160, 'width': 160}]",Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb48179dd7f4c7dc49377846e0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517448179dd7f4c7dc49377846e0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17848179dd7f4c7dc49377846e0', 'height': 160, 'width': 160}]",Sam Smith,artist,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
https://api.spotify.com/v1/artists/3IpvTduYuJT6Nb7whSUXzT,3IpvTduYuJT6Nb7whSUXzT,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738a62dbec6cacf4ac09ea8784', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028a62dbec6cacf4ac09ea8784', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518a62dbec6cacf4ac09ea8784', 'height': 64, 'width': 64}]",Adelino Nascimento,artist,spotify:artist:3IpvTduYuJT6Nb7whSUXzT,https://open.spotify.com/artist/3IpvTduYuJT6Nb7whSUXzT
https://api.spotify.com/v1/artists/19RHMn8FFkEFmhPwyDW2ZC,19RHMn8FFkEFmhPwyDW2ZC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf7bb721a4a60b92c887b7443', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f7bb721a4a60b92c887b7443', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f7bb721a4a60b92c887b7443', 'height': 160, 'width': 160}]",Robyn Adele Anderson,artist,spotify:artist:19RHMn8FFkEFmhPwyDW2ZC,https://open.spotify.com/artist/19RHMn8FFkEFmhPwyDW2ZC
https://api.spotify.com/v1/artists/4z6kZb2cYPUxzVyzpNCKDj,4z6kZb2cYPUxzVyzpNCKDj,[],Adele Haenel,artist,spotify:artist:4z6kZb2cYPUxzVyzpNCKDj,https://open.spotify.com/artist/4z6kZb2cYPUxzVyzpNCKDj
https://api.spotify.com/v1/artists/5yUp79jSBSGdkbufl2hmcY,5yUp79jSBSGdkbufl2hmcY,"[{'url': 'https://i.scdn.co/image/f872ff81d488a571190f9e3ab162db15361f7060', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/cdc5a89e78fff546f1939e7dd68904bd061b36f9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/1edaaef2eaefbf2bfb6a530e5464e40e5f398819', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/4cab46ac52af13c19ecf94b9b36197fc4c09e664', 'height': 64, 'width': 64}]",Adele Anthony,artist,spotify:artist:5yUp79jSBSGdkbufl2hmcY,https://open.spotify.com/artist/5yUp79jSBSGdkbufl2hmcY
https://api.spotify.com/v1/artists/3TII9rihKMFGuLRLeOr4td,3TII9rihKMFGuLRLeOr4td,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27376446b04d24a8c30ca7a28f7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0276446b04d24a8c30ca7a28f7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485176446b04d24a8c30ca7a28f7', 'height': 64, 'width': 64}]",Adele-Hörbücher,artist,spotify:artist:3TII9rihKMFGuLRLeOr4td,https://open.spotify.com/artist/3TII9rihKMFGuLRLeOr4td
https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744be5330bd48527f9dd620663', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784be5330bd48527f9dd620663', 'height': 160, 'width': 160}]",Katy Perry,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d55c95ad400aed87da52daec', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d55c95ad400aed87da52daec', 'height': 160, 'width': 160}]",Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/6Bp3tgTwoSZGKNAXEl0doW,6Bp3tgTwoSZGKNAXEl0doW,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730a1c8b1bf1c972ca222c2e59', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020a1c8b1bf1c972ca222c2e59', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510a1c8b1bf1c972ca222c2e59', 'height': 64, 'width': 64}]",Adele,artist,spotify:artist:6Bp3tgTwoSZGKNAXEl0doW,https://open.spotify.com/artist/6Bp3tgTwoSZGKNAXEl0doW
https://api.spotify.com/v1/artists/0Le4cOls5QDSc7WP5M2IOw,0Le4cOls5QDSc7WP5M2IOw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd8151b81609f0aa4e22606ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d8151b81609f0aa4e22606ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d8151b81609f0aa4e22606ae', 'height': 160, 'width': 160}]",Adelle,artist,spotify:artist:0Le4cOls5QDSc7WP5M2IOw,https://open.spotify.com/artist/0Le4cOls5QDSc7WP5M2IOw
https://api.spotify.com/v1/artists/6b7piat9kd1q5WJlsTdfBe,6b7piat9kd1q5WJlsTdfBe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebab6921244b9a8696f0b4ed8d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ab6921244b9a8696f0b4ed8d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ab6921244b9a8696f0b4ed8d', 'height': 160, 'width': 160}]",Kayo Adele,artist,spotify:artist:6b7piat9kd1q5WJlsTdfBe,https://open.spotify.com/artist/6b7piat9kd1q5WJlsTdfBe
https://api.spotify.com/v1/artists/06wuY3VLVdOEyRLGGpHIqK,06wuY3VLVdOEyRLGGpHIqK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe6707b23b1236fb65580df26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e6707b23b1236fb65580df26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e6707b23b1236fb65580df26', 'height': 160, 'width': 160}]",Adele Harley,artist,spotify:artist:06wuY3VLVdOEyRLGGpHIqK,https://open.spotify.com/artist/06wuY3VLVdOEyRLGGpHIqK
https://api.spotify.com/v1/artists/4uPrXmvQO4YSNOapbLghCE,4uPrXmvQO4YSNOapbLghCE,[],Adele,artist,spotify:artist:4uPrXmvQO4YSNOapbLghCE,https://open.spotify.com/artist/4uPrXmvQO4YSNOapbLghCE
