href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc1719ac9e6a75c1c25835018', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c1719ac9e6a75c1c25835018', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c1719ac9e6a75c1c25835018', 'height': 160, 'width': 160}]",The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d55c95ad400aed87da52daec', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d55c95ad400aed87da52daec', 'height': 160, 'width': 160}]",Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6', 'height': 160, 'width': 160}]",Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/5JXhkyafynxCvxtov7C1PV,5JXhkyafynxCvxtov7C1PV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebafae170b6ddc09d155ace3af', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174afae170b6ddc09d155ace3af', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178afae170b6ddc09d155ace3af', 'height': 160, 'width': 160}]",Bruno & Marrone,artist,spotify:artist:5JXhkyafynxCvxtov7C1PV,https://open.spotify.com/artist/5JXhkyafynxCvxtov7C1PV
https://api.spotify.com/v1/artists/70x9rYb58QCNNeNxuO3StS,70x9rYb58QCNNeNxuO3StS,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf7ba05c84831a8872b82fe0e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f7ba05c84831a8872b82fe0e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f7ba05c84831a8872b82fe0e', 'height': 160, 'width': 160}]",Bruno & Barretto,artist,spotify:artist:70x9rYb58QCNNeNxuO3StS,https://open.spotify.com/artist/70x9rYb58QCNNeNxuO3StS
https://api.spotify.com/v1/artists/5veVxxPm1vzgi6pO2iVA8L,5veVxxPm1vzgi6pO2iVA8L,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb05fade1e8bd75cb743c30efb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517405fade1e8bd75cb743c30efb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17805fade1e8bd75cb743c30efb', 'height': 160, 'width': 160}]",Bruno Martini,artist,spotify:artist:5veVxxPm1vzgi6pO2iVA8L,https://open.spotify.com/artist/5veVxxPm1vzgi6pO2iVA8L
