href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aadc18cac8d48124357c38e6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aadc18cac8d48124357c38e6', 'height': 160, 'width': 160}]",Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744be5330bd48527f9dd620663', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784be5330bd48527f9dd620663', 'height': 160, 'width': 160}]",Katy Perry,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cb565a8e684e3be458d329ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cb565a8e684e3be458d329ac', 'height': 160, 'width': 160}]",Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747eaa373538359164b843f7c0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787eaa373538359164b843f7c0', 'height': 160, 'width': 160}]",Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/7BXMFyPdBOP61qeL3E5qU7,7BXMFyPdBOP61qeL3E5qU7,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2733a65c6304f3b097003253580', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e023a65c6304f3b097003253580', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048513a65c6304f3b097003253580', 'height': 64, 'width': 64}]",Gaga For Lady Stars,artist,spotify:artist:7BXMFyPdBOP61qeL3E5qU7,https://open.spotify.com/artist/7BXMFyPdBOP61qeL3E5qU7
https://api.spotify.com/v1/artists/5BWiwrFskTQRxKUjPMh8kI,5BWiwrFskTQRxKUjPMh8kI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe9d8b7a38e1dbdf2b55d292f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e9d8b7a38e1dbdf2b55d292f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e9d8b7a38e1dbdf2b55d292f', 'height': 160, 'width': 160}]",Lady Zamar,artist,spotify:artist:5BWiwrFskTQRxKUjPMh8kI,https://open.spotify.com/artist/5BWiwrFskTQRxKUjPMh8kI
https://api.spotify.com/v1/artists/6xNsC3M3pKfELSxER7Wxpg,6xNsC3M3pKfELSxER7Wxpg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf0fc470820a55e7b9d530f66', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f0fc470820a55e7b9d530f66', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f0fc470820a55e7b9d530f66', 'height': 160, 'width': 160}]",Lady Paradox,artist,spotify:artist:6xNsC3M3pKfELSxER7Wxpg,https://open.spotify.com/artist/6xNsC3M3pKfELSxER7Wxpg
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb26e59b825251b7df20a7b65e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517426e59b825251b7df20a7b65e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17826e59b825251b7df20a7b65e', 'height': 160, 'width': 160}]",Britney Spears,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4
https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,6tbjWDEIzxoDsBA1FuhfPW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebed2208b41d49ebd24687985b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ed2208b41d49ebd24687985b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ed2208b41d49ebd24687985b', 'height': 160, 'width': 160}]",Madonna,artist,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW
https://api.spotify.com/v1/artists/5wbf52LA6kcaboHSN6NEF1,5wbf52LA6kcaboHSN6NEF1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb034bc070c2bfa742a1e788ff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174034bc070c2bfa742a1e788ff', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178034bc070c2bfa742a1e788ff', 'height': 160, 'width': 160}]",PEDRO SAMPAIO,artist,spotify:artist:5wbf52LA6kcaboHSN6NEF1,https://open.spotify.com/artist/5wbf52LA6kcaboHSN6NEF1
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
https://api.spotify.com/v1/artists/2CKOmarVWvWqkNWUatHCex,2CKOmarVWvWqkNWUatHCex,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb893d346288179a0ba471acc9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174893d346288179a0ba471acc9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178893d346288179a0ba471acc9', 'height': 160, 'width': 160}]",Ana Castela,artist,spotify:artist:2CKOmarVWvWqkNWUatHCex,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex
https://api.spotify.com/v1/artists/4PzYKhC14sTJNEr0dzoo0d,4PzYKhC14sTJNEr0dzoo0d,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3d765e372734cc9938527e98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743d765e372734cc9938527e98', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783d765e372734cc9938527e98', 'height': 160, 'width': 160}]",Luísa Sonza,artist,spotify:artist:4PzYKhC14sTJNEr0dzoo0d,https://open.spotify.com/artist/4PzYKhC14sTJNEr0dzoo0d
https://api.spotify.com/v1/artists/38HjA3mCsjOcAgJiJLsx2D,38HjA3mCsjOcAgJiJLsx2D,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27355a58e7acfb8efb270ff590f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0255a58e7acfb8efb270ff590f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485155a58e7acfb8efb270ff590f', 'height': 64, 'width': 64}]",Lady Gaga for Piano,artist,spotify:artist:38HjA3mCsjOcAgJiJLsx2D,https://open.spotify.com/artist/38HjA3mCsjOcAgJiJLsx2D
https://api.spotify.com/v1/artists/3WJps7HNM1yNBed5t6ptQJ,3WJps7HNM1yNBed5t6ptQJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb59cad59d766756ab1425375f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517459cad59d766756ab1425375f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17859cad59d766756ab1425375f', 'height': 160, 'width': 160}]",Lady Lava,artist,spotify:artist:3WJps7HNM1yNBed5t6ptQJ,https://open.spotify.com/artist/3WJps7HNM1yNBed5t6ptQJ
https://api.spotify.com/v1/artists/63BHCKXCt00q20fd45W4Pk,63BHCKXCt00q20fd45W4Pk,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1e8b845b04f3949c8d821347', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741e8b845b04f3949c8d821347', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781e8b845b04f3949c8d821347', 'height': 160, 'width': 160}]",Lady Amar,artist,spotify:artist:63BHCKXCt00q20fd45W4Pk,https://open.spotify.com/artist/63BHCKXCt00q20fd45W4Pk
https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,0EmeFodog0BfCgMzAIvKQp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2a24b7e572e325c4b550af12', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742a24b7e572e325c4b550af12', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782a24b7e572e325c4b550af12', 'height': 160, 'width': 160}]",Shakira,artist,spotify:artist:0EmeFodog0BfCgMzAIvKQp,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp
https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc1719ac9e6a75c1c25835018', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c1719ac9e6a75c1c25835018', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c1719ac9e6a75c1c25835018', 'height': 160, 'width': 160}]",The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746725802588d7dc1aba076ca5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5', 'height': 160, 'width': 160}]",Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
https://api.spotify.com/v1/artists/4JNo6Q5KdcRf1vtSX9mB0S,4JNo6Q5KdcRf1vtSX9mB0S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe099848b88cd1d3fca223616', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e099848b88cd1d3fca223616', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e099848b88cd1d3fca223616', 'height': 160, 'width': 160}]",João Gomes,artist,spotify:artist:4JNo6Q5KdcRf1vtSX9mB0S,https://open.spotify.com/artist/4JNo6Q5KdcRf1vtSX9mB0S
https://api.spotify.com/v1/artists/2uOlKKhuUUWlTITCYYUuIK,2uOlKKhuUUWlTITCYYUuIK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc68f40b150c723cc9e13257', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc68f40b150c723cc9e13257', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc68f40b150c723cc9e13257', 'height': 160, 'width': 160}]",Pablo,artist,spotify:artist:2uOlKKhuUUWlTITCYYUuIK,https://open.spotify.com/artist/2uOlKKhuUUWlTITCYYUuIK
https://api.spotify.com/v1/artists/7oaK0rVI323hWZPoxx5ZVT,7oaK0rVI323hWZPoxx5ZVT,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730709c4e0816f0dfb0a3c894d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020709c4e0816f0dfb0a3c894d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510709c4e0816f0dfb0a3c894d', 'height': 64, 'width': 64}]",Lady Gaga - Piano Covers,artist,spotify:artist:7oaK0rVI323hWZPoxx5ZVT,https://open.spotify.com/artist/7oaK0rVI323hWZPoxx5ZVT
https://api.spotify.com/v1/artists/02OqjFXKgtAtRpr8CRaZjv,02OqjFXKgtAtRpr8CRaZjv,[],Lady Gaga's Karaoke Band,artist,spotify:artist:02OqjFXKgtAtRpr8CRaZjv,https://open.spotify.com/artist/02OqjFXKgtAtRpr8CRaZjv
https://api.spotify.com/v1/artists/08VVNBMMHgFDNuWUA3ez6O,08VVNBMMHgFDNuWUA3ez6O,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273f53d984f83989643b6c01e52', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f53d984f83989643b6c01e52', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f53d984f83989643b6c01e52', 'height': 64, 'width': 64}]",Lady Gaga Mindfulness,artist,spotify:artist:08VVNBMMHgFDNuWUA3ez6O,https://open.spotify.com/artist/08VVNBMMHgFDNuWUA3ez6O
https://api.spotify.com/v1/artists/78RN4N0o7KIcN63nH8Twxa,78RN4N0o7KIcN63nH8Twxa,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273dd81891a6b011602c09855d1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02dd81891a6b011602c09855d1', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851dd81891a6b011602c09855d1', 'height': 64, 'width': 64}]",Lady Gaga Orkestband,artist,spotify:artist:78RN4N0o7KIcN63nH8Twxa,https://open.spotify.com/artist/78RN4N0o7KIcN63nH8Twxa
https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da', 'height': 160, 'width': 160}]",Billie Eilish,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478e45cfa4697ce3c437cb455', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878e45cfa4697ce3c437cb455', 'height': 160, 'width': 160}]",Sabrina Carpenter,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
https://api.spotify.com/v1/artists/0nFdWpwl7h6fp3ADRyG14L,0nFdWpwl7h6fp3ADRyG14L,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb661d32816a6c01d1e1725cff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174661d32816a6c01d1e1725cff', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178661d32816a6c01d1e1725cff', 'height': 160, 'width': 160}]",Marina Sena,artist,spotify:artist:0nFdWpwl7h6fp3ADRyG14L,https://open.spotify.com/artist/0nFdWpwl7h6fp3ADRyG14L
https://api.spotify.com/v1/artists/5YWakIg9jWNObRq8369j9y,5YWakIg9jWNObRq8369j9y,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736833d313917081b8e1fc601a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026833d313917081b8e1fc601a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516833d313917081b8e1fc601a', 'height': 64, 'width': 64}]",Lady Gaga FKA,artist,spotify:artist:5YWakIg9jWNObRq8369j9y,https://open.spotify.com/artist/5YWakIg9jWNObRq8369j9y
https://api.spotify.com/v1/artists/47I1Io01l1zubnuzDPb9OB,47I1Io01l1zubnuzDPb9OB,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27363d5ac3a3fe8fd2e79b2053d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0263d5ac3a3fe8fd2e79b2053d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485163d5ac3a3fe8fd2e79b2053d', 'height': 64, 'width': 64}]",Lady Gaga Tribute Orchestra,artist,spotify:artist:47I1Io01l1zubnuzDPb9OB,https://open.spotify.com/artist/47I1Io01l1zubnuzDPb9OB
https://api.spotify.com/v1/artists/6TYimByryGphZCtwYopH0y,6TYimByryGphZCtwYopH0y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb16d7677a56104e6d0749935c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517416d7677a56104e6d0749935c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17816d7677a56104e6d0749935c', 'height': 160, 'width': 160}]",Lauana Prado,artist,spotify:artist:6TYimByryGphZCtwYopH0y,https://open.spotify.com/artist/6TYimByryGphZCtwYopH0y
https://api.spotify.com/v1/artists/6xF5luueF008y7V4V3kL82,6xF5luueF008y7V4V3kL82,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd9acbe7a9de0663bee30e3f4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d9acbe7a9de0663bee30e3f4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d9acbe7a9de0663bee30e3f4', 'height': 160, 'width': 160}]",Lady Lazarus,artist,spotify:artist:6xF5luueF008y7V4V3kL82,https://open.spotify.com/artist/6xF5luueF008y7V4V3kL82
