href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174af20f7db5288bce9beede034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178af20f7db5288bce9beede034', 'height': 160, 'width': 160}]",Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478e45cfa4697ce3c437cb455', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878e45cfa4697ce3c437cb455', 'height': 160, 'width': 160}]",Sabrina Carpenter,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
https://api.spotify.com/v1/artists/2CKOmarVWvWqkNWUatHCex,2CKOmarVWvWqkNWUatHCex,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb893d346288179a0ba471acc9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174893d346288179a0ba471acc9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178893d346288179a0ba471acc9', 'height': 160, 'width': 160}]",Ana Castela,artist,spotify:artist:2CKOmarVWvWqkNWUatHCex,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex
https://api.spotify.com/v1/artists/5nP8x4uEFjAAmDzwOEc9b8,5nP8x4uEFjAAmDzwOEc9b8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb383a90d1849dfb7f0c11d809', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174383a90d1849dfb7f0c11d809', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178383a90d1849dfb7f0c11d809', 'height': 160, 'width': 160}]",Matuê,artist,spotify:artist:5nP8x4uEFjAAmDzwOEc9b8,https://open.spotify.com/artist/5nP8x4uEFjAAmDzwOEc9b8
https://api.spotify.com/v1/artists/6qLgFXNKPt6JC3VMzl1nIQ,6qLgFXNKPt6JC3VMzl1nIQ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d45b5a828452b6a8644a4c89', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d45b5a828452b6a8644a4c89', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d45b5a828452b6a8644a4c89', 'height': 64, 'width': 64}]",Taylor Swiftee,artist,spotify:artist:6qLgFXNKPt6JC3VMzl1nIQ,https://open.spotify.com/artist/6qLgFXNKPt6JC3VMzl1nIQ
https://api.spotify.com/v1/artists/3JcPRQw968SnjGhc9Zl2vE,3JcPRQw968SnjGhc9Zl2vE,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d154dddd110a3c1f4b6387a1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d154dddd110a3c1f4b6387a1', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d154dddd110a3c1f4b6387a1', 'height': 64, 'width': 64}]",Taylor Swiftt,artist,spotify:artist:3JcPRQw968SnjGhc9Zl2vE,https://open.spotify.com/artist/3JcPRQw968SnjGhc9Zl2vE
https://api.spotify.com/v1/artists/0DwbGCdaD8YLRiVUEiV70Q,0DwbGCdaD8YLRiVUEiV70Q,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738160a48bb1693050f496b11e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028160a48bb1693050f496b11e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518160a48bb1693050f496b11e', 'height': 64, 'width': 64}]",Taylor Swift Piano Covers,artist,spotify:artist:0DwbGCdaD8YLRiVUEiV70Q,https://open.spotify.com/artist/0DwbGCdaD8YLRiVUEiV70Q
https://api.spotify.com/v1/artists/14waR9FpjuHkqhd3DlMAYu,14waR9FpjuHkqhd3DlMAYu,[],Taylor Swiftsz,artist,spotify:artist:14waR9FpjuHkqhd3DlMAYu,https://open.spotify.com/artist/14waR9FpjuHkqhd3DlMAYu
https://api.spotify.com/v1/artists/5KZN09Gq54DniaMMM7rKCQ,5KZN09Gq54DniaMMM7rKCQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb1b5a014faa4dc47998a617f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b1b5a014faa4dc47998a617f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b1b5a014faa4dc47998a617f', 'height': 160, 'width': 160}]",Bella Taylor Smith,artist,spotify:artist:5KZN09Gq54DniaMMM7rKCQ,https://open.spotify.com/artist/5KZN09Gq54DniaMMM7rKCQ
