href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,19ra5tSw0tWufvUp8GotLo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb89caf0227244708a91a016e5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517489caf0227244708a91a016e5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17889caf0227244708a91a016e5', 'height': 160, 'width': 160}]",George Michael,artist,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://open.spotify.com/artist/19ra5tSw0tWufvUp8GotLo
https://api.spotify.com/v1/artists/1fa0cOhromAZdq2xRA4vv8,1fa0cOhromAZdq2xRA4vv8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf126340c69932e9c9ff27de', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df126340c69932e9c9ff27de', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df126340c69932e9c9ff27de', 'height': 160, 'width': 160}]",Simply Red,artist,spotify:artist:1fa0cOhromAZdq2xRA4vv8,https://open.spotify.com/artist/1fa0cOhromAZdq2xRA4vv8
https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,5lpH0xAS4fVfLkACg9DAuM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ebf587c72f9e5159da9ce55', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ebf587c72f9e5159da9ce55', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ebf587c72f9e5159da9ce55', 'height': 160, 'width': 160}]",Wham!,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM
https://api.spotify.com/v1/artists/7FIoB5PHdrMZVC3q2HE5MS,7FIoB5PHdrMZVC3q2HE5MS,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb56358cb4880bab6bb730f9b5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517456358cb4880bab6bb730f9b5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17856358cb4880bab6bb730f9b5', 'height': 160, 'width': 160}]",George Harrison,artist,spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS
https://api.spotify.com/v1/artists/1elUiq4X7pxej6FRlrEzjM,1elUiq4X7pxej6FRlrEzjM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb29362b75d7fa1a411ecaeaf9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517429362b75d7fa1a411ecaeaf9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17829362b75d7fa1a411ecaeaf9', 'height': 160, 'width': 160}]",Jorge & Mateus,artist,spotify:artist:1elUiq4X7pxej6FRlrEzjM,https://open.spotify.com/artist/1elUiq4X7pxej6FRlrEzjM
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/3p7PcrEHaaKLJnPUGOtRlT,3p7PcrEHaaKLJnPUGOtRlT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517430f0dc81183daaee971c2601', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17830f0dc81183daaee971c2601', 'height': 160, 'width': 160}]",Henrique & Juliano,artist,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/artist/3p7PcrEHaaKLJnPUGOtRlT
https://api.spotify.com/v1/artists/2v1lHgfpG4joXW7kDdDI78,2v1lHgfpG4joXW7kDdDI78,"[{'url': 'https://i.scdn.co/image/d525fe0e20149a7dc5c5ef73c90ef75317736c14', 'height': 667, 'width': 1000}, {'url': 'https://i.scdn.co/image/a650a44d8e2c1d2ec50b3cfabcd7e09fb3b2288b', 'height': 427, 'width': 640}, {'url': 'https://i.scdn.co/image/c8c6fdb4321eac54e30f5ae964f172ad7b236b0b', 'height': 133, 'width': 200}, {'url': 'https://i.scdn.co/image/675b8ab0c6b9ed1325b484d4c8672674ef4814ec', 'height': 43, 'width': 64}]",Michael Tilson Thomas,artist,spotify:artist:2v1lHgfpG4joXW7kDdDI78,https://open.spotify.com/artist/2v1lHgfpG4joXW7kDdDI78
https://api.spotify.com/v1/artists/22gAgfyeeFBPtd5JqQwtkG,22gAgfyeeFBPtd5JqQwtkG,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c9c2cd81b7ce271a1b9bfa07', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c9c2cd81b7ce271a1b9bfa07', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c9c2cd81b7ce271a1b9bfa07', 'height': 64, 'width': 64}]",Michael George,artist,spotify:artist:22gAgfyeeFBPtd5JqQwtkG,https://open.spotify.com/artist/22gAgfyeeFBPtd5JqQwtkG
https://api.spotify.com/v1/artists/3yfhIRL4Q5iIZzcWN7xD7V,3yfhIRL4Q5iIZzcWN7xD7V,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6208f8b00acfbde85878e1e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746208f8b00acfbde85878e1e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786208f8b00acfbde85878e1e7', 'height': 160, 'width': 160}]",Michael Waldron,artist,spotify:artist:3yfhIRL4Q5iIZzcWN7xD7V,https://open.spotify.com/artist/3yfhIRL4Q5iIZzcWN7xD7V
