href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740dc33a1c53bb58a84b45d6a7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780dc33a1c53bb58a84b45d6a7', 'height': 160, 'width': 160}]",Elton John,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
https://api.spotify.com/v1/artists/5MMOM55xtXjzpRXqTc3jAP,5MMOM55xtXjzpRXqTc3jAP,[],Elton John,artist,spotify:artist:5MMOM55xtXjzpRXqTc3jAP,https://open.spotify.com/artist/5MMOM55xtXjzpRXqTc3jAP
https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c47488c35a509d42072c23976', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2247488c35a509d42072c23976', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac347488c35a509d42072c23976', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7447488c35a509d42072c23976', 'height': 64, 'width': 64}]",Queen,artist,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp,4lxfqrEsLX6N1N4OCSkILp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe1b4af6dd9cad1b03d03218d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e1b4af6dd9cad1b03d03218d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e1b4af6dd9cad1b03d03218d', 'height': 160, 'width': 160}]",Phil Collins,artist,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp
https://api.spotify.com/v1/artists/4x1nvY2FN8jxqAFA0DA02H,4x1nvY2FN8jxqAFA0DA02H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe336079626f2a1be7456486c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e336079626f2a1be7456486c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e336079626f2a1be7456486c', 'height': 160, 'width': 160}]",John Lennon,artist,spotify:artist:4x1nvY2FN8jxqAFA0DA02H,https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/6ahJYhrqYMyYK6xSNY02x1,6ahJYhrqYMyYK6xSNY02x1,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d574d7d3bc000d8088f55a15', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d574d7d3bc000d8088f55a15', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d574d7d3bc000d8088f55a15', 'height': 64, 'width': 64}]",Elton John Experience,artist,spotify:artist:6ahJYhrqYMyYK6xSNY02x1,https://open.spotify.com/artist/6ahJYhrqYMyYK6xSNY02x1
https://api.spotify.com/v1/artists/5cwANc87RyiNKHM46y1nPf,5cwANc87RyiNKHM46y1nPf,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2731c3e5bb47371828be0f34525', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e021c3e5bb47371828be0f34525', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048511c3e5bb47371828be0f34525', 'height': 64, 'width': 64}]",Elton John vs Pnau,artist,spotify:artist:5cwANc87RyiNKHM46y1nPf,https://open.spotify.com/artist/5cwANc87RyiNKHM46y1nPf
https://api.spotify.com/v1/artists/0JjPiLQNgAFaEkwoy56B1C,0JjPiLQNgAFaEkwoy56B1C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6f3ce257c8698bc2c38a3a48', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746f3ce257c8698bc2c38a3a48', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786f3ce257c8698bc2c38a3a48', 'height': 160, 'width': 160}]",L7NNON,artist,spotify:artist:0JjPiLQNgAFaEkwoy56B1C,https://open.spotify.com/artist/0JjPiLQNgAFaEkwoy56B1C
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/1UgcrqbAL1rpudJIOpTZw6,1UgcrqbAL1rpudJIOpTZw6,[],Elton John,artist,spotify:artist:1UgcrqbAL1rpudJIOpTZw6,https://open.spotify.com/artist/1UgcrqbAL1rpudJIOpTZw6
https://api.spotify.com/v1/artists/0GNq4xh8uFCyihPurnunf7,0GNq4xh8uFCyihPurnunf7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb2c3fe2657126650f27ccae6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b2c3fe2657126650f27ccae6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b2c3fe2657126650f27ccae6', 'height': 160, 'width': 160}]",Engenheiros Do Hawaii,artist,spotify:artist:0GNq4xh8uFCyihPurnunf7,https://open.spotify.com/artist/0GNq4xh8uFCyihPurnunf7
https://api.spotify.com/v1/artists/5Ze5mpdyoByBqsBdA41yIz,5Ze5mpdyoByBqsBdA41yIz,[],"Elton John, Hans Zimmer",artist,spotify:artist:5Ze5mpdyoByBqsBdA41yIz,https://open.spotify.com/artist/5Ze5mpdyoByBqsBdA41yIz
