href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,1zuJe6b1roixEKMOtyrEak,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22102415297132237b78829d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422102415297132237b78829d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822102415297132237b78829d', 'height': 160, 'width': 160}]",Tina Turner,artist,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,2SHhfs4BiDxGQ3oxqf0UHY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb347ca7e9f41f3ff8e2b19034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174347ca7e9f41f3ff8e2b19034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178347ca7e9f41f3ff8e2b19034', 'height': 160, 'width': 160}]",Roxette,artist,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://open.spotify.com/artist/2SHhfs4BiDxGQ3oxqf0UHY
https://api.spotify.com/v1/artists/0SD4eZCN4Kr0wQk56hCdh2,0SD4eZCN4Kr0wQk56hCdh2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4ca4431cf4b1227eba8288d8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744ca4431cf4b1227eba8288d8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784ca4431cf4b1227eba8288d8', 'height': 160, 'width': 160}]",Bonnie Tyler,artist,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,https://open.spotify.com/artist/0SD4eZCN4Kr0wQk56hCdh2
https://api.spotify.com/v1/artists/1ZikppG9dPedbIgMfnfx8k,1ZikppG9dPedbIgMfnfx8k,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735c0299c2c414e0f13bc5f972', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025c0299c2c414e0f13bc5f972', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515c0299c2c414e0f13bc5f972', 'height': 64, 'width': 64}]",Ike & Tina Turner,artist,spotify:artist:1ZikppG9dPedbIgMfnfx8k,https://open.spotify.com/artist/1ZikppG9dPedbIgMfnfx8k
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/1hTYd3P375rWQQfqguZisV,1hTYd3P375rWQQfqguZisV,[],Tina - The Tina Turner Musical Original London Cast,artist,spotify:artist:1hTYd3P375rWQQfqguZisV,https://open.spotify.com/artist/1hTYd3P375rWQQfqguZisV
https://api.spotify.com/v1/artists/5WLqdm01xNiarxqIaoPTKt,5WLqdm01xNiarxqIaoPTKt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbbc831c77a0ed6c09c9c04a7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bbc831c77a0ed6c09c9c04a7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bbc831c77a0ed6c09c9c04a7', 'height': 160, 'width': 160}]",Tina: The Tina Turner Musical Original London Company,artist,spotify:artist:5WLqdm01xNiarxqIaoPTKt,https://open.spotify.com/artist/5WLqdm01xNiarxqIaoPTKt
https://api.spotify.com/v1/artists/01hNDsIoA2BrQKesEgt372,01hNDsIoA2BrQKesEgt372,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273067599846f9109a8934993b7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02067599846f9109a8934993b7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851067599846f9109a8934993b7', 'height': 64, 'width': 64}]",Tina Turner's Kenny Moore,artist,spotify:artist:01hNDsIoA2BrQKesEgt372,https://open.spotify.com/artist/01hNDsIoA2BrQKesEgt372
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
