href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3MdG05syQeRYPPcClLaUGl,3MdG05syQeRYPPcClLaUGl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdb59e1c017a93648b119f0cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174db59e1c017a93648b119f0cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178db59e1c017a93648b119f0cc', 'height': 160, 'width': 160}]",Diana Ross,artist,spotify:artist:3MdG05syQeRYPPcClLaUGl,https://open.spotify.com/artist/3MdG05syQeRYPPcClLaUGl
https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,1zuJe6b1roixEKMOtyrEak,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22102415297132237b78829d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422102415297132237b78829d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822102415297132237b78829d', 'height': 160, 'width': 160}]",Tina Turner,artist,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://open.spotify.com/artist/1zuJe6b1roixEKMOtyrEak
https://api.spotify.com/v1/artists/6lmgdXpgLjBJjkQ63UwNpc,6lmgdXpgLjBJjkQ63UwNpc,[],Diana Ross & Marvin Gaye,artist,spotify:artist:6lmgdXpgLjBJjkQ63UwNpc,https://open.spotify.com/artist/6lmgdXpgLjBJjkQ63UwNpc
https://api.spotify.com/v1/artists/2eogQKWWoohI3BSnoG7E2U,2eogQKWWoohI3BSnoG7E2U,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9e708b5a9b76b98301d35123', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749e708b5a9b76b98301d35123', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789e708b5a9b76b98301d35123', 'height': 160, 'width': 160}]",Donna Summer,artist,spotify:artist:2eogQKWWoohI3BSnoG7E2U,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U
https://api.spotify.com/v1/artists/57bUPid8xztkieZfS7OlEV,57bUPid8xztkieZfS7OlEV,"[{'url': 'https://i.scdn.co/image/5c5dc3f7b4569a7727a63a44513c7a602b72da44', 'height': 1045, 'width': 704}, {'url': 'https://i.scdn.co/image/94d9da3ab43ce4cbf936d9bd7274038b35b71e84', 'height': 950, 'width': 640}, {'url': 'https://i.scdn.co/image/c5e572a61066a83d405ea7c1131ecf7a1b7d9193', 'height': 297, 'width': 200}, {'url': 'https://i.scdn.co/image/39ee3f75c834bf8bd807fe14ca5abecb476ceec7', 'height': 95, 'width': 64}]",The Supremes,artist,spotify:artist:57bUPid8xztkieZfS7OlEV,https://open.spotify.com/artist/57bUPid8xztkieZfS7OlEV
https://api.spotify.com/v1/artists/0rXI0q8Cahq6numvPlloaq,0rXI0q8Cahq6numvPlloaq,"[{'url': 'https://i.scdn.co/image/88bdc48ca59df15577c18d66c7ec9a3fdedf1666', 'height': 548, 'width': 527}, {'url': 'https://i.scdn.co/image/7fe9c1767ea5c0293b407734d60920a0388e48ce', 'height': 208, 'width': 200}, {'url': 'https://i.scdn.co/image/1780824d235ab507a90e903e0634de6c0858f693', 'height': 67, 'width': 64}]",Diana Ross & The Supremes,artist,spotify:artist:0rXI0q8Cahq6numvPlloaq,https://open.spotify.com/artist/0rXI0q8Cahq6numvPlloaq
https://api.spotify.com/v1/artists/5z1VAFwT35EVvCp1XlZZuL,5z1VAFwT35EVvCp1XlZZuL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd1bfc97e11bb4c1f90f287a6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d1bfc97e11bb4c1f90f287a6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d1bfc97e11bb4c1f90f287a6', 'height': 160, 'width': 160}]",Diana Krall,artist,spotify:artist:5z1VAFwT35EVvCp1XlZZuL,https://open.spotify.com/artist/5z1VAFwT35EVvCp1XlZZuL
https://api.spotify.com/v1/artists/0VrrQMGeZuVWmj4Rm2gfXv,0VrrQMGeZuVWmj4Rm2gfXv,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27344ac4dbffde151a0925c6054', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0244ac4dbffde151a0925c6054', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485144ac4dbffde151a0925c6054', 'height': 64, 'width': 64}]",Diana,artist,spotify:artist:0VrrQMGeZuVWmj4Rm2gfXv,https://open.spotify.com/artist/0VrrQMGeZuVWmj4Rm2gfXv
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/5dWqnAlXI9yA6X6VNkuP1i,5dWqnAlXI9yA6X6VNkuP1i,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734815147a0521c2ec4c5f5f7c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024815147a0521c2ec4c5f5f7c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514815147a0521c2ec4c5f5f7c', 'height': 64, 'width': 64}]",Диана Теркулова,artist,spotify:artist:5dWqnAlXI9yA6X6VNkuP1i,https://open.spotify.com/artist/5dWqnAlXI9yA6X6VNkuP1i
https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl,3gMaNLQm7D9MornNILzdSl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb002684808eb17d8b3645b57c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174002684808eb17d8b3645b57c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178002684808eb17d8b3645b57c', 'height': 160, 'width': 160}]",Lionel Richie,artist,spotify:artist:3gMaNLQm7D9MornNILzdSl,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl
