href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6fc460f10177fa38af69b8bf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746fc460f10177fa38af69b8bf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786fc460f10177fa38af69b8bf', 'height': 160, 'width': 160}]",Ray Charles,artist,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,https://open.spotify.com/artist/1eYhYunlNJlDoQhtYBvPsi
https://api.spotify.com/v1/artists/7GaxyUddsPok8BuhxN6OUW,7GaxyUddsPok8BuhxN6OUW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174158342aa8bb8a192c778f2a5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178158342aa8bb8a192c778f2a5', 'height': 160, 'width': 160}]",James Brown,artist,spotify:artist:7GaxyUddsPok8BuhxN6OUW,https://open.spotify.com/artist/7GaxyUddsPok8BuhxN6OUW
https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE,43ZHCT0cAZBISjO8DG9PnE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749a93e273380982dff84c0d7c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789a93e273380982dff84c0d7c', 'height': 160, 'width': 160}]",Elvis Presley,artist,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE
https://api.spotify.com/v1/artists/5xLSa7l4IV1gsQfhAMvl0U,5xLSa7l4IV1gsQfhAMvl0U,"[{'url': 'https://i.scdn.co/image/ffb3ff26238fe635a230bb0feb59dd0a5b209b6f', 'height': 1259, 'width': 1000}, {'url': 'https://i.scdn.co/image/7e53bec2f958fa7fd1868124a0897cb0d08b60ee', 'height': 806, 'width': 640}, {'url': 'https://i.scdn.co/image/8b4bbc1e769cc1cf78a6a369f3a8b0026631eb96', 'height': 252, 'width': 200}, {'url': 'https://i.scdn.co/image/56746f2b047d78df56f077a02bf6720858d50454', 'height': 81, 'width': 64}]",B.B. King,artist,spotify:artist:5xLSa7l4IV1gsQfhAMvl0U,https://open.spotify.com/artist/5xLSa7l4IV1gsQfhAMvl0U
https://api.spotify.com/v1/artists/7guDJrEfX3qb6FEbdPA5qi,7guDJrEfX3qb6FEbdPA5qi,"[{'url': 'https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108', 'height': 1008, 'width': 1000}, {'url': 'https://i.scdn.co/image/37c7875911b1d8195b05d40061a86bd01908a0d9', 'height': 645, 'width': 640}, {'url': 'https://i.scdn.co/image/3b24b51bf11404089c4d66acd0c612539c77e7e7', 'height': 202, 'width': 200}, {'url': 'https://i.scdn.co/image/05489744160e3f6f94f707fa1e2a6d4bbd14a298', 'height': 64, 'width': 64}]",Stevie Wonder,artist,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi
https://api.spotify.com/v1/artists/0X0MmqVfsXxjIUWfHXdIkS,0X0MmqVfsXxjIUWfHXdIkS,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fa43a45f1fbcca51c8c80885', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fa43a45f1fbcca51c8c80885', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fa43a45f1fbcca51c8c80885', 'height': 64, 'width': 64}]",Ray Charles & Friends,artist,spotify:artist:0X0MmqVfsXxjIUWfHXdIkS,https://open.spotify.com/artist/0X0MmqVfsXxjIUWfHXdIkS
https://api.spotify.com/v1/artists/2FbG2PIAVFvzszwgz2QuOL,2FbG2PIAVFvzszwgz2QuOL,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a31320f0bcd1da1007d3e034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a31320f0bcd1da1007d3e034', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a31320f0bcd1da1007d3e034', 'height': 64, 'width': 64}]",The Ray Charles Singers,artist,spotify:artist:2FbG2PIAVFvzszwgz2QuOL,https://open.spotify.com/artist/2FbG2PIAVFvzszwgz2QuOL
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/3w2I7PA6Gx8aD6IZMBJP20,3w2I7PA6Gx8aD6IZMBJP20,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb90fa0d6912ce854da4e168af', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517490fa0d6912ce854da4e168af', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17890fa0d6912ce854da4e168af', 'height': 160, 'width': 160}]",Charles Daisey & Friends,artist,spotify:artist:3w2I7PA6Gx8aD6IZMBJP20,https://open.spotify.com/artist/3w2I7PA6Gx8aD6IZMBJP20
https://api.spotify.com/v1/artists/19eLuQmk9aCobbVDHc6eek,19eLuQmk9aCobbVDHc6eek,"[{'url': 'https://i.scdn.co/image/ab6772690000c46c53b6519baafe8f4d6135453e', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd2253b6519baafe8f4d6135453e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac353b6519baafe8f4d6135453e', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f7453b6519baafe8f4d6135453e', 'height': 64, 'width': 64}]",Louis Armstrong,artist,spotify:artist:19eLuQmk9aCobbVDHc6eek,https://open.spotify.com/artist/19eLuQmk9aCobbVDHc6eek
https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f12270128127ba170f90097d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f12270128127ba170f90097d', 'height': 160, 'width': 160}]",Aretha Franklin,artist,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok
https://api.spotify.com/v1/artists/1Mxqyy3pSjf8kZZL4QVxS0,1Mxqyy3pSjf8kZZL4QVxS0,"[{'url': 'https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411', 'height': 650, 'width': 999}, {'url': 'https://i.scdn.co/image/883de3e492364891543bc0313ffe516626778a16', 'height': 416, 'width': 640}, {'url': 'https://i.scdn.co/image/810f29651e05c9eae5a31f8151c2e05dc46390f9', 'height': 130, 'width': 200}, {'url': 'https://i.scdn.co/image/a283ecdc6252ae305c53d283846cae2e8b22e94c', 'height': 42, 'width': 64}]",Frank Sinatra,artist,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0
https://api.spotify.com/v1/artists/7LfRnzGM0wRSyS5mmAwJbv,7LfRnzGM0wRSyS5mmAwJbv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb79bf6d80fe0e16c1169dd361', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517479bf6d80fe0e16c1169dd361', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17879bf6d80fe0e16c1169dd361', 'height': 160, 'width': 160}]",Ray Conniff,artist,spotify:artist:7LfRnzGM0wRSyS5mmAwJbv,https://open.spotify.com/artist/7LfRnzGM0wRSyS5mmAwJbv
https://api.spotify.com/v1/artists/6CNbrGMS5Y3UVnYOhNAmDw,6CNbrGMS5Y3UVnYOhNAmDw,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730204270c9da3afeeb9a787f8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020204270c9da3afeeb9a787f8', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510204270c9da3afeeb9a787f8', 'height': 64, 'width': 64}]",Ray Charles Orchestra,artist,spotify:artist:6CNbrGMS5Y3UVnYOhNAmDw,https://open.spotify.com/artist/6CNbrGMS5Y3UVnYOhNAmDw
https://api.spotify.com/v1/artists/44AItsYL3hIh0Oglfz8YGA,44AItsYL3hIh0Oglfz8YGA,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273cf237ff195308a94e9dc8754', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02cf237ff195308a94e9dc8754', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851cf237ff195308a94e9dc8754', 'height': 64, 'width': 64}]",Ray Charles & Betty Carter,artist,spotify:artist:44AItsYL3hIh0Oglfz8YGA,https://open.spotify.com/artist/44AItsYL3hIh0Oglfz8YGA
https://api.spotify.com/v1/artists/3pO5VjZ4wOHCMBXOvbMISG,3pO5VjZ4wOHCMBXOvbMISG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb18561c395151b4ab0e3c17ee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517418561c395151b4ab0e3c17ee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17818561c395151b4ab0e3c17ee', 'height': 160, 'width': 160}]",Antônio Carlos Jobim,artist,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
https://api.spotify.com/v1/artists/559vxOLTzlAv0zB77JMcdG,559vxOLTzlAv0zB77JMcdG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebddf1217b512aecab728c41ab', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ddf1217b512aecab728c41ab', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ddf1217b512aecab728c41ab', 'height': 160, 'width': 160}]",Alceu Valença,artist,spotify:artist:559vxOLTzlAv0zB77JMcdG,https://open.spotify.com/artist/559vxOLTzlAv0zB77JMcdG
https://api.spotify.com/v1/artists/1BAD609nnoTIeDUHJt9kIh,1BAD609nnoTIeDUHJt9kIh,[],Charles Ray,artist,spotify:artist:1BAD609nnoTIeDUHJt9kIh,https://open.spotify.com/artist/1BAD609nnoTIeDUHJt9kIh
