href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR,6Q192DXotxtaysaqNPy5yR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742ceb023b10da17590878e88c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782ceb023b10da17590878e88c', 'height': 160, 'width': 160}]",Amy Winehouse,artist,spotify:artist:6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/7IccIdDmlleAXdOiVz5CHC,7IccIdDmlleAXdOiVz5CHC,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27344b1756f491ce9af83938987', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0244b1756f491ce9af83938987', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485144b1756f491ce9af83938987', 'height': 64, 'width': 64}]",Amy Winehouse Tribute Band,artist,spotify:artist:7IccIdDmlleAXdOiVz5CHC,https://open.spotify.com/artist/7IccIdDmlleAXdOiVz5CHC
https://api.spotify.com/v1/artists/4NgfOZCL9Ml67xzM0xzIvC,4NgfOZCL9Ml67xzM0xzIvC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbf0ee2c099003f6886e4da0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bf0ee2c099003f6886e4da0c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bf0ee2c099003f6886e4da0c', 'height': 160, 'width': 160}]",Janis Joplin,artist,spotify:artist:4NgfOZCL9Ml67xzM0xzIvC,https://open.spotify.com/artist/4NgfOZCL9Ml67xzM0xzIvC
https://api.spotify.com/v1/artists/78nr1pVnDR7qZH6QbVMYZf,78nr1pVnDR7qZH6QbVMYZf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebca03bdb105d972069aea55d4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ca03bdb105d972069aea55d4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ca03bdb105d972069aea55d4', 'height': 160, 'width': 160}]",Baco Exu do Blues,artist,spotify:artist:78nr1pVnDR7qZH6QbVMYZf,https://open.spotify.com/artist/78nr1pVnDR7qZH6QbVMYZf
https://api.spotify.com/v1/artists/1NNc1j0ZR5IqdF7wan17k2,1NNc1j0ZR5IqdF7wan17k2,[],Made famous by Amy Winehouse,artist,spotify:artist:1NNc1j0ZR5IqdF7wan17k2,https://open.spotify.com/artist/1NNc1j0ZR5IqdF7wan17k2
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/7dXzPojnnptNbXJ63QDByZ,7dXzPojnnptNbXJ63QDByZ,[],"Jools Holland, Amy Winehouse and Paul Weller",artist,spotify:artist:7dXzPojnnptNbXJ63QDByZ,https://open.spotify.com/artist/7dXzPojnnptNbXJ63QDByZ
https://api.spotify.com/v1/artists/1YOVBTvznjiDvtAj4ExHeo,1YOVBTvznjiDvtAj4ExHeo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0174a39f64d6da8dc3d821e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740174a39f64d6da8dc3d821e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780174a39f64d6da8dc3d821e7', 'height': 160, 'width': 160}]",BK,artist,spotify:artist:1YOVBTvznjiDvtAj4ExHeo,https://open.spotify.com/artist/1YOVBTvznjiDvtAj4ExHeo
https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,5WUlDfRSoLAfcVSX1WnrxN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc1806f0a2f6c9e449de9d3c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc1806f0a2f6c9e449de9d3c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc1806f0a2f6c9e449de9d3c', 'height': 160, 'width': 160}]",Sia,artist,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
https://api.spotify.com/v1/artists/0rSTXALHu0EKAawPLBdODH,0rSTXALHu0EKAawPLBdODH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf680c991c829899faf1283c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df680c991c829899faf1283c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df680c991c829899faf1283c', 'height': 160, 'width': 160}]",Marisa Monte,artist,spotify:artist:0rSTXALHu0EKAawPLBdODH,https://open.spotify.com/artist/0rSTXALHu0EKAawPLBdODH
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/4PhdYoQGH8s1xee81dqQOO,4PhdYoQGH8s1xee81dqQOO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb764999c0589ff0cb6eedc4f1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174764999c0589ff0cb6eedc4f1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178764999c0589ff0cb6eedc4f1', 'height': 160, 'width': 160}]",Natiruts,artist,spotify:artist:4PhdYoQGH8s1xee81dqQOO,https://open.spotify.com/artist/4PhdYoQGH8s1xee81dqQOO
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/2O6q06oNcmOIPg1qidSU3C,2O6q06oNcmOIPg1qidSU3C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe217d4439fd9951184118cdf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e217d4439fd9951184118cdf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e217d4439fd9951184118cdf', 'height': 160, 'width': 160}]",Liniker,artist,spotify:artist:2O6q06oNcmOIPg1qidSU3C,https://open.spotify.com/artist/2O6q06oNcmOIPg1qidSU3C
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/6uYrXgVHctAJtIdSODcyLJ,6uYrXgVHctAJtIdSODcyLJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3f0c6b68f45a8f1111b5f742', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743f0c6b68f45a8f1111b5f742', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783f0c6b68f45a8f1111b5f742', 'height': 160, 'width': 160}]",Melim,artist,spotify:artist:6uYrXgVHctAJtIdSODcyLJ,https://open.spotify.com/artist/6uYrXgVHctAJtIdSODcyLJ
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
