href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ee3123e593174208f9754fab', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ee3123e593174208f9754fab', 'height': 160, 'width': 160}]",Frank Ocean,artist,spotify:artist:2h93pZq0e7k5yf4dywlkpM,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM
https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF,4V8LLVI7PbaPR0K2TGSxFF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df2728294ff77dd11eeb18fb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df2728294ff77dd11eeb18fb', 'height': 160, 'width': 160}]","Tyler, The Creator",artist,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF
https://api.spotify.com/v1/artists/20wkVLutqVOYrc0kxFs7rA,20wkVLutqVOYrc0kxFs7rA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe4d94f7cbebb17504c25d419', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e4d94f7cbebb17504c25d419', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e4d94f7cbebb17504c25d419', 'height': 160, 'width': 160}]",Daniel Caesar,artist,spotify:artist:20wkVLutqVOYrc0kxFs7rA,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA
https://api.spotify.com/v1/artists/1Mxqyy3pSjf8kZZL4QVxS0,1Mxqyy3pSjf8kZZL4QVxS0,"[{'url': 'https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411', 'height': 650, 'width': 999}, {'url': 'https://i.scdn.co/image/883de3e492364891543bc0313ffe516626778a16', 'height': 416, 'width': 640}, {'url': 'https://i.scdn.co/image/810f29651e05c9eae5a31f8151c2e05dc46390f9', 'height': 130, 'width': 200}, {'url': 'https://i.scdn.co/image/a283ecdc6252ae305c53d283846cae2e8b22e94c', 'height': 42, 'width': 64}]",Frank Sinatra,artist,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0
https://api.spotify.com/v1/artists/1YOVBTvznjiDvtAj4ExHeo,1YOVBTvznjiDvtAj4ExHeo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0174a39f64d6da8dc3d821e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740174a39f64d6da8dc3d821e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780174a39f64d6da8dc3d821e7', 'height': 160, 'width': 160}]",BK,artist,spotify:artist:1YOVBTvznjiDvtAj4ExHeo,https://open.spotify.com/artist/1YOVBTvznjiDvtAj4ExHeo
https://api.spotify.com/v1/artists/5nP8x4uEFjAAmDzwOEc9b8,5nP8x4uEFjAAmDzwOEc9b8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb383a90d1849dfb7f0c11d809', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174383a90d1849dfb7f0c11d809', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178383a90d1849dfb7f0c11d809', 'height': 160, 'width': 160}]",Matuê,artist,spotify:artist:5nP8x4uEFjAAmDzwOEc9b8,https://open.spotify.com/artist/5nP8x4uEFjAAmDzwOEc9b8
https://api.spotify.com/v1/artists/3MrDVzg7ZXaYMyQmbDInr7,3MrDVzg7ZXaYMyQmbDInr7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1ca68400cf58bd351509d5ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741ca68400cf58bd351509d5ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781ca68400cf58bd351509d5ac', 'height': 160, 'width': 160}]",WIU,artist,spotify:artist:3MrDVzg7ZXaYMyQmbDInr7,https://open.spotify.com/artist/3MrDVzg7ZXaYMyQmbDInr7
https://api.spotify.com/v1/artists/4RpWzrMf3lmcGxpyhOeBOc,4RpWzrMf3lmcGxpyhOeBOc,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738c00cc920dbc5e1dad5a136f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028c00cc920dbc5e1dad5a136f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518c00cc920dbc5e1dad5a136f', 'height': 64, 'width': 64}]",Frank Ocean (IT),artist,spotify:artist:4RpWzrMf3lmcGxpyhOeBOc,https://open.spotify.com/artist/4RpWzrMf3lmcGxpyhOeBOc
https://api.spotify.com/v1/artists/1OHetTMXYBFIaq6zIASyoj,1OHetTMXYBFIaq6zIASyoj,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2731e71fa203822574ad38eb4ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e021e71fa203822574ad38eb4ac', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048511e71fa203822574ad38eb4ac', 'height': 64, 'width': 64}]",Océane Franck,artist,spotify:artist:1OHetTMXYBFIaq6zIASyoj,https://open.spotify.com/artist/1OHetTMXYBFIaq6zIASyoj
https://api.spotify.com/v1/artists/05Sw8SIex1DsZTZN3SpVUl,05Sw8SIex1DsZTZN3SpVUl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5d6df8e6421ffebaeb92d773', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745d6df8e6421ffebaeb92d773', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785d6df8e6421ffebaeb92d773', 'height': 160, 'width': 160}]",Frank Ceara,artist,spotify:artist:05Sw8SIex1DsZTZN3SpVUl,https://open.spotify.com/artist/05Sw8SIex1DsZTZN3SpVUl
