href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6ueGR6SWhUJfvEhqkvMsVs,6ueGR6SWhUJfvEhqkvMsVs,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebed797a18cbed9bf0ef9549d0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ed797a18cbed9bf0ef9549d0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ed797a18cbed9bf0ef9549d0', 'height': 160, 'width': 160}]",Janelle Monáe,artist,spotify:artist:6ueGR6SWhUJfvEhqkvMsVs,https://open.spotify.com/artist/6ueGR6SWhUJfvEhqkvMsVs
https://api.spotify.com/v1/artists/092UnfxOat8LTXyhKlVvVU,092UnfxOat8LTXyhKlVvVU,[],"Funn Feat,Janelle Monae",artist,spotify:artist:092UnfxOat8LTXyhKlVvVU,https://open.spotify.com/artist/092UnfxOat8LTXyhKlVvVU
https://api.spotify.com/v1/artists/5nCi3BB41mBaMH9gfr6Su0,5nCi3BB41mBaMH9gfr6Su0,"[{'url': 'https://i.scdn.co/image/37bc85c957e17d3463ae40da1c8ade6bb5ecd546', 'height': 563, 'width': 1000}, {'url': 'https://i.scdn.co/image/876de0e2ae7910ee6ad6b3dee6e1408e8d83a207', 'height': 360, 'width': 640}, {'url': 'https://i.scdn.co/image/25eee8e9db00a929448c32f67c7e158b53488979', 'height': 113, 'width': 200}, {'url': 'https://i.scdn.co/image/3b24a69ed9c20a9a899d328b7aefc3750e4c712f', 'height': 36, 'width': 64}]",fun.,artist,spotify:artist:5nCi3BB41mBaMH9gfr6Su0,https://open.spotify.com/artist/5nCi3BB41mBaMH9gfr6Su0
https://api.spotify.com/v1/artists/4ntC3LouVOQVXZA94AUsA0,4ntC3LouVOQVXZA94AUsA0,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27336774cc543282071dcdcf61a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0236774cc543282071dcdcf61a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485136774cc543282071dcdcf61a', 'height': 64, 'width': 64}]","Cee-Lo Green, Brendon Urie, Patrick Stump, Janelle Monae, & Travis McCoy",artist,spotify:artist:4ntC3LouVOQVXZA94AUsA0,https://open.spotify.com/artist/4ntC3LouVOQVXZA94AUsA0
https://api.spotify.com/v1/artists/3zgnrYIltMkgeejmvMCnes,3zgnrYIltMkgeejmvMCnes,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaf2407b0e9f5597806a66f2f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174af2407b0e9f5597806a66f2f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178af2407b0e9f5597806a66f2f', 'height': 160, 'width': 160}]",IZA,artist,spotify:artist:3zgnrYIltMkgeejmvMCnes,https://open.spotify.com/artist/3zgnrYIltMkgeejmvMCnes
https://api.spotify.com/v1/artists/59FrDXDVJz0EKqYg39dnT2,59FrDXDVJz0EKqYg39dnT2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4bed49b3a6321d7a2097ace', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4bed49b3a6321d7a2097ace', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4bed49b3a6321d7a2097ace', 'height': 160, 'width': 160}]",Jão,artist,spotify:artist:59FrDXDVJz0EKqYg39dnT2,https://open.spotify.com/artist/59FrDXDVJz0EKqYg39dnT2
https://api.spotify.com/v1/artists/1uf8uSErmKc3JVtmjVBZ83,1uf8uSErmKc3JVtmjVBZ83,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfbfbb1fbe3dd682a67e560dd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fbfbb1fbe3dd682a67e560dd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fbfbb1fbe3dd682a67e560dd', 'height': 160, 'width': 160}]",Azzy,artist,spotify:artist:1uf8uSErmKc3JVtmjVBZ83,https://open.spotify.com/artist/1uf8uSErmKc3JVtmjVBZ83
https://api.spotify.com/v1/artists/6uYrXgVHctAJtIdSODcyLJ,6uYrXgVHctAJtIdSODcyLJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3f0c6b68f45a8f1111b5f742', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743f0c6b68f45a8f1111b5f742', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783f0c6b68f45a8f1111b5f742', 'height': 160, 'width': 160}]",Melim,artist,spotify:artist:6uYrXgVHctAJtIdSODcyLJ,https://open.spotify.com/artist/6uYrXgVHctAJtIdSODcyLJ
https://api.spotify.com/v1/artists/0slVGXBggrLglTLNKbeEyW,0slVGXBggrLglTLNKbeEyW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7e0f313f718701f5f9659529', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747e0f313f718701f5f9659529', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787e0f313f718701f5f9659529', 'height': 160, 'width': 160}]",Rubel,artist,spotify:artist:0slVGXBggrLglTLNKbeEyW,https://open.spotify.com/artist/0slVGXBggrLglTLNKbeEyW
https://api.spotify.com/v1/artists/7qPLO2XOUaRrRxkvLZ3AEK,7qPLO2XOUaRrRxkvLZ3AEK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb137b8cd1a9111f3b8819cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b137b8cd1a9111f3b8819cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b137b8cd1a9111f3b8819cc7', 'height': 160, 'width': 160}]",Zeeba,artist,spotify:artist:7qPLO2XOUaRrRxkvLZ3AEK,https://open.spotify.com/artist/7qPLO2XOUaRrRxkvLZ3AEK
https://api.spotify.com/v1/artists/3Y7RZ31TRPVadSFVy1o8os,3Y7RZ31TRPVadSFVy1o8os,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174417db49cde3ed1c5a65e3514', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178417db49cde3ed1c5a65e3514', 'height': 160, 'width': 160}]",H.E.R.,artist,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os
https://api.spotify.com/v1/artists/48L62vfIzemLRdkT35IeqH,48L62vfIzemLRdkT35IeqH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb25b21fad5651a50d447133a4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517425b21fad5651a50d447133a4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17825b21fad5651a50d447133a4', 'height': 160, 'width': 160}]",Camila Zasoul,artist,spotify:artist:48L62vfIzemLRdkT35IeqH,https://open.spotify.com/artist/48L62vfIzemLRdkT35IeqH
https://api.spotify.com/v1/artists/5rTjH3aABAmPM5B6DZebZ7,5rTjH3aABAmPM5B6DZebZ7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc3198c20d9d0b83e2cb28fc0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c3198c20d9d0b83e2cb28fc0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c3198c20d9d0b83e2cb28fc0', 'height': 160, 'width': 160}]",Tiê,artist,spotify:artist:5rTjH3aABAmPM5B6DZebZ7,https://open.spotify.com/artist/5rTjH3aABAmPM5B6DZebZ7
https://api.spotify.com/v1/artists/7a7n9ka0Mnevq19mOU8tcW,7a7n9ka0Mnevq19mOU8tcW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3c1a39189adcf2b96f80382e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743c1a39189adcf2b96f80382e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783c1a39189adcf2b96f80382e', 'height': 160, 'width': 160}]",Melly,artist,spotify:artist:7a7n9ka0Mnevq19mOU8tcW,https://open.spotify.com/artist/7a7n9ka0Mnevq19mOU8tcW
https://api.spotify.com/v1/artists/0TeVa4xdLB8vdzjsvKH6Ri,0TeVa4xdLB8vdzjsvKH6Ri,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb11f100b42851d00418bf28de', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517411f100b42851d00418bf28de', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17811f100b42851d00418bf28de', 'height': 160, 'width': 160}]",Anahí,artist,spotify:artist:0TeVa4xdLB8vdzjsvKH6Ri,https://open.spotify.com/artist/0TeVa4xdLB8vdzjsvKH6Ri
