href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc1719ac9e6a75c1c25835018', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c1719ac9e6a75c1c25835018', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c1719ac9e6a75c1c25835018', 'height': 160, 'width': 160}]",The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746725802588d7dc1aba076ca5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5', 'height': 160, 'width': 160}]",Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
https://api.spotify.com/v1/artists/4YqwRbMLqGHRHLS1w2ZKse,4YqwRbMLqGHRHLS1w2ZKse,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfe8a6cb29ef8acc97e6bb3b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fe8a6cb29ef8acc97e6bb3b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fe8a6cb29ef8acc97e6bb3b1', 'height': 160, 'width': 160}]",Veigh,artist,spotify:artist:4YqwRbMLqGHRHLS1w2ZKse,https://open.spotify.com/artist/4YqwRbMLqGHRHLS1w2ZKse
https://api.spotify.com/v1/artists/5nP8x4uEFjAAmDzwOEc9b8,5nP8x4uEFjAAmDzwOEc9b8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb383a90d1849dfb7f0c11d809', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174383a90d1849dfb7f0c11d809', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178383a90d1849dfb7f0c11d809', 'height': 160, 'width': 160}]",Matuê,artist,spotify:artist:5nP8x4uEFjAAmDzwOEc9b8,https://open.spotify.com/artist/5nP8x4uEFjAAmDzwOEc9b8
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/26oB7Yx5a2Bzl7ha3RFg6z,26oB7Yx5a2Bzl7ha3RFg6z,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c6964a9c6d35bf7109641047', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c6964a9c6d35bf7109641047', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c6964a9c6d35bf7109641047', 'height': 64, 'width': 64}]",The Weakend,artist,spotify:artist:26oB7Yx5a2Bzl7ha3RFg6z,https://open.spotify.com/artist/26oB7Yx5a2Bzl7ha3RFg6z
https://api.spotify.com/v1/artists/3Z73qbDrey1ubsAofhOoz6,3Z73qbDrey1ubsAofhOoz6,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736f4ca09fc016d52fab84f5cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026f4ca09fc016d52fab84f5cc', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516f4ca09fc016d52fab84f5cc', 'height': 64, 'width': 64}]",Weekend,artist,spotify:artist:3Z73qbDrey1ubsAofhOoz6,https://open.spotify.com/artist/3Z73qbDrey1ubsAofhOoz6
https://api.spotify.com/v1/artists/47W6ruOhrSFh4DLtBednlf,47W6ruOhrSFh4DLtBednlf,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738aa97797f66c689db20f7df5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028aa97797f66c689db20f7df5', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518aa97797f66c689db20f7df5', 'height': 64, 'width': 64}]",The Weekkm,artist,spotify:artist:47W6ruOhrSFh4DLtBednlf,https://open.spotify.com/artist/47W6ruOhrSFh4DLtBednlf
https://api.spotify.com/v1/artists/4hX2FJqqKfTHzSL5kQYa0O,4hX2FJqqKfTHzSL5kQYa0O,[],The Weeknd´s,artist,spotify:artist:4hX2FJqqKfTHzSL5kQYa0O,https://open.spotify.com/artist/4hX2FJqqKfTHzSL5kQYa0O
https://api.spotify.com/v1/artists/1YOVBTvznjiDvtAj4ExHeo,1YOVBTvznjiDvtAj4ExHeo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0174a39f64d6da8dc3d821e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740174a39f64d6da8dc3d821e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780174a39f64d6da8dc3d821e7', 'height': 160, 'width': 160}]",BK,artist,spotify:artist:1YOVBTvznjiDvtAj4ExHeo,https://open.spotify.com/artist/1YOVBTvznjiDvtAj4ExHeo
https://api.spotify.com/v1/artists/1kwhrI1fzyknmven9w4F8L,1kwhrI1fzyknmven9w4F8L,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732f084992d1c4f2fd17a84e5a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e022f084992d1c4f2fd17a84e5a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512f084992d1c4f2fd17a84e5a', 'height': 64, 'width': 64}]",The Weeknd Brasileiro,artist,spotify:artist:1kwhrI1fzyknmven9w4F8L,https://open.spotify.com/artist/1kwhrI1fzyknmven9w4F8L
https://api.spotify.com/v1/artists/4yGgbQJMq9orWypwqtdzYT,4yGgbQJMq9orWypwqtdzYT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb103e2b2ae3960b860ba4b1df', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174103e2b2ae3960b860ba4b1df', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178103e2b2ae3960b860ba4b1df', 'height': 160, 'width': 160}]",Oruam,artist,spotify:artist:4yGgbQJMq9orWypwqtdzYT,https://open.spotify.com/artist/4yGgbQJMq9orWypwqtdzYT
https://api.spotify.com/v1/artists/3MrDVzg7ZXaYMyQmbDInr7,3MrDVzg7ZXaYMyQmbDInr7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1ca68400cf58bd351509d5ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741ca68400cf58bd351509d5ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781ca68400cf58bd351509d5ac', 'height': 160, 'width': 160}]",WIU,artist,spotify:artist:3MrDVzg7ZXaYMyQmbDInr7,https://open.spotify.com/artist/3MrDVzg7ZXaYMyQmbDInr7
https://api.spotify.com/v1/artists/2q9wk5fkeU2C9CgCKdh4AN,2q9wk5fkeU2C9CgCKdh4AN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3ad13d28eee1e6d4c5283d93', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743ad13d28eee1e6d4c5283d93', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783ad13d28eee1e6d4c5283d93', 'height': 160, 'width': 160}]",Mc IG,artist,spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,https://open.spotify.com/artist/2q9wk5fkeU2C9CgCKdh4AN
https://api.spotify.com/v1/artists/7kf9gbYtxTmv1XZq6Buz8O,7kf9gbYtxTmv1XZq6Buz8O,[],THE WEEKEND,artist,spotify:artist:7kf9gbYtxTmv1XZq6Buz8O,https://open.spotify.com/artist/7kf9gbYtxTmv1XZq6Buz8O
