href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe309f8c3056a59f20d0968ca', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e309f8c3056a59f20d0968ca', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e309f8c3056a59f20d0968ca', 'height': 160, 'width': 160}]",Harry Styles,artist,spotify:artist:6KImCVD70vtIoJWnq6nGn3,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq,"[{'url': 'https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/289c7f686f5b78ceeb224453cf9a15697a678a79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/45741ba38b51130bb96e00c0e24d17ba311a9293', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/6c89c662ad0ab75bc2af9a3ae2b16f811daced50', 'height': 64, 'width': 64}]",One Direction,artist,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq
https://api.spotify.com/v1/artists/5ZsFI1h6hIdQRw2ti0hz81,5ZsFI1h6hIdQRw2ti0hz81,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb830845d2fa6c5c7874176951', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174830845d2fa6c5c7874176951', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178830845d2fa6c5c7874176951', 'height': 160, 'width': 160}]",ZAYN,artist,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81
https://api.spotify.com/v1/artists/57WHJIHrjOE3iAxpihhMnp,57WHJIHrjOE3iAxpihhMnp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc39e1d45f466dd9f7d3411a3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c39e1d45f466dd9f7d3411a3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c39e1d45f466dd9f7d3411a3', 'height': 160, 'width': 160}]",Louis Tomlinson,artist,spotify:artist:57WHJIHrjOE3iAxpihhMnp,https://open.spotify.com/artist/57WHJIHrjOE3iAxpihhMnp
https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f80ec63ea7a0ef0fba60957d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f80ec63ea7a0ef0fba60957d', 'height': 160, 'width': 160}]",BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
https://api.spotify.com/v1/artists/6EItPsI3ywBU7hQ1TBQQZI,6EItPsI3ywBU7hQ1TBQQZI,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fbf2c35f9966aeea1abfece8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fbf2c35f9966aeea1abfece8', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fbf2c35f9966aeea1abfece8', 'height': 64, 'width': 64}]",Harry Styles Piano Cover,artist,spotify:artist:6EItPsI3ywBU7hQ1TBQQZI,https://open.spotify.com/artist/6EItPsI3ywBU7hQ1TBQQZI
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/3p7PcrEHaaKLJnPUGOtRlT,3p7PcrEHaaKLJnPUGOtRlT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517430f0dc81183daaee971c2601', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17830f0dc81183daaee971c2601', 'height': 160, 'width': 160}]",Henrique & Juliano,artist,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/artist/3p7PcrEHaaKLJnPUGOtRlT
https://api.spotify.com/v1/artists/1cyRDaqmgGRqWjU8jTCATt,1cyRDaqmgGRqWjU8jTCATt,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27348cc8e0b4e10105ef1a6700e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0248cc8e0b4e10105ef1a6700e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485148cc8e0b4e10105ef1a6700e', 'height': 64, 'width': 64}]",Harry Styles - Piano Covers,artist,spotify:artist:1cyRDaqmgGRqWjU8jTCATt,https://open.spotify.com/artist/1cyRDaqmgGRqWjU8jTCATt
https://api.spotify.com/v1/artists/6hkRFVWtQjpsmw7ejtr7uY,6hkRFVWtQjpsmw7ejtr7uY,[],Harry Edward Styles,artist,spotify:artist:6hkRFVWtQjpsmw7ejtr7uY,https://open.spotify.com/artist/6hkRFVWtQjpsmw7ejtr7uY
