href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da', 'height': 160, 'width': 160}]",Billie Eilish,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478e45cfa4697ce3c437cb455', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878e45cfa4697ce3c437cb455', 'height': 160, 'width': 160}]",Sabrina Carpenter,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG,1McMsnEElThX1knmY4oliG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe654806251e2661def1f4e65', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e654806251e2661def1f4e65', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e654806251e2661def1f4e65', 'height': 160, 'width': 160}]",Olivia Rodrigo,artist,spotify:artist:1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/4PzYKhC14sTJNEr0dzoo0d,4PzYKhC14sTJNEr0dzoo0d,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3d765e372734cc9938527e98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743d765e372734cc9938527e98', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783d765e372734cc9938527e98', 'height': 160, 'width': 160}]",Luísa Sonza,artist,spotify:artist:4PzYKhC14sTJNEr0dzoo0d,https://open.spotify.com/artist/4PzYKhC14sTJNEr0dzoo0d
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/59jPhW2wDr8cRGuZs6BItr,59jPhW2wDr8cRGuZs6BItr,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273e062064f339d499a3cc83cc3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02e062064f339d499a3cc83cc3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e062064f339d499a3cc83cc3', 'height': 64, 'width': 64}]",Billie Eilish O'Connell,artist,spotify:artist:59jPhW2wDr8cRGuZs6BItr,https://open.spotify.com/artist/59jPhW2wDr8cRGuZs6BItr
https://api.spotify.com/v1/artists/0UIQNwCkrMcYwLSmOirKHh,0UIQNwCkrMcYwLSmOirKHh,[],Billie Eilish O'Connell and Finneas Baird O'Connell,artist,spotify:artist:0UIQNwCkrMcYwLSmOirKHh,https://open.spotify.com/artist/0UIQNwCkrMcYwLSmOirKHh
https://api.spotify.com/v1/artists/0KegS22lAoE6D1qHU6RgAJ,0KegS22lAoE6D1qHU6RgAJ,[],Billie Eilish O’Connell,artist,spotify:artist:0KegS22lAoE6D1qHU6RgAJ,https://open.spotify.com/artist/0KegS22lAoE6D1qHU6RgAJ
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b99cacf8acd5378206767261', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b99cacf8acd5378206767261', 'height': 160, 'width': 160}]",Lana Del Rey,artist,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc1719ac9e6a75c1c25835018', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c1719ac9e6a75c1c25835018', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c1719ac9e6a75c1c25835018', 'height': 160, 'width': 160}]",The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746725802588d7dc1aba076ca5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5', 'height': 160, 'width': 160}]",Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
https://api.spotify.com/v1/artists/4L96BPgCbMP3ZELz2925UD,4L96BPgCbMP3ZELz2925UD,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730e9006cf6f0dbaa4bb338d1b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020e9006cf6f0dbaa4bb338d1b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510e9006cf6f0dbaa4bb338d1b', 'height': 64, 'width': 64}]",Billie Eilish O’conell,artist,spotify:artist:4L96BPgCbMP3ZELz2925UD,https://open.spotify.com/artist/4L96BPgCbMP3ZELz2925UD
https://api.spotify.com/v1/artists/2CKOmarVWvWqkNWUatHCex,2CKOmarVWvWqkNWUatHCex,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb893d346288179a0ba471acc9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174893d346288179a0ba471acc9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178893d346288179a0ba471acc9', 'height': 160, 'width': 160}]",Ana Castela,artist,spotify:artist:2CKOmarVWvWqkNWUatHCex,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex
https://api.spotify.com/v1/artists/5nP8x4uEFjAAmDzwOEc9b8,5nP8x4uEFjAAmDzwOEc9b8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb383a90d1849dfb7f0c11d809', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174383a90d1849dfb7f0c11d809', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178383a90d1849dfb7f0c11d809', 'height': 160, 'width': 160}]",Matuê,artist,spotify:artist:5nP8x4uEFjAAmDzwOEc9b8,https://open.spotify.com/artist/5nP8x4uEFjAAmDzwOEc9b8
https://api.spotify.com/v1/artists/6SZ9ggHTEqIqHWoDM9HRtt,6SZ9ggHTEqIqHWoDM9HRtt,[],DJ Billie Eilish,artist,spotify:artist:6SZ9ggHTEqIqHWoDM9HRtt,https://open.spotify.com/artist/6SZ9ggHTEqIqHWoDM9HRtt
https://api.spotify.com/v1/artists/1YOVBTvznjiDvtAj4ExHeo,1YOVBTvznjiDvtAj4ExHeo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0174a39f64d6da8dc3d821e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740174a39f64d6da8dc3d821e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780174a39f64d6da8dc3d821e7', 'height': 160, 'width': 160}]",BK,artist,spotify:artist:1YOVBTvznjiDvtAj4ExHeo,https://open.spotify.com/artist/1YOVBTvznjiDvtAj4ExHeo
https://api.spotify.com/v1/artists/5u56ApCPe5oqf3hAb19u6m,5u56ApCPe5oqf3hAb19u6m,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d7caf9f169d837d6669d9d79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d7caf9f169d837d6669d9d79', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d7caf9f169d837d6669d9d79', 'height': 64, 'width': 64}]",Billie Eilist E2,artist,spotify:artist:5u56ApCPe5oqf3hAb19u6m,https://open.spotify.com/artist/5u56ApCPe5oqf3hAb19u6m
https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174af20f7db5288bce9beede034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178af20f7db5288bce9beede034', 'height': 160, 'width': 160}]",Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
https://api.spotify.com/v1/artists/0nFdWpwl7h6fp3ADRyG14L,0nFdWpwl7h6fp3ADRyG14L,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb661d32816a6c01d1e1725cff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174661d32816a6c01d1e1725cff', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178661d32816a6c01d1e1725cff', 'height': 160, 'width': 160}]",Marina Sena,artist,spotify:artist:0nFdWpwl7h6fp3ADRyG14L,https://open.spotify.com/artist/0nFdWpwl7h6fp3ADRyG14L
https://api.spotify.com/v1/artists/63yrD80RY3RNEM2YDpUpO8,63yrD80RY3RNEM2YDpUpO8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb049b4a6c038ea063a413c5df', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174049b4a6c038ea063a413c5df', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178049b4a6c038ea063a413c5df', 'height': 160, 'width': 160}]",Melanie Martinez,artist,spotify:artist:63yrD80RY3RNEM2YDpUpO8,https://open.spotify.com/artist/63yrD80RY3RNEM2YDpUpO8
https://api.spotify.com/v1/artists/4YqwRbMLqGHRHLS1w2ZKse,4YqwRbMLqGHRHLS1w2ZKse,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfe8a6cb29ef8acc97e6bb3b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fe8a6cb29ef8acc97e6bb3b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fe8a6cb29ef8acc97e6bb3b1', 'height': 160, 'width': 160}]",Veigh,artist,spotify:artist:4YqwRbMLqGHRHLS1w2ZKse,https://open.spotify.com/artist/4YqwRbMLqGHRHLS1w2ZKse
https://api.spotify.com/v1/artists/1sPg5EHuQXTMElpZ4iUgXe,1sPg5EHuQXTMElpZ4iUgXe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7bf0675e8644f27233931f91', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747bf0675e8644f27233931f91', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787bf0675e8644f27233931f91', 'height': 160, 'width': 160}]",ANAVITÓRIA,artist,spotify:artist:1sPg5EHuQXTMElpZ4iUgXe,https://open.spotify.com/artist/1sPg5EHuQXTMElpZ4iUgXe
https://api.spotify.com/v1/artists/4yGgbQJMq9orWypwqtdzYT,4yGgbQJMq9orWypwqtdzYT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb103e2b2ae3960b860ba4b1df', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174103e2b2ae3960b860ba4b1df', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178103e2b2ae3960b860ba4b1df', 'height': 160, 'width': 160}]",Oruam,artist,spotify:artist:4yGgbQJMq9orWypwqtdzYT,https://open.spotify.com/artist/4yGgbQJMq9orWypwqtdzYT
https://api.spotify.com/v1/artists/4NBu1Ymzbjhg06tkOrCgUv,4NBu1Ymzbjhg06tkOrCgUv,[],Billie Eilish O'Connell Finneas O'Connell,artist,spotify:artist:4NBu1Ymzbjhg06tkOrCgUv,https://open.spotify.com/artist/4NBu1Ymzbjhg06tkOrCgUv
https://api.spotify.com/v1/artists/5VKzCMqEDTUWaKnSiotCSE,5VKzCMqEDTUWaKnSiotCSE,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273644a034fdf8381549897d484', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02644a034fdf8381549897d484', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851644a034fdf8381549897d484', 'height': 64, 'width': 64}]",Billie Eilish O’Connell and Finneas O’Connell,artist,spotify:artist:5VKzCMqEDTUWaKnSiotCSE,https://open.spotify.com/artist/5VKzCMqEDTUWaKnSiotCSE
https://api.spotify.com/v1/artists/64Yf7IzIYAUrwOpaJPUwMp,64Yf7IzIYAUrwOpaJPUwMp,[],DJ Billie Eilish,artist,spotify:artist:64Yf7IzIYAUrwOpaJPUwMp,https://open.spotify.com/artist/64Yf7IzIYAUrwOpaJPUwMp
https://api.spotify.com/v1/artists/5b2XkDbUVvlSMtIxvzhZdF,5b2XkDbUVvlSMtIxvzhZdF,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273f4e9b19a9d30b4191ce10e1d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f4e9b19a9d30b4191ce10e1d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f4e9b19a9d30b4191ce10e1d', 'height': 64, 'width': 64}]",Billy Eilish,artist,spotify:artist:5b2XkDbUVvlSMtIxvzhZdF,https://open.spotify.com/artist/5b2XkDbUVvlSMtIxvzhZdF
